Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.002,0.392,0,
0.01,0.002,0.392,0,
0.02,0.002,0.392,0,
0.03,0.002,0.392,0,
0.04,0.002,0.392,-0,
0.05,0.002,0.392,-0,
0.06,0.002,0.392,-0,
0.07,0.002,0.392,-0,
0.08,0.002,0.392,-0,
0.09,0.002,0.392,-0,
0.1,0.002,0.392,-0,
0.11,0.002,0.392,-0,
0.12,0.002,0.392,-0,
0.13,0.002,0.392,-0,
0.14,0.002,0.392,-0,
0.15,0.002,0.392,-0,
0.16,0.002,0.392,-0,
0.17,0.002,0.392,-0,
0.18,0.002,0.392,-0,
0.19,0.002,0.392,-0,
0.2,0.002,0.392,-0,
0.21,0.002,0.392,-0,
0.22,0.002,0.392,-0,
0.23,0.002,0.392,-0,
0.24,0.002,0.392,-0,
0.25,0.002,0.392,-0,
0.26,0.002,0.392,-0,
0.27,0.001,0.392,-0,
0.28,0.001,0.392,-0,
0.29,0.001,0.392,-0,
0.3,0.001,0.392,-0,
0.31,0.001,0.392,-0,
0.32,0.001,0.392,-0,
0.33,0.001,0.392,-0,
0.34,0.001,0.392,-0,
0.35,0.001,0.392,-0,
0.36,0.001,0.392,-0,
0.37,0.001,0.392,-0,
0.38,0.001,0.392,-0,
0.39,0.001,0.392,-0.001,
0.4,0.001,0.392,-0.001,
0.41,0.001,0.392,-0.001,
0.42,0.001,0.392,-0.001,
0.43,0.001,0.392,-0.001,
0.44,0.001,0.392,-0.001,
0.45,0.001,0.392,-0.001,
0.46,0.001,0.392,-0.001,
0.47,0.001,0.392,-0.001,
0.48,0.001,0.392,-0.001,
0.49,0,0.392,-0.001,
0.5,0,0.392,-0.001,
0.51,0,0.392,-0.001,
0.52,0,0.392,-0.001,
0.53,0,0.392,-0.002,
0.54,0,0.392,-0.002,
0.55,0,0.392,-0.002,
0.56,0,0.392,-0.002,
0.57,0,0.392,-0.002,
0.58,-0,0.392,-0.003,
0.59,-0,0.392,-0.003,
0.6,-0,0.392,-0.003,
0.61,-0,0.392,-0.003,
0.62,-0.001,0.392,-0.004,
0.63,-0.001,0.392,-0.004,
0.64,-0.001,0.392,-0.004,
0.65,-0.001,0.392,-0.004,
0.66,-0.001,0.392,-0.004,
0.67,-0.002,0.392,-0.004,
0.68,-0.002,0.392,-0.004,
0.69,-0.002,0.392,-0.004,
0.7,-0.002,0.392,-0.004,
0.71,-0.002,0.392,-0.004,
0.72,-0.002,0.392,-0.004,
0.73,-0.002,0.392,-0.004,
0.74,-0.002,0.392,-0.004,
0.75,-0.002,0.392,-0.003,
0.76,-0.001,0.392,-0.003,
0.77,-0.001,0.392,-0.003,
0.78,-0.001,0.392,-0.002,
0.79,-0,0.392,-0.002,
0.8,-0,0.392,-0.001,
0.81,0,0.392,-0.001,
0.82,0.001,0.392,-0,
0.83,0.001,0.392,0,
0.84,0.002,0.392,0,
0.85,0.003,0.392,0.001,
0.86,0.003,0.392,0.002,
0.87,0.004,0.392,0.002,
0.88,0.005,0.391,0.003,
0.89,0.005,0.391,0.004,
0.9,0.006,0.391,0.005,
0.91,0.007,0.391,0.006,
0.92,0.008,0.391,0.007,
0.93,0.009,0.391,0.008,
0.94,0.009,0.391,0.009,
0.95,0.01,0.391,0.01,
0.96,0.011,0.391,0.011,
0.97,0.012,0.391,0.013,
0.98,0.013,0.391,0.014,
0.99,0.014,0.391,0.016,
1,0.015,0.391,0.017,
1.01,0.016,0.391,0.019,
1.02,0.017,0.391,0.02,
1.03,0.018,0.39,0.022,
1.04,0.018,0.39,0.024,
1.05,0.019,0.39,0.026,
1.06,0.02,0.39,0.027,
1.07,0.021,0.39,0.029,
1.08,0.022,0.39,0.031,
1.09,0.023,0.389,0.033,
1.1,0.024,0.389,0.034,
1.11,0.025,0.389,0.036,
1.12,0.026,0.389,0.037,
1.13,0.027,0.389,0.039,
1.14,0.028,0.388,0.04,
1.15,0.029,0.388,0.042,
1.16,0.03,0.388,0.043,
1.17,0.031,0.388,0.044,
1.18,0.032,0.388,0.046,
1.19,0.033,0.387,0.047,
1.2,0.034,0.387,0.048,
1.21,0.035,0.387,0.049,
1.22,0.036,0.387,0.051,
1.23,0.037,0.386,0.052,
1.24,0.038,0.386,0.053,
1.25,0.039,0.386,0.054,
1.26,0.04,0.386,0.055,
1.27,0.041,0.385,0.056,
1.28,0.042,0.385,0.058,
1.29,0.043,0.385,0.059,
1.3,0.044,0.385,0.06,
1.31,0.045,0.384,0.061,
1.32,0.046,0.384,0.062,
1.33,0.047,0.384,0.063,
1.34,0.048,0.383,0.064,
1.35,0.05,0.383,0.064,
1.36,0.051,0.383,0.065,
1.37,0.052,0.383,0.066,
1.38,0.053,0.382,0.067,
1.39,0.054,0.382,0.068,
1.4,0.056,0.382,0.068,
1.41,0.057,0.381,0.069,
1.42,0.058,0.381,0.069,
1.43,0.059,0.381,0.069,
1.44,0.061,0.381,0.069,
1.45,0.062,0.381,0.069,
1.46,0.063,0.381,0.069,
1.47,0.064,0.38,0.069,
1.48,0.065,0.38,0.068,
1.49,0.065,0.38,0.068,
1.5,0.066,0.38,0.067,
1.51,0.067,0.38,0.066,
1.52,0.067,0.38,0.065,
1.53,0.068,0.381,0.064,
1.54,0.068,0.381,0.063,
1.55,0.069,0.381,0.061,
1.56,0.069,0.381,0.06,
1.57,0.07,0.381,0.058,
1.58,0.07,0.381,0.056,
1.59,0.07,0.382,0.054,
1.6,0.07,0.382,0.051,
1.61,0.07,0.382,0.049,
1.62,0.07,0.382,0.046,
1.63,0.07,0.383,0.044,
1.64,0.07,0.383,0.041,
1.65,0.07,0.383,0.038,
1.66,0.07,0.384,0.035,
1.67,0.07,0.384,0.032,
1.68,0.07,0.384,0.029,
1.69,0.069,0.385,0.025,
1.7,0.069,0.385,0.022,
1.71,0.068,0.385,0.019,
1.72,0.068,0.385,0.016,
1.73,0.067,0.385,0.012,
1.74,0.067,0.386,0.009,
1.75,0.066,0.386,0.006,
1.76,0.065,0.386,0.003,
1.77,0.064,0.386,-0,
1.78,0.063,0.386,-0.003,
1.79,0.062,0.386,-0.007,
1.8,0.061,0.386,-0.01,
1.81,0.06,0.387,-0.013,
1.82,0.059,0.387,-0.016,
1.83,0.058,0.387,-0.019,
1.84,0.056,0.387,-0.021,
1.85,0.055,0.387,-0.024,
1.86,0.053,0.387,-0.027,
1.87,0.052,0.387,-0.03,
1.88,0.05,0.387,-0.033,
1.89,0.049,0.387,-0.036,
1.9,0.047,0.387,-0.038,
1.91,0.046,0.387,-0.041,
1.92,0.044,0.386,-0.044,
1.93,0.042,0.386,-0.047,
1.94,0.04,0.386,-0.05,
1.95,0.038,0.386,-0.052,
1.96,0.036,0.386,-0.055,
1.97,0.035,0.386,-0.058,
1.98,0.033,0.385,-0.061,
1.99,0.031,0.385,-0.064,
2,0.029,0.385,-0.067,
2.01,0.027,0.384,-0.07,
2.02,0.025,0.384,-0.073,
2.03,0.023,0.384,-0.076,
2.04,0.021,0.383,-0.078,
2.05,0.019,0.383,-0.081,
2.06,0.017,0.382,-0.084,
2.07,0.015,0.382,-0.087,
2.08,0.013,0.381,-0.09,
2.09,0.011,0.38,-0.093,
2.1,0.009,0.38,-0.096,
2.11,0.007,0.379,-0.099,
2.12,0.005,0.378,-0.101,
2.13,0.003,0.378,-0.104,
2.14,0.001,0.377,-0.107,
2.15,-0.001,0.376,-0.109,
2.16,-0.003,0.376,-0.111,
2.17,-0.005,0.375,-0.113,
2.18,-0.006,0.374,-0.115,
2.19,-0.008,0.374,-0.117,
2.2,-0.009,0.373,-0.118,
2.21,-0.011,0.373,-0.12,
2.22,-0.013,0.373,-0.121,
2.23,-0.014,0.372,-0.121,
2.24,-0.016,0.372,-0.122,
2.25,-0.017,0.372,-0.122,
2.26,-0.019,0.372,-0.122,
2.27,-0.021,0.372,-0.122,
2.28,-0.023,0.371,-0.122,
2.29,-0.024,0.371,-0.122,
2.3,-0.026,0.371,-0.122,
2.31,-0.028,0.371,-0.122,
2.32,-0.03,0.371,-0.121,
2.33,-0.031,0.371,-0.121,
2.34,-0.033,0.371,-0.12,
2.35,-0.034,0.371,-0.119,
2.36,-0.036,0.372,-0.119,
2.37,-0.038,0.372,-0.118,
2.38,-0.039,0.372,-0.117,
2.39,-0.04,0.372,-0.116,
2.4,-0.042,0.372,-0.115,
2.41,-0.043,0.372,-0.114,
2.42,-0.045,0.372,-0.113,
2.43,-0.046,0.372,-0.112,
2.44,-0.048,0.373,-0.111,
2.45,-0.049,0.373,-0.11,
2.46,-0.051,0.373,-0.108,
2.47,-0.052,0.373,-0.107,
2.48,-0.053,0.373,-0.105,
2.49,-0.054,0.374,-0.104,
2.5,-0.056,0.374,-0.102,
2.51,-0.057,0.374,-0.1,
2.52,-0.058,0.375,-0.098,
2.53,-0.059,0.375,-0.096,
2.54,-0.06,0.375,-0.094,
2.55,-0.061,0.376,-0.092,
2.56,-0.062,0.376,-0.09,
2.57,-0.063,0.377,-0.087,
2.58,-0.063,0.377,-0.085,
2.59,-0.064,0.377,-0.083,
2.6,-0.065,0.378,-0.081,
2.61,-0.066,0.378,-0.078,
2.62,-0.066,0.378,-0.076,
2.63,-0.067,0.379,-0.073,
2.64,-0.067,0.379,-0.071,
2.65,-0.068,0.38,-0.068,
2.66,-0.068,0.38,-0.065,
2.67,-0.068,0.381,-0.063,
2.68,-0.069,0.381,-0.06,
2.69,-0.069,0.381,-0.057,
2.7,-0.069,0.382,-0.054,
2.71,-0.069,0.382,-0.051,
2.72,-0.068,0.383,-0.047,
2.73,-0.068,0.383,-0.044,
2.74,-0.068,0.384,-0.041,
2.75,-0.068,0.384,-0.037,
2.76,-0.067,0.384,-0.033,
2.77,-0.067,0.385,-0.03,
2.78,-0.066,0.385,-0.026,
2.79,-0.066,0.385,-0.022,
2.8,-0.065,0.386,-0.018,
2.81,-0.065,0.386,-0.014,
2.82,-0.064,0.386,-0.009,
2.83,-0.064,0.386,-0.005,
2.84,-0.063,0.387,-0.001,
2.85,-0.062,0.387,0.003,
2.86,-0.061,0.387,0.008,
2.87,-0.061,0.387,0.012,
2.88,-0.06,0.387,0.017,
2.89,-0.059,0.387,0.021,
2.9,-0.058,0.387,0.025,
2.91,-0.057,0.386,0.03,
2.92,-0.055,0.386,0.034,
2.93,-0.054,0.386,0.039,
2.94,-0.053,0.386,0.044,
2.95,-0.051,0.385,0.048,
2.96,-0.05,0.385,0.053,
2.97,-0.048,0.384,0.058,
2.98,-0.047,0.384,0.063,
2.99,-0.045,0.383,0.067,
3,-0.043,0.383,0.072,
3.01,-0.041,0.382,0.077,
3.02,-0.039,0.381,0.082,
3.03,-0.037,0.38,0.086,
3.04,-0.034,0.379,0.091,
3.05,-0.032,0.379,0.095,
3.06,-0.03,0.378,0.1,
3.07,-0.028,0.377,0.104,
3.08,-0.025,0.376,0.108,
3.09,-0.023,0.375,0.112,
3.1,-0.021,0.373,0.116,
3.11,-0.018,0.372,0.12,
3.12,-0.016,0.371,0.124,
3.13,-0.013,0.37,0.127,
3.14,-0.011,0.369,0.131,
3.15,-0.008,0.368,0.134,
3.16,-0.006,0.367,0.137,
3.17,-0.003,0.366,0.14,
3.18,-0,0.365,0.143,
3.19,0.002,0.364,0.146,
3.2,0.005,0.362,0.149,
3.21,0.007,0.361,0.151,
3.22,0.01,0.361,0.153,
3.23,0.012,0.36,0.155,
3.24,0.014,0.359,0.157,
3.25,0.017,0.358,0.159,
3.26,0.019,0.357,0.16,
3.27,0.021,0.356,0.161,
3.28,0.023,0.356,0.162,
3.29,0.025,0.355,0.163,
3.3,0.027,0.355,0.164,
3.31,0.029,0.354,0.165,
3.32,0.031,0.354,0.166,
3.33,0.033,0.353,0.166,
3.34,0.034,0.353,0.166,
3.35,0.036,0.353,0.166,
3.36,0.038,0.353,0.166,
3.37,0.04,0.352,0.166,
3.38,0.041,0.352,0.166,
3.39,0.043,0.352,0.166,
3.4,0.045,0.352,0.166,
3.41,0.046,0.352,0.165,
3.42,0.048,0.352,0.165,
3.43,0.05,0.352,0.164,
3.44,0.052,0.352,0.163,
3.45,0.053,0.352,0.162,
3.46,0.055,0.353,0.161,
3.47,0.057,0.353,0.16,
3.48,0.058,0.353,0.159,
3.49,0.06,0.353,0.158,
3.5,0.062,0.354,0.157,
3.51,0.063,0.354,0.155,
3.52,0.065,0.354,0.153,
3.53,0.067,0.355,0.151,
3.54,0.068,0.355,0.15,
3.55,0.07,0.356,0.147,
3.56,0.071,0.356,0.145,
3.57,0.073,0.357,0.143,
3.58,0.074,0.358,0.141,
3.59,0.075,0.358,0.138,
3.6,0.077,0.359,0.135,
3.61,0.078,0.36,0.132,
3.62,0.079,0.36,0.129,
3.63,0.08,0.361,0.126,
3.64,0.081,0.362,0.123,
3.65,0.082,0.363,0.12,
3.66,0.083,0.364,0.117,
3.67,0.084,0.365,0.113,
3.68,0.084,0.366,0.11,
3.69,0.085,0.366,0.106,
3.7,0.086,0.367,0.103,
3.71,0.086,0.368,0.099,
3.72,0.087,0.369,0.096,
3.73,0.087,0.37,0.092,
3.74,0.088,0.371,0.088,
3.75,0.088,0.371,0.084,
3.76,0.088,0.372,0.08,
3.77,0.089,0.373,0.076,
3.78,0.089,0.374,0.072,
3.79,0.089,0.374,0.068,
3.8,0.089,0.375,0.064,
3.81,0.089,0.376,0.06,
3.82,0.089,0.376,0.056,
3.83,0.089,0.377,0.051,
3.84,0.089,0.377,0.047,
3.85,0.089,0.378,0.043,
3.86,0.089,0.378,0.038,
3.87,0.089,0.379,0.034,
3.88,0.089,0.379,0.029,
3.89,0.088,0.38,0.025,
3.9,0.088,0.38,0.021,
3.91,0.087,0.38,0.016,
3.92,0.087,0.381,0.012,
3.93,0.086,0.381,0.008,
3.94,0.085,0.381,0.003,
3.95,0.085,0.381,-0.001,
3.96,0.084,0.382,-0.005,
3.97,0.083,0.382,-0.01,
3.98,0.082,0.382,-0.014,
3.99,0.081,0.382,-0.018,
4,0.08,0.382,-0.022,
4.01,0.079,0.382,-0.026,
4.02,0.078,0.382,-0.03,
4.03,0.077,0.382,-0.035,
4.04,0.075,0.382,-0.039,
4.05,0.074,0.381,-0.043,
4.06,0.073,0.381,-0.047,
4.07,0.071,0.381,-0.05,
4.08,0.07,0.381,-0.054,
4.09,0.068,0.381,-0.058,
4.1,0.067,0.38,-0.062,
4.11,0.065,0.38,-0.065,
4.12,0.063,0.38,-0.069,
4.13,0.062,0.38,-0.072,
4.14,0.06,0.379,-0.075,
4.15,0.058,0.379,-0.079,
4.16,0.057,0.379,-0.082,
4.17,0.055,0.378,-0.084,
4.18,0.053,0.378,-0.087,
4.19,0.052,0.377,-0.09,
4.2,0.05,0.377,-0.092,
4.21,0.048,0.377,-0.095,
4.22,0.046,0.376,-0.097,
4.23,0.044,0.376,-0.099,
4.24,0.042,0.376,-0.102,
4.25,0.04,0.375,-0.104,
4.26,0.038,0.375,-0.106,
4.27,0.036,0.375,-0.108,
4.28,0.033,0.374,-0.11,
4.29,0.031,0.374,-0.112,
4.3,0.029,0.374,-0.114,
4.31,0.027,0.373,-0.116,
4.32,0.024,0.373,-0.119,
4.33,0.022,0.372,-0.121,
4.34,0.02,0.371,-0.123,
4.35,0.018,0.371,-0.125,
4.36,0.016,0.37,-0.127,
4.37,0.014,0.37,-0.129,
4.38,0.012,0.369,-0.131,
4.39,0.009,0.368,-0.133,
4.4,0.007,0.368,-0.135,
4.41,0.005,0.367,-0.137,
4.42,0.003,0.366,-0.139,
4.43,0.001,0.366,-0.14,
4.44,-0.001,0.365,-0.142,
4.45,-0.003,0.365,-0.143,
4.46,-0.005,0.364,-0.144,
4.47,-0.007,0.364,-0.146,
4.48,-0.009,0.363,-0.147,
4.49,-0.011,0.363,-0.148,
4.5,-0.013,0.362,-0.149,
4.51,-0.015,0.362,-0.15,
4.52,-0.016,0.361,-0.15,
4.53,-0.018,0.361,-0.151,
4.54,-0.02,0.361,-0.151,
4.55,-0.022,0.361,-0.151,
4.56,-0.024,0.361,-0.152,
4.57,-0.026,0.36,-0.152,
4.58,-0.028,0.36,-0.152,
4.59,-0.03,0.36,-0.151,
4.6,-0.032,0.36,-0.151,
4.61,-0.033,0.36,-0.151,
4.62,-0.035,0.36,-0.151,
4.63,-0.037,0.36,-0.15,
4.64,-0.039,0.36,-0.15,
4.65,-0.041,0.36,-0.149,
4.66,-0.042,0.36,-0.149,
4.67,-0.044,0.36,-0.148,
4.68,-0.045,0.36,-0.147,
4.69,-0.047,0.36,-0.147,
4.7,-0.049,0.36,-0.146,
4.71,-0.05,0.361,-0.145,
4.72,-0.052,0.361,-0.144,
4.73,-0.054,0.361,-0.143,
4.74,-0.055,0.361,-0.142,
4.75,-0.057,0.361,-0.14,
4.76,-0.059,0.362,-0.139,
4.77,-0.061,0.362,-0.138,
4.78,-0.062,0.362,-0.136,
4.79,-0.064,0.362,-0.135,
4.8,-0.066,0.362,-0.133,
4.81,-0.068,0.363,-0.132,
4.82,-0.07,0.363,-0.13,
4.83,-0.071,0.363,-0.128,
4.84,-0.073,0.364,-0.126,
4.85,-0.075,0.364,-0.125,
4.86,-0.076,0.364,-0.122,
4.87,-0.078,0.365,-0.12,
4.88,-0.08,0.365,-0.118,
4.89,-0.081,0.365,-0.116,
4.9,-0.083,0.366,-0.114,
4.91,-0.084,0.366,-0.111,
4.92,-0.086,0.366,-0.109,
4.93,-0.087,0.367,-0.106,
4.94,-0.089,0.367,-0.104,
4.95,-0.09,0.368,-0.101,
4.96,-0.091,0.368,-0.098,
4.97,-0.093,0.369,-0.095,
4.98,-0.094,0.369,-0.092,
4.99,-0.095,0.37,-0.089,
5,-0.096,0.37,-0.086,
5.01,-0.097,0.37,-0.083,
5.02,-0.098,0.371,-0.079,
5.03,-0.099,0.371,-0.076,
5.04,-0.1,0.372,-0.073,
5.05,-0.101,0.372,-0.069,
5.06,-0.102,0.373,-0.065,
5.07,-0.102,0.373,-0.062,
5.08,-0.103,0.373,-0.058,
5.09,-0.104,0.374,-0.054,
5.1,-0.105,0.374,-0.05,
5.11,-0.106,0.375,-0.045,
5.12,-0.106,0.375,-0.041,
