Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,6.249,4.395,-0.925,
0.01,6.257,4.397,-0.928,
0.02,6.267,4.399,-0.932,
0.03,6.279,4.402,-0.938,
0.04,6.291,4.406,-0.945,
0.05,6.301,4.41,-0.954,
0.06,6.308,4.414,-0.964,
0.07,6.309,4.418,-0.974,
0.08,6.308,4.421,-0.983,
0.09,6.305,4.424,-0.99,
0.1,6.305,4.427,-0.994,
0.11,6.309,4.429,-0.996,
0.12,6.319,4.431,-0.997,
0.13,6.337,4.433,-0.996,
0.14,6.361,4.435,-0.997,
0.15,6.39,4.437,-1,
0.16,6.421,4.439,-1.005,
0.17,6.452,4.441,-1.012,
0.18,6.48,4.443,-1.02,
0.19,6.505,4.447,-1.028,
0.2,6.526,4.451,-1.034,
0.21,6.542,4.455,-1.04,
0.22,6.556,4.46,-1.044,
0.23,6.569,4.465,-1.048,
0.24,6.583,4.47,-1.051,
0.25,6.601,4.474,-1.054,
0.26,6.623,4.479,-1.057,
0.27,6.649,4.483,-1.06,
0.28,6.677,4.487,-1.062,
0.29,6.707,4.49,-1.063,
0.3,6.735,4.493,-1.063,
0.31,6.761,4.494,-1.061,
0.32,6.784,4.494,-1.058,
0.33,6.803,4.493,-1.055,
0.34,6.819,4.492,-1.054,
0.35,6.832,4.491,-1.053,
0.36,6.842,4.491,-1.054,
0.37,6.852,4.49,-1.055,
0.38,6.861,4.489,-1.055,
0.39,6.872,4.488,-1.055,
0.4,6.885,4.486,-1.055,
0.41,6.901,4.484,-1.055,
0.42,6.921,4.481,-1.056,
0.43,6.944,4.479,-1.059,
0.44,6.964,4.477,-1.062,
0.45,6.978,4.476,-1.062,
0.46,6.98,4.475,-1.057,
0.47,6.97,4.472,-1.05,
0.48,6.951,4.467,-1.044,
0.49,6.929,4.46,-1.042,
0.5,6.907,4.453,-1.047,
0.51,6.887,4.448,-1.056,
0.52,6.873,4.444,-1.064,
0.53,6.868,4.444,-1.065,
0.54,6.877,4.447,-1.055,
0.55,6.897,4.45,-1.035,
0.56,6.921,4.454,-1.007,
0.57,6.941,4.457,-0.976,
0.58,6.947,4.459,-0.948,
0.59,6.938,4.461,-0.924,
0.6,6.914,4.463,-0.906,
0.61,6.881,4.466,-0.891,
0.62,6.846,4.47,-0.878,
0.63,6.813,4.474,-0.865,
0.64,6.787,4.478,-0.853,
0.65,6.768,4.48,-0.843,
0.66,6.757,4.482,-0.834,
0.67,6.752,4.482,-0.829,
0.68,6.752,4.482,-0.827,
0.69,6.756,4.482,-0.83,
0.7,6.763,4.484,-0.837,
0.71,6.77,4.487,-0.847,
0.72,6.777,4.491,-0.86,
0.73,6.782,4.496,-0.873,
0.74,6.782,4.499,-0.886,
0.75,6.778,4.501,-0.896,
0.76,6.77,4.502,-0.904,
0.77,6.762,4.501,-0.909,
0.78,6.757,4.5,-0.911,
0.79,6.757,4.499,-0.913,
0.8,6.764,4.499,-0.915,
0.81,6.775,4.5,-0.919,
0.82,6.789,4.502,-0.926,
0.83,6.801,4.506,-0.938,
0.84,6.812,4.51,-0.951,
0.85,6.818,4.515,-0.964,
0.86,6.822,4.52,-0.975,
0.87,6.824,4.524,-0.985,
0.88,6.827,4.527,-0.991,
0.89,6.831,4.53,-0.995,
0.9,6.838,4.533,-0.998,
0.91,6.849,4.536,-0.999,
0.92,6.864,4.539,-0.999,
0.93,6.882,4.543,-0.999,
0.94,6.903,4.546,-0.999,
0.95,6.924,4.549,-0.998,
0.96,6.947,4.551,-0.996,
0.97,6.969,4.553,-0.993,
0.98,6.991,4.553,-0.989,
0.99,7.013,4.553,-0.986,
1,7.035,4.554,-0.983,
1.01,7.056,4.554,-0.982,
1.02,7.077,4.555,-0.982,
1.03,7.097,4.557,-0.983,
1.04,7.116,4.559,-0.985,
1.05,7.133,4.561,-0.986,
1.06,7.149,4.562,-0.988,
1.07,7.165,4.562,-0.989,
1.08,7.182,4.562,-0.99,
1.09,7.201,4.562,-0.992,
1.1,7.225,4.562,-0.996,
1.11,7.252,4.562,-1.002,
1.12,7.28,4.563,-1.007,
1.13,7.302,4.564,-1.01,
1.14,7.314,4.565,-1.009,
1.15,7.316,4.563,-1.005,
1.16,7.308,4.56,-1.003,
1.17,7.297,4.554,-1.007,
1.18,7.284,4.547,-1.017,
1.19,7.271,4.542,-1.03,
1.2,7.261,4.538,-1.039,
1.21,7.259,4.537,-1.041,
1.22,7.268,4.538,-1.03,
1.23,7.284,4.54,-1.007,
1.24,7.304,4.542,-0.978,
1.25,7.318,4.542,-0.948,
1.26,7.322,4.542,-0.921,
1.27,7.315,4.541,-0.903,
1.28,7.299,4.541,-0.893,
1.29,7.278,4.542,-0.889,
1.3,7.259,4.546,-0.888,
1.31,7.243,4.552,-0.889,
1.32,7.231,4.56,-0.89,
1.33,7.224,4.57,-0.89,
1.34,7.219,4.58,-0.889,
1.35,7.217,4.589,-0.89,
1.36,7.215,4.598,-0.891,
1.37,7.215,4.606,-0.894,
1.38,7.214,4.614,-0.899,
1.39,7.212,4.62,-0.905,
1.4,7.209,4.625,-0.913,
1.41,7.203,4.629,-0.922,
1.42,7.194,4.631,-0.931,
1.43,7.181,4.633,-0.938,
1.44,7.165,4.633,-0.943,
1.45,7.15,4.633,-0.945,
1.46,7.138,4.632,-0.945,
1.47,7.131,4.632,-0.943,
1.48,7.127,4.631,-0.94,
1.49,7.127,4.63,-0.937,
1.5,7.127,4.629,-0.936,
1.51,7.126,4.629,-0.938,
1.52,7.123,4.63,-0.942,
1.53,7.115,4.631,-0.947,
1.54,7.104,4.634,-0.954,
1.55,7.088,4.637,-0.96,
1.56,7.069,4.64,-0.964,
1.57,7.047,4.644,-0.968,
1.58,7.024,4.648,-0.97,
1.59,7.003,4.651,-0.97,
1.6,6.983,4.654,-0.969,
1.61,6.966,4.657,-0.969,
1.62,6.952,4.66,-0.967,
1.63,6.94,4.662,-0.966,
1.64,6.93,4.664,-0.965,
1.65,6.921,4.666,-0.963,
1.66,6.912,4.67,-0.96,
1.67,6.901,4.674,-0.954,
1.68,6.888,4.679,-0.947,
1.69,6.872,4.686,-0.938,
1.7,6.853,4.693,-0.927,
1.71,6.828,4.701,-0.915,
1.72,6.798,4.708,-0.902,
1.73,6.761,4.715,-0.888,
1.74,6.716,4.721,-0.874,
1.75,6.662,4.726,-0.86,
1.76,6.6,4.729,-0.845,
1.77,6.532,4.731,-0.831,
1.78,6.458,4.733,-0.817,
1.79,6.381,4.734,-0.805,
1.8,6.302,4.735,-0.796,
1.81,6.221,4.735,-0.791,
1.82,6.133,4.737,-0.789,
1.83,6.034,4.739,-0.79,
1.84,5.917,4.741,-0.793,
1.85,5.783,4.741,-0.8,
1.86,5.634,4.741,-0.815,
1.87,5.477,4.739,-0.843,
1.88,5.318,4.739,-0.883,
1.89,5.161,4.74,-0.932,
1.9,5.011,4.745,-0.983,
1.91,4.875,4.753,-1.03,
1.92,4.757,4.762,-1.067,
1.93,4.655,4.77,-1.095,
1.94,4.563,4.777,-1.114,
1.95,4.471,4.783,-1.129,
1.96,4.372,4.79,-1.143,
1.97,4.261,4.797,-1.159,
1.98,4.14,4.807,-1.179,
1.99,4.014,4.821,-1.201,
2,3.891,4.837,-1.226,
2.01,3.777,4.855,-1.253,
2.02,3.677,4.876,-1.283,
2.03,3.593,4.898,-1.317,
2.04,3.526,4.922,-1.356,
2.05,3.474,4.946,-1.402,
2.06,3.436,4.969,-1.453,
2.07,3.413,4.991,-1.507,
2.08,3.406,5.011,-1.564,
2.09,3.414,5.029,-1.62,
2.1,3.436,5.044,-1.677,
2.11,3.47,5.057,-1.734,
2.12,3.509,5.067,-1.79,
2.13,3.552,5.075,-1.847,
2.14,3.597,5.081,-1.901,
2.15,3.646,5.086,-1.95,
2.16,3.702,5.089,-1.991,
2.17,3.768,5.091,-2.019,
2.18,3.843,5.093,-2.033,
2.19,3.926,5.095,-2.033,
2.2,4.013,5.098,-2.02,
2.21,4.097,5.102,-1.994,
2.22,4.177,5.107,-1.957,
2.23,4.249,5.111,-1.908,
2.24,4.312,5.114,-1.847,
2.25,4.367,5.115,-1.779,
2.26,4.417,5.112,-1.709,
2.27,4.465,5.107,-1.646,
2.28,4.517,5.101,-1.597,
2.29,4.577,5.096,-1.566,
2.3,4.646,5.094,-1.557,
2.31,4.728,5.094,-1.57,
2.32,4.82,5.097,-1.601,
2.33,4.919,5.101,-1.648,
2.34,5.022,5.105,-1.707,
2.35,5.125,5.108,-1.777,
2.36,5.224,5.109,-1.854,
2.37,5.32,5.107,-1.936,
2.38,5.413,5.1,-2.022,
2.39,5.503,5.091,-2.108,
2.4,5.588,5.079,-2.191,
2.41,5.664,5.064,-2.268,
2.42,5.729,5.046,-2.336,
2.43,5.776,5.025,-2.392,
2.44,5.802,5,-2.437,
2.45,5.806,4.974,-2.473,
2.46,5.788,4.945,-2.5,
2.47,5.751,4.917,-2.522,
2.48,5.7,4.891,-2.539,
2.49,5.644,4.868,-2.556,
2.5,5.59,4.849,-2.573,
2.51,5.543,4.836,-2.592,
2.52,5.505,4.827,-2.609,
2.53,5.473,4.819,-2.617,
2.54,5.443,4.81,-2.611,
2.55,5.41,4.796,-2.588,
2.56,5.373,4.775,-2.551,
2.57,5.329,4.751,-2.507,
2.58,5.277,4.725,-2.459,
2.59,5.212,4.702,-2.411,
2.6,5.135,4.685,-2.358,
2.61,5.053,4.674,-2.298,
2.62,4.972,4.67,-2.228,
2.63,4.899,4.669,-2.148,
2.64,4.833,4.671,-2.06,
2.65,4.769,4.674,-1.97,
2.66,4.707,4.678,-1.882,
2.67,4.644,4.683,-1.799,
2.68,4.586,4.687,-1.726,
2.69,4.535,4.691,-1.664,
2.7,4.492,4.691,-1.611,
2.71,4.459,4.685,-1.566,
2.72,4.435,4.668,-1.524,
2.73,4.419,4.638,-1.482,
2.74,4.416,4.595,-1.438,
2.75,4.425,4.54,-1.393,
2.76,4.447,4.478,-1.349,
2.77,4.478,4.412,-1.307,
2.78,4.512,4.348,-1.271,
2.79,4.541,4.285,-1.242,
2.8,4.558,4.226,-1.223,
2.81,4.559,4.169,-1.215,
2.82,4.54,4.114,-1.22,
2.83,4.503,4.059,-1.241,
2.84,4.45,4.004,-1.278,
2.85,4.386,3.951,-1.331,
2.86,4.317,3.898,-1.399,
2.87,4.252,3.85,-1.478,
2.88,4.199,3.808,-1.567,
2.89,4.166,3.775,-1.667,
2.9,4.158,3.756,-1.781,
2.91,4.176,3.752,-1.912,
2.92,4.219,3.765,-2.061,
2.93,4.285,3.795,-2.227,
2.94,4.369,3.841,-2.407,
2.95,4.467,3.901,-2.592,
2.96,4.571,3.973,-2.772,
2.97,4.671,4.052,-2.94,
2.98,4.758,4.135,-3.086,
2.99,4.824,4.22,-3.208,
3,4.864,4.304,-3.301,
3.01,4.88,4.386,-3.366,
3.02,4.877,4.466,-3.402,
3.03,4.861,4.545,-3.412,
3.04,4.842,4.623,-3.4,
3.05,4.829,4.698,-3.369,
3.06,4.829,4.77,-3.326,
3.07,4.849,4.837,-3.277,
3.08,4.888,4.898,-3.228,
3.09,4.945,4.952,-3.185,
3.1,5.013,4.998,-3.151,
3.11,5.09,5.037,-3.125,
3.12,5.173,5.068,-3.108,
3.13,5.26,5.092,-3.094,
3.14,5.348,5.108,-3.083,
3.15,5.43,5.115,-3.071,
3.16,5.495,5.112,-3.06,
3.17,5.529,5.098,-3.05,
3.18,5.52,5.073,-3.045,
3.19,5.463,5.041,-3.044,
3.2,5.355,5.003,-3.045,
3.21,5.199,4.962,-3.044,
3.22,5.003,4.92,-3.036,
3.23,4.781,4.88,-3.021,
3.24,4.547,4.843,-3.003,
3.25,4.314,4.811,-2.991,
3.26,4.081,4.787,-2.991,
3.27,3.833,4.77,-3.002,
3.28,3.547,4.758,-3.017,
3.29,3.195,4.748,-3.025,
3.3,2.756,4.735,-3.018,
3.31,2.224,4.718,-2.99,
