Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.019,0.489,-0.011,
0.01,-0.019,0.489,-0.011,
0.02,-0.019,0.489,-0.011,
0.03,-0.019,0.489,-0.011,
0.04,-0.019,0.489,-0.011,
0.05,-0.019,0.489,-0.011,
0.06,-0.019,0.489,-0.011,
0.07,-0.019,0.489,-0.011,
0.08,-0.019,0.489,-0.011,
0.09,-0.019,0.489,-0.011,
0.1,-0.019,0.489,-0.011,
0.11,-0.019,0.489,-0.011,
0.12,-0.019,0.489,-0.011,
0.13,-0.019,0.489,-0.011,
0.14,-0.019,0.489,-0.011,
0.15,-0.019,0.489,-0.011,
0.16,-0.019,0.489,-0.011,
0.17,-0.019,0.489,-0.011,
0.18,-0.019,0.489,-0.011,
0.19,-0.019,0.489,-0.011,
0.2,-0.019,0.489,-0.011,
0.21,-0.019,0.489,-0.011,
0.22,-0.019,0.489,-0.011,
0.23,-0.019,0.489,-0.011,
0.24,-0.019,0.489,-0.011,
0.25,-0.019,0.489,-0.011,
0.26,-0.019,0.489,-0.011,
0.27,-0.019,0.489,-0.011,
0.28,-0.019,0.489,-0.011,
0.29,-0.019,0.489,-0.011,
0.3,-0.019,0.489,-0.011,
0.31,-0.019,0.489,-0.011,
0.32,-0.019,0.489,-0.011,
0.33,-0.019,0.489,-0.011,
0.34,-0.019,0.489,-0.011,
0.35,-0.019,0.489,-0.011,
0.36,-0.019,0.489,-0.011,
0.37,-0.019,0.489,-0.011,
0.38,-0.019,0.489,-0.011,
0.39,-0.019,0.489,-0.011,
0.4,-0.019,0.489,-0.011,
0.41,-0.019,0.489,-0.011,
0.42,-0.019,0.489,-0.011,
0.43,-0.019,0.489,-0.011,
0.44,-0.019,0.489,-0.011,
0.45,-0.019,0.489,-0.011,
0.46,-0.019,0.489,-0.011,
0.47,-0.019,0.489,-0.011,
0.48,-0.019,0.489,-0.011,
0.49,-0.019,0.489,-0.011,
0.5,-0.019,0.489,-0.011,
0.51,-0.019,0.489,-0.011,
0.52,-0.019,0.489,-0.011,
0.53,-0.019,0.489,-0.011,
0.54,-0.019,0.489,-0.011,
0.55,-0.019,0.489,-0.011,
0.56,-0.019,0.489,-0.011,
0.57,-0.019,0.489,-0.011,
0.58,-0.019,0.489,-0.011,
0.59,-0.019,0.489,-0.011,
0.6,-0.019,0.489,-0.011,
0.61,-0.019,0.489,-0.011,
0.62,-0.019,0.489,-0.011,
0.63,-0.019,0.489,-0.011,
0.64,-0.019,0.489,-0.011,
0.65,-0.019,0.489,-0.011,
0.66,-0.019,0.489,-0.011,
0.67,-0.019,0.489,-0.011,
0.68,-0.019,0.489,-0.011,
0.69,-0.019,0.489,-0.011,
0.7,-0.019,0.489,-0.01,
0.71,-0.019,0.489,-0.01,
0.72,-0.019,0.489,-0.01,
0.73,-0.019,0.489,-0.01,
0.74,-0.019,0.489,-0.01,
0.75,-0.019,0.489,-0.01,
0.76,-0.019,0.489,-0.01,
0.77,-0.019,0.489,-0.01,
0.78,-0.019,0.489,-0.01,
0.79,-0.019,0.489,-0.01,
0.8,-0.019,0.489,-0.01,
0.81,-0.019,0.489,-0.01,
0.82,-0.019,0.489,-0.011,
0.83,-0.019,0.489,-0.011,
0.84,-0.019,0.489,-0.011,
0.85,-0.019,0.489,-0.011,
0.86,-0.019,0.489,-0.011,
0.87,-0.019,0.489,-0.011,
0.88,-0.019,0.489,-0.011,
0.89,-0.019,0.489,-0.011,
0.9,-0.019,0.489,-0.011,
0.91,-0.019,0.489,-0.011,
0.92,-0.019,0.489,-0.011,
0.93,-0.02,0.489,-0.011,
0.94,-0.02,0.489,-0.011,
0.95,-0.02,0.489,-0.012,
0.96,-0.02,0.489,-0.012,
0.97,-0.02,0.489,-0.012,
0.98,-0.02,0.489,-0.012,
0.99,-0.02,0.489,-0.012,
1,-0.02,0.489,-0.012,
1.01,-0.02,0.489,-0.012,
1.02,-0.02,0.489,-0.012,
1.03,-0.02,0.489,-0.012,
1.04,-0.02,0.489,-0.012,
1.05,-0.02,0.489,-0.012,
1.06,-0.019,0.489,-0.012,
1.07,-0.02,0.489,-0.012,
1.08,-0.02,0.489,-0.013,
1.09,-0.02,0.489,-0.013,
1.1,-0.02,0.489,-0.013,
1.11,-0.02,0.489,-0.013,
1.12,-0.02,0.489,-0.013,
1.13,-0.02,0.489,-0.013,
1.14,-0.02,0.489,-0.013,
1.15,-0.02,0.489,-0.013,
1.16,-0.02,0.489,-0.014,
1.17,-0.02,0.489,-0.014,
1.18,-0.02,0.489,-0.014,
1.19,-0.02,0.489,-0.014,
1.2,-0.02,0.489,-0.014,
1.21,-0.02,0.489,-0.015,
1.22,-0.02,0.489,-0.015,
1.23,-0.02,0.489,-0.015,
1.24,-0.02,0.489,-0.015,
1.25,-0.02,0.489,-0.015,
1.26,-0.02,0.489,-0.015,
1.27,-0.021,0.489,-0.015,
1.28,-0.021,0.489,-0.015,
1.29,-0.021,0.489,-0.015,
