Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,17.035,-6.215,-0.534,
0.01,17.031,-6.228,-0.524,
0.02,17.024,-6.245,-0.514,
0.03,17.013,-6.266,-0.505,
0.04,16.997,-6.289,-0.498,
0.05,16.975,-6.314,-0.497,
0.06,16.947,-6.34,-0.501,
0.07,16.914,-6.365,-0.512,
0.08,16.878,-6.391,-0.527,
0.09,16.841,-6.415,-0.543,
0.1,16.805,-6.439,-0.56,
0.11,16.771,-6.461,-0.576,
0.12,16.738,-6.482,-0.591,
0.13,16.708,-6.501,-0.604,
0.14,16.679,-6.518,-0.616,
0.15,16.648,-6.533,-0.628,
0.16,16.615,-6.547,-0.638,
0.17,16.579,-6.56,-0.649,
0.18,16.541,-6.569,-0.659,
0.19,16.502,-6.576,-0.668,
0.2,16.463,-6.58,-0.675,
0.21,16.425,-6.581,-0.68,
0.22,16.391,-6.58,-0.681,
0.23,16.36,-6.578,-0.679,
0.24,16.333,-6.576,-0.676,
0.25,16.309,-6.573,-0.672,
0.26,16.287,-6.569,-0.671,
0.27,16.266,-6.565,-0.672,
0.28,16.243,-6.557,-0.677,
0.29,16.217,-6.546,-0.686,
0.3,16.186,-6.531,-0.697,
0.31,16.151,-6.512,-0.712,
0.32,16.113,-6.489,-0.727,
0.33,16.073,-6.464,-0.743,
0.34,16.034,-6.436,-0.76,
0.35,15.995,-6.408,-0.777,
0.36,15.954,-6.378,-0.794,
0.37,15.911,-6.345,-0.812,
0.38,15.862,-6.311,-0.831,
0.39,15.808,-6.274,-0.852,
0.4,15.749,-6.236,-0.872,
0.41,15.688,-6.199,-0.893,
0.42,15.629,-6.162,-0.913,
0.43,15.574,-6.127,-0.93,
0.44,15.524,-6.094,-0.945,
0.45,15.48,-6.063,-0.958,
0.46,15.441,-6.032,-0.968,
0.47,15.405,-6.001,-0.977,
0.48,15.374,-5.968,-0.984,
0.49,15.346,-5.935,-0.992,
0.5,15.321,-5.902,-0.999,
0.51,15.301,-5.869,-1.008,
0.52,15.284,-5.838,-1.016,
0.53,15.27,-5.808,-1.026,
0.54,15.258,-5.779,-1.036,
0.55,15.246,-5.752,-1.045,
0.56,15.236,-5.727,-1.054,
0.57,15.226,-5.702,-1.061,
0.58,15.218,-5.679,-1.068,
0.59,15.212,-5.657,-1.074,
0.6,15.207,-5.637,-1.08,
0.61,15.205,-5.618,-1.086,
0.62,15.205,-5.601,-1.092,
0.63,15.206,-5.585,-1.098,
0.64,15.208,-5.57,-1.105,
0.65,15.21,-5.556,-1.113,
0.66,15.211,-5.541,-1.121,
0.67,15.212,-5.526,-1.13,
0.68,15.213,-5.512,-1.138,
0.69,15.214,-5.498,-1.146,
0.7,15.214,-5.484,-1.153,
0.71,15.214,-5.471,-1.159,
0.72,15.213,-5.459,-1.163,
0.73,15.211,-5.447,-1.166,
0.74,15.208,-5.436,-1.168,
0.75,15.203,-5.427,-1.168,
0.76,15.198,-5.419,-1.166,
0.77,15.192,-5.412,-1.162,
0.78,15.185,-5.408,-1.158,
0.79,15.177,-5.405,-1.153,
0.8,15.169,-5.404,-1.149,
0.81,15.161,-5.404,-1.145,
0.82,15.154,-5.404,-1.143,
0.83,15.148,-5.405,-1.142,
0.84,15.142,-5.405,-1.142,
0.85,15.136,-5.405,-1.142,
0.86,15.131,-5.405,-1.142,
0.87,15.126,-5.405,-1.142,
0.88,15.122,-5.406,-1.142,
0.89,15.119,-5.409,-1.141,
0.9,15.118,-5.412,-1.141,
0.91,15.118,-5.417,-1.14,
0.92,15.118,-5.422,-1.141,
0.93,15.119,-5.427,-1.143,
0.94,15.119,-5.432,-1.146,
0.95,15.119,-5.436,-1.149,
0.96,15.117,-5.439,-1.154,
0.97,15.115,-5.44,-1.158,
0.98,15.113,-5.44,-1.163,
0.99,15.11,-5.439,-1.167,
1,15.108,-5.438,-1.172,
1.01,15.106,-5.437,-1.176,
1.02,15.105,-5.435,-1.18,
1.03,15.106,-5.434,-1.183,
1.04,15.108,-5.433,-1.186,
1.05,15.111,-5.432,-1.188,
1.06,15.115,-5.431,-1.19,
1.07,15.117,-5.428,-1.191,
1.08,15.119,-5.426,-1.191,
1.09,15.12,-5.424,-1.191,
1.1,15.12,-5.422,-1.19,
1.11,15.119,-5.421,-1.19,
1.12,15.119,-5.422,-1.189,
1.13,15.117,-5.423,-1.189,
1.14,15.114,-5.424,-1.188,
1.15,15.109,-5.425,-1.189,
1.16,15.102,-5.426,-1.189,
1.17,15.094,-5.426,-1.189,
1.18,15.086,-5.426,-1.189,
1.19,15.079,-5.427,-1.189,
1.2,15.074,-5.428,-1.188,
1.21,15.069,-5.431,-1.187,
1.22,15.063,-5.434,-1.185,
1.23,15.057,-5.439,-1.184,
1.24,15.049,-5.443,-1.183,
1.25,15.041,-5.447,-1.183,
1.26,15.032,-5.451,-1.184,
1.27,15.024,-5.455,-1.185,
1.28,15.018,-5.459,-1.187,
1.29,15.014,-5.462,-1.19,
1.3,15.011,-5.465,-1.192,
1.31,15.009,-5.467,-1.195,
1.32,15.008,-5.468,-1.197,
1.33,15.007,-5.469,-1.199,
1.34,15.006,-5.469,-1.2,
1.35,15.004,-5.468,-1.2,
1.36,15.001,-5.467,-1.201,
1.37,14.998,-5.467,-1.201,
1.38,14.994,-5.467,-1.201,
1.39,14.992,-5.467,-1.2,
1.4,14.989,-5.469,-1.199,
1.41,14.987,-5.47,-1.197,
1.42,14.983,-5.472,-1.195,
1.43,14.978,-5.473,-1.195,
1.44,14.972,-5.474,-1.196,
1.45,14.965,-5.475,-1.198,
1.46,14.957,-5.475,-1.202,
1.47,14.95,-5.475,-1.207,
1.48,14.944,-5.474,-1.212,
1.49,14.939,-5.473,-1.217,
1.5,14.935,-5.471,-1.221,
1.51,14.932,-5.47,-1.224,
1.52,14.929,-5.469,-1.228,
1.53,14.927,-5.468,-1.231,
1.54,14.924,-5.469,-1.235,
1.55,14.922,-5.47,-1.238,
1.56,14.919,-5.472,-1.242,
1.57,14.917,-5.474,-1.246,
1.58,14.916,-5.475,-1.249,
1.59,14.915,-5.477,-1.252,
1.6,14.915,-5.477,-1.254,
1.61,14.915,-5.477,-1.256,
1.62,14.915,-5.477,-1.257,
1.63,14.916,-5.475,-1.259,
1.64,14.918,-5.474,-1.261,
1.65,14.92,-5.471,-1.262,
1.66,14.924,-5.468,-1.264,
1.67,14.928,-5.465,-1.266,
1.68,14.933,-5.463,-1.268,
1.69,14.939,-5.461,-1.269,
1.7,14.944,-5.46,-1.271,
1.71,14.949,-5.46,-1.272,
1.72,14.954,-5.46,-1.272,
1.73,14.958,-5.46,-1.273,
1.74,14.961,-5.459,-1.273,
1.75,14.965,-5.458,-1.273,
1.76,14.968,-5.457,-1.273,
1.77,14.971,-5.455,-1.273,
1.78,14.976,-5.453,-1.273,
1.79,14.981,-5.45,-1.272,
1.8,14.986,-5.448,-1.271,
1.81,14.991,-5.446,-1.27,
1.82,14.996,-5.443,-1.27,
1.83,15,-5.441,-1.27,
1.84,15.003,-5.44,-1.271,
1.85,15.005,-5.438,-1.272,
1.86,15.008,-5.436,-1.272,
1.87,15.01,-5.435,-1.272,
1.88,15.012,-5.434,-1.271,
1.89,15.015,-5.433,-1.27,
1.9,15.018,-5.433,-1.269,
1.91,15.019,-5.433,-1.269,
1.92,15.019,-5.433,-1.271,
1.93,15.015,-5.432,-1.273,
1.94,15.01,-5.43,-1.275,
1.95,15.002,-5.427,-1.277,
1.96,14.993,-5.422,-1.278,
1.97,14.986,-5.418,-1.278,
1.98,14.981,-5.414,-1.277,
1.99,14.979,-5.411,-1.276,
2,14.978,-5.409,-1.274,
2.01,14.978,-5.408,-1.273,
2.02,14.977,-5.407,-1.271,
2.03,14.976,-5.406,-1.27,
2.04,14.974,-5.406,-1.267,
2.05,14.973,-5.405,-1.265,
2.06,14.974,-5.404,-1.264,
2.07,14.976,-5.403,-1.264,
2.08,14.982,-5.402,-1.266,
2.09,14.99,-5.401,-1.269,
2.1,15,-5.399,-1.275,
2.11,15.012,-5.396,-1.281,
2.12,15.024,-5.393,-1.287,
2.13,15.035,-5.39,-1.291,
2.14,15.045,-5.387,-1.294,
2.15,15.054,-5.384,-1.296,
2.16,15.062,-5.382,-1.297,
2.17,15.07,-5.38,-1.299,
2.18,15.077,-5.378,-1.301,
2.19,15.083,-5.377,-1.305,
2.2,15.089,-5.375,-1.31,
2.21,15.094,-5.371,-1.314,
2.22,15.099,-5.367,-1.319,
2.23,15.104,-5.362,-1.322,
2.24,15.111,-5.355,-1.325,
2.25,15.119,-5.348,-1.328,
2.26,15.13,-5.34,-1.33,
2.27,15.144,-5.331,-1.331,
2.28,15.159,-5.322,-1.332,
2.29,15.174,-5.312,-1.333,
2.3,15.19,-5.302,-1.332,
2.31,15.204,-5.291,-1.332,
2.32,15.216,-5.279,-1.331,
2.33,15.226,-5.268,-1.33,
2.34,15.235,-5.257,-1.331,
2.35,15.242,-5.246,-1.332,
2.36,15.249,-5.237,-1.334,
2.37,15.255,-5.228,-1.336,
2.38,15.263,-5.22,-1.338,
2.39,15.271,-5.212,-1.339,
2.4,15.28,-5.204,-1.339,
2.41,15.291,-5.196,-1.339,
2.42,15.304,-5.188,-1.339,
2.43,15.317,-5.18,-1.339,
2.44,15.333,-5.172,-1.34,
2.45,15.352,-5.166,-1.342,
2.46,15.373,-5.161,-1.345,
2.47,15.4,-5.158,-1.35,
2.48,15.433,-5.158,-1.355,
2.49,15.471,-5.161,-1.363,
2.5,15.516,-5.168,-1.372,
2.51,15.566,-5.178,-1.384,
2.52,15.619,-5.191,-1.398,
2.53,15.673,-5.205,-1.414,
2.54,15.729,-5.218,-1.432,
2.55,15.784,-5.23,-1.451,
2.56,15.838,-5.24,-1.472,
2.57,15.89,-5.248,-1.493,
2.58,15.94,-5.253,-1.516,
2.59,15.987,-5.256,-1.539,
2.6,16.031,-5.258,-1.564,
2.61,16.072,-5.259,-1.589,
2.62,16.112,-5.259,-1.617,
2.63,16.153,-5.26,-1.644,
2.64,16.197,-5.259,-1.672,
2.65,16.246,-5.258,-1.697,
2.66,16.3,-5.257,-1.719,
2.67,16.357,-5.256,-1.737,
2.68,16.415,-5.255,-1.751,
2.69,16.472,-5.256,-1.76,
2.7,16.527,-5.257,-1.767,
2.71,16.577,-5.261,-1.774,
2.72,16.624,-5.266,-1.78,
2.73,16.668,-5.272,-1.788,
2.74,16.708,-5.279,-1.797,
2.75,16.744,-5.286,-1.806,
2.76,16.776,-5.291,-1.815,
2.77,16.804,-5.295,-1.823,
2.78,16.828,-5.297,-1.83,
2.79,16.85,-5.298,-1.836,
2.8,16.87,-5.298,-1.841,
2.81,16.887,-5.298,-1.844,
2.82,16.902,-5.299,-1.845,
2.83,16.914,-5.302,-1.842,
2.84,16.923,-5.306,-1.835,
2.85,16.929,-5.314,-1.825,
2.86,16.933,-5.323,-1.811,
2.87,16.936,-5.335,-1.796,
2.88,16.937,-5.348,-1.78,
2.89,16.938,-5.362,-1.766,
2.9,16.936,-5.374,-1.753,
2.91,16.934,-5.385,-1.742,
2.92,16.929,-5.392,-1.733,
2.93,16.924,-5.395,-1.725,
2.94,16.918,-5.394,-1.717,
2.95,16.911,-5.39,-1.709,
2.96,16.905,-5.383,-1.7,
2.97,16.9,-5.376,-1.691,
2.98,16.896,-5.369,-1.683,
2.99,16.893,-5.364,-1.677,
3,16.891,-5.36,-1.672,
3.01,16.89,-5.359,-1.668,
3.02,16.889,-5.358,-1.665,
3.03,16.888,-5.357,-1.663,
3.04,16.887,-5.357,-1.661,
3.05,16.886,-5.356,-1.658,
3.06,16.884,-5.354,-1.654,
3.07,16.881,-5.352,-1.649,
3.08,16.877,-5.35,-1.643,
3.09,16.872,-5.346,-1.636,
3.1,16.864,-5.342,-1.629,
3.11,16.853,-5.335,-1.623,
3.12,16.838,-5.328,-1.617,
3.13,16.818,-5.319,-1.612,
3.14,16.793,-5.311,-1.608,
3.15,16.765,-5.305,-1.607,
3.16,16.736,-5.302,-1.608,
3.17,16.706,-5.302,-1.611,
3.18,16.676,-5.305,-1.614,
3.19,16.648,-5.309,-1.617,
3.2,16.619,-5.313,-1.619,
3.21,16.587,-5.314,-1.619,
3.22,16.553,-5.311,-1.619,
3.23,16.516,-5.304,-1.618,
3.24,16.476,-5.292,-1.616,
3.25,16.437,-5.28,-1.615,
3.26,16.398,-5.269,-1.613,
3.27,16.361,-5.26,-1.612,
3.28,16.328,-5.255,-1.609,
3.29,16.296,-5.253,-1.605,
3.3,16.265,-5.252,-1.601,
3.31,16.235,-5.249,-1.597,
3.32,16.204,-5.244,-1.595,
3.33,16.172,-5.236,-1.596,
3.34,16.142,-5.224,-1.601,
3.35,16.113,-5.21,-1.608,
3.36,16.087,-5.195,-1.618,
3.37,16.065,-5.18,-1.628,
3.38,16.047,-5.165,-1.638,
3.39,16.032,-5.151,-1.646,
3.4,16.019,-5.138,-1.653,
3.41,16.006,-5.125,-1.658,
3.42,15.994,-5.112,-1.662,
3.43,15.982,-5.099,-1.666,
3.44,15.969,-5.087,-1.669,
3.45,15.955,-5.076,-1.672,
3.46,15.941,-5.068,-1.673,
3.47,15.926,-5.061,-1.673,
3.48,15.913,-5.056,-1.672,
3.49,15.9,-5.054,-1.669,
3.5,15.887,-5.053,-1.666,
3.51,15.876,-5.053,-1.663,
3.52,15.864,-5.052,-1.661,
3.53,15.851,-5.052,-1.658,
3.54,15.836,-5.051,-1.655,
3.55,15.82,-5.05,-1.651,
3.56,15.804,-5.049,-1.647,
3.57,15.788,-5.049,-1.643,
3.58,15.774,-5.051,-1.64,
3.59,15.761,-5.054,-1.639,
3.6,15.75,-5.058,-1.638,
3.61,15.74,-5.062,-1.638,
3.62,15.729,-5.065,-1.638,
3.63,15.719,-5.067,-1.639,
3.64,15.708,-5.068,-1.639,
3.65,15.699,-5.069,-1.639,
3.66,15.691,-5.069,-1.638,
3.67,15.684,-5.068,-1.638,
3.68,15.679,-5.067,-1.638,
3.69,15.676,-5.066,-1.637,
3.7,15.673,-5.063,-1.635,
3.71,15.671,-5.061,-1.631,
3.72,15.667,-5.059,-1.627,
3.73,15.663,-5.057,-1.621,
3.74,15.657,-5.055,-1.615,
3.75,15.651,-5.053,-1.609,
3.76,15.644,-5.053,-1.603,
3.77,15.637,-5.052,-1.598,
3.78,15.631,-5.052,-1.594,
3.79,15.626,-5.052,-1.589,
3.8,15.62,-5.052,-1.584,
3.81,15.614,-5.051,-1.579,
3.82,15.607,-5.048,-1.572,
3.83,15.6,-5.046,-1.565,
3.84,15.592,-5.043,-1.558,
3.85,15.585,-5.041,-1.552,
3.86,15.577,-5.04,-1.546,
3.87,15.57,-5.04,-1.543,
3.88,15.563,-5.04,-1.542,
3.89,15.556,-5.04,-1.542,
3.9,15.547,-5.039,-1.543,
3.91,15.538,-5.038,-1.544,
3.92,15.528,-5.035,-1.544,
3.93,15.517,-5.03,-1.545,
3.94,15.506,-5.025,-1.545,
3.95,15.493,-5.018,-1.546,
3.96,15.479,-5.011,-1.546,
3.97,15.462,-5.002,-1.546,
3.98,15.442,-4.994,-1.546,
3.99,15.419,-4.984,-1.547,
4,15.393,-4.973,-1.548,
4.01,15.362,-4.961,-1.549,
4.02,15.328,-4.949,-1.552,
