Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.018,0.214,0.08,
0.01,0.018,0.214,0.08,
0.02,0.018,0.214,0.08,
0.03,0.018,0.214,0.08,
0.04,0.018,0.214,0.08,
0.05,0.018,0.214,0.08,
0.06,0.018,0.214,0.08,
0.07,0.018,0.214,0.08,
0.08,0.018,0.214,0.08,
0.09,0.018,0.214,0.08,
0.1,0.019,0.214,0.079,
0.11,0.019,0.214,0.079,
0.12,0.019,0.214,0.079,
0.13,0.019,0.214,0.079,
0.14,0.019,0.214,0.079,
0.15,0.019,0.214,0.079,
0.16,0.019,0.214,0.079,
0.17,0.019,0.214,0.079,
0.18,0.019,0.214,0.079,
0.19,0.019,0.214,0.079,
0.2,0.019,0.214,0.079,
0.21,0.019,0.214,0.078,
0.22,0.019,0.214,0.078,
0.23,0.019,0.214,0.078,
0.24,0.019,0.215,0.078,
0.25,0.019,0.215,0.078,
0.26,0.019,0.215,0.078,
0.27,0.019,0.215,0.078,
0.28,0.019,0.215,0.078,
0.29,0.019,0.215,0.078,
0.3,0.019,0.215,0.077,
0.31,0.019,0.215,0.077,
0.32,0.019,0.215,0.077,
0.33,0.019,0.215,0.077,
0.34,0.019,0.215,0.077,
0.35,0.019,0.215,0.077,
0.36,0.019,0.215,0.077,
0.37,0.018,0.215,0.077,
0.38,0.018,0.215,0.076,
0.39,0.018,0.215,0.076,
0.4,0.018,0.215,0.076,
0.41,0.018,0.215,0.076,
0.42,0.018,0.215,0.076,
0.43,0.017,0.216,0.076,
0.44,0.017,0.216,0.076,
0.45,0.017,0.216,0.076,
0.46,0.017,0.216,0.075,
0.47,0.017,0.216,0.075,
0.48,0.017,0.216,0.075,
0.49,0.017,0.216,0.075,
0.5,0.016,0.216,0.075,
0.51,0.016,0.216,0.075,
0.52,0.016,0.216,0.075,
0.53,0.016,0.216,0.075,
0.54,0.016,0.216,0.075,
0.55,0.016,0.216,0.075,
0.56,0.016,0.216,0.075,
0.57,0.016,0.216,0.075,
0.58,0.015,0.216,0.075,
0.59,0.015,0.216,0.075,
0.6,0.015,0.216,0.075,
0.61,0.015,0.216,0.075,
0.62,0.015,0.216,0.075,
0.63,0.015,0.216,0.075,
0.64,0.015,0.216,0.075,
0.65,0.015,0.216,0.075,
0.66,0.015,0.216,0.075,
0.67,0.015,0.216,0.075,
0.68,0.015,0.216,0.075,
0.69,0.015,0.216,0.075,
0.7,0.015,0.216,0.075,
0.71,0.015,0.216,0.075,
0.72,0.014,0.216,0.075,
0.73,0.014,0.216,0.075,
0.74,0.014,0.216,0.075,
0.75,0.014,0.216,0.075,
0.76,0.014,0.216,0.075,
0.77,0.014,0.216,0.075,
0.78,0.014,0.216,0.075,
0.79,0.014,0.216,0.075,
0.8,0.014,0.216,0.075,
0.81,0.014,0.216,0.075,
0.82,0.014,0.216,0.075,
0.83,0.014,0.216,0.075,
0.84,0.014,0.216,0.075,
0.85,0.014,0.216,0.075,
0.86,0.014,0.216,0.075,
0.87,0.014,0.216,0.075,
0.88,0.014,0.216,0.075,
0.89,0.014,0.216,0.075,
0.9,0.014,0.216,0.075,
0.91,0.014,0.216,0.075,
0.92,0.014,0.216,0.075,
0.93,0.014,0.216,0.075,
0.94,0.014,0.216,0.075,
0.95,0.014,0.216,0.075,
0.96,0.014,0.216,0.075,
0.97,0.014,0.216,0.075,
0.98,0.014,0.216,0.075,
0.99,0.014,0.216,0.075,
1,0.014,0.216,0.075,
1.01,0.014,0.216,0.075,
1.02,0.014,0.216,0.075,
1.03,0.014,0.216,0.075,
1.04,0.014,0.216,0.075,
1.05,0.014,0.216,0.075,
1.06,0.014,0.216,0.075,
1.07,0.014,0.216,0.075,
1.08,0.014,0.216,0.075,
1.09,0.014,0.216,0.075,
1.1,0.014,0.216,0.075,
1.11,0.014,0.216,0.075,
1.12,0.014,0.216,0.075,
1.13,0.014,0.216,0.075,
1.14,0.014,0.216,0.075,
1.15,0.014,0.216,0.075,
1.16,0.014,0.216,0.075,
1.17,0.014,0.216,0.075,
1.18,0.014,0.216,0.075,
1.19,0.014,0.216,0.075,
1.2,0.014,0.216,0.075,
1.21,0.014,0.216,0.075,
