Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,6.414,-2.52,-6.261,
0.033,6.302,-2.498,-6.296,
0.067,6.216,-2.497,-6.333,
0.1,6.2,-2.487,-6.382,
0.133,6.24,-2.494,-6.445,
0.167,6.29,-2.51,-6.539,
0.2,6.323,-2.492,-6.584,
0.233,6.255,-2.504,-6.588,
0.267,6.235,-2.567,-6.665,
0.3,6.382,-2.66,-6.769,
0.333,6.578,-2.75,-6.893,
0.367,6.638,-2.821,-7.013,
0.4,6.642,-2.845,-7.074,
0.433,6.74,-2.873,-7.109,
0.467,6.75,-2.913,-7.138,
0.5,6.704,-3.003,-7.215,
0.533,6.618,-3.033,-7.285,
0.567,6.472,-3.067,-7.362,
0.6,6.353,-3.194,-7.482,
0.633,6.298,-3.359,-7.634,
0.667,6.252,-3.488,-7.77,
0.7,6.117,-3.483,-7.837,
0.733,5.959,-3.433,-7.879,
0.767,5.763,-3.368,-7.972,
0.8,5.551,-3.235,-8.048,
0.833,5.224,-3.13,-8.101,
0.867,4.781,-2.97,-8.033,
0.9,4.218,-2.626,-7.785,
0.933,3.649,-2.149,-7.367,
0.967,3.152,-1.652,-6.785,
1,2.895,-1.314,-5.987,
1.033,3.117,-1.426,-5.18,
1.067,3.176,-2.115,-4.778,
1.1,2.574,-3.12,-4.589,
1.133,1.696,-4.064,-4.516,
1.167,1.502,-4.457,-4.097,
1.2,1.76,-4.671,-3.701,
1.233,1.72,-4.836,-3.741,
1.267,1.503,-4.85,-3.995,
1.3,1.442,-4.787,-4.298,
1.333,1.616,-4.999,-4.669,
1.367,1.766,-5.494,-5.165,
1.4,2.264,-5.895,-5.685,
1.433,3.223,-6.025,-6.097,
1.467,4.77,-5.833,-6.033,
1.5,5.747,-5.803,-6.336,
1.533,5.746,-5.484,-6.864,
1.567,6.544,-5.009,-6.888,
1.6,7.495,-4.861,-7.093,
1.633,7.672,-4.889,-7.272,
1.667,7.535,-4.982,-7.316,
1.7,7.574,-5.119,-7.218,
1.733,7.385,-5.277,-6.861,
1.767,7.061,-5.492,-6.517,
1.8,7.107,-5.768,-6.496,
1.833,7.214,-5.924,-6.492,
1.867,7.102,-6.039,-6.467,
1.9,6.991,-6.077,-6.451,
1.933,6.928,-5.935,-6.421,
1.967,6.67,-5.71,-6.384,
2,6.336,-5.522,-6.327,
2.033,6.25,-5.321,-6.366,
2.067,6.222,-5.167,-6.414,
2.1,5.735,-5.028,-6.273,
2.133,5.127,-4.898,-5.909,
2.167,5.149,-4.682,-5.522,
2.2,5.788,-4.411,-5.18,
2.233,6.679,-4.105,-4.888,
2.267,7.554,-3.708,-4.794,
2.3,8.325,-3.25,-4.708,
2.333,9.098,-2.882,-4.688,
2.367,9.76,-2.575,-4.716,
2.4,10.111,-2.211,-4.79,
2.433,10.262,-1.866,-4.966,
2.467,10.312,-1.711,-5.203,
2.5,10.088,-1.7,-5.405,
2.533,9.827,-1.768,-5.48,
2.567,9.657,-1.84,-5.475,
2.6,9.486,-1.907,-5.47,
2.633,9.352,-2.048,-5.591,
2.667,9.116,-2.199,-5.869,
2.7,8.62,-2.299,-6.231,
2.733,8.086,-2.364,-6.546,
2.767,7.858,-2.43,-7.06,
2.8,7.441,-2.665,-7.789,
2.833,7.067,-2.923,-8.474,
2.867,7.827,-2.94,-8.663,
2.9,9.499,-3.623,-9.462,
2.933,10.354,-4.354,-10.859,
2.967,11.532,-5.102,-11.542,
3,11.853,-6.161,-12.048,
3.033,11.607,-7.061,-12.486,
3.067,11.334,-7.628,-12.701,
3.1,11.232,-8.114,-12.91,
3.133,11.156,-8.464,-13.065,
3.167,10.846,-8.672,-13.11,
3.2,10.631,-8.701,-13.123,
3.233,10.453,-8.614,-13.166,
3.267,10.14,-8.511,-13.275,
3.3,9.668,-8.477,-13.411,
3.333,9.124,-8.461,-13.477,
3.367,8.593,-8.434,-13.526,
3.4,8.105,-8.256,-13.52,
3.433,7.651,-7.848,-13.212,
3.467,7.162,-7.293,-12.682,
3.5,6.493,-6.664,-12.146,
3.533,6.182,-6.091,-11.653,
3.567,6.549,-5.586,-11.223,
3.6,7.054,-5.128,-11.071,
3.633,7.403,-4.836,-10.972,
3.667,7.888,-4.822,-10.916,
3.7,8.189,-4.745,-11.01,
3.733,8.171,-4.334,-10.997,
3.767,7.926,-3.994,-10.827,
3.8,7.562,-3.928,-10.59,
3.833,6.975,-3.825,-10.312,
3.867,6.208,-3.805,-10.128,
3.9,5.209,-4.032,-10.007,
3.933,4.052,-4.372,-9.887,
3.967,2.739,-4.78,-9.873,
4,1.541,-5.192,-9.893,
4.033,0.668,-5.578,-10.007,
4.067,-0.149,-5.945,-10.218,
4.1,-0.671,-6.34,-10.395,
4.133,-1.045,-6.76,-10.513,
4.167,-1.325,-7.133,-10.775,
4.2,-1.015,-6.872,-10.345,
4.233,-0.08,-6.54,-9.836,
4.267,1.001,-5.936,-9.132,
4.3,2.412,-5.064,-8.328,
4.333,3.776,-4.076,-7.715,
4.367,4.675,-3.315,-7.325,
4.4,5.174,-2.806,-7.169,
4.433,5.514,-2.617,-7.229,
4.467,5.933,-2.707,-7.392,
4.5,6.154,-2.856,-7.634,
4.533,5.915,-3.158,-7.978,
4.567,5.579,-3.48,-8.324,
4.6,5.378,-3.729,-8.656,
4.633,5.213,-3.944,-8.983,
4.667,4.905,-4.111,-9.224,
4.7,4.489,-4.229,-9.341,
4.733,4.077,-4.355,-9.518,
4.767,3.751,-4.438,-9.734,
4.8,3.303,-4.42,-9.776,
4.833,3.079,-4.358,-9.513,
4.867,3.1,-4.317,-8.976,
4.9,3.234,-4.115,-8.252,
4.933,4.224,-3.817,-7.766,
4.967,5.499,-3.297,-7.408,
5,6.647,-2.902,-7.01,
5.033,7.359,-2.77,-6.684,
5.067,7.955,-2.449,-6.314,
5.1,8.576,-1.895,-6.1,
5.133,9.014,-1.519,-6.053,
5.167,9.141,-1.504,-6.081,
5.2,9.182,-1.543,-6.049,
5.233,9.035,-1.653,-5.947,
5.267,8.874,-1.851,-5.793,
5.3,8.663,-1.981,-5.517,
5.333,8.317,-1.98,-5.1,
5.367,7.826,-1.96,-4.733,
5.4,7.158,-1.897,-4.413,
5.433,6.229,-1.847,-4.064,
5.467,5.187,-1.833,-3.751,
5.5,4.03,-1.962,-3.548,
5.533,2.773,-2.07,-3.368,
5.567,1.725,-2.219,-3.118,
5.6,0.801,-2.465,-2.891,
5.633,0.145,-2.833,-2.675,
5.667,-0.231,-3.247,-2.611,
5.7,-0.381,-3.754,-2.622,
5.733,-0.329,-4.248,-2.762,
5.767,-0.116,-4.675,-3.009,
5.8,0.279,-5.021,-3.319,
5.833,0.929,-5.317,-3.425,
5.867,1.18,-5.468,-3.526,
5.9,1.271,-5.499,-3.502,
5.933,1.635,-5.464,-3.428,
5.967,1.807,-5.51,-3.565,
6,1.748,-5.781,-3.927,
6.033,1.82,-5.968,-4.006,
6.067,1.858,-6.028,-3.952,
6.1,1.728,-6.155,-4.076,
6.133,1.498,-6.39,-4.354,
6.167,1.253,-6.675,-4.66,
6.2,1.268,-6.905,-4.858,
6.233,1.375,-7.165,-4.983,
6.267,1.184,-7.36,-5.061,
6.3,0.99,-7.661,-5.073,
6.333,0.89,-7.991,-4.987,
6.367,0.753,-8.119,-4.785,
6.4,0.544,-7.896,-4.428,
6.433,0.292,-7.54,-3.932,
6.467,0.067,-7.124,-3.202,
6.5,-0.039,-6.754,-2.362,
6.533,0.295,-6.891,-2.608,
6.567,0.621,-7.064,-3.078,
6.6,0.973,-7.413,-2.871,
6.633,1.619,-7.565,-2.259,
6.667,1.99,-7.003,-1.44,
6.7,1.99,-6.13,-0.77,
6.733,2.217,-5.432,-0.139,
6.767,2.807,-4.794,0.363,
6.8,3.602,-4.038,0.86,
6.833,4.162,-3.543,1.087,
6.867,4.303,-3.304,0.914,
6.9,4.529,-3.214,0.385,
6.933,4.8,-3.268,-0.469,
6.967,5.378,-3.562,-1.102,
