Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,16.074,0.776,-8.243,
0.033,16.142,0.796,-8.26,
0.067,16.227,0.821,-8.281,
0.1,16.324,0.848,-8.306,
0.133,16.439,0.869,-8.35,
0.167,16.559,0.875,-8.414,
0.2,16.711,0.89,-8.474,
0.233,16.786,0.908,-8.507,
0.267,16.847,0.921,-8.527,
0.3,16.876,0.931,-8.533,
0.333,16.807,0.933,-8.542,
0.367,16.755,0.934,-8.57,
0.4,16.764,0.917,-8.649,
0.433,16.819,0.868,-8.768,
0.467,16.836,0.812,-8.871,
0.5,16.808,0.739,-8.969,
0.533,16.795,0.673,-9.046,
0.567,16.765,0.581,-9.093,
0.6,16.608,0.478,-9.121,
0.633,16.459,0.411,-9.131,
0.667,16.303,0.356,-9.166,
0.7,16.084,0.315,-9.194,
0.733,15.771,0.287,-9.163,
0.767,15.453,0.213,-9.1,
0.8,15.089,0.045,-8.985,
0.833,14.686,-0.082,-8.766,
0.867,14.114,-0.093,-8.388,
0.9,13.431,-0.006,-7.796,
0.933,12.735,0.168,-7.056,
0.967,12.163,0.475,-6.278,
1,11.777,0.772,-5.615,
1.033,11.028,0.953,-5.046,
1.067,9.832,0.723,-4.714,
1.1,8.923,0.471,-4.651,
1.133,8.542,0.451,-4.815,
1.167,8.229,0.802,-4.756,
1.2,7.937,1.392,-4.531,
1.233,7.809,1.383,-4.791,
1.267,7.711,0.568,-5.633,
1.3,7.154,-0.354,-6.561,
1.333,7.079,-0.848,-7.534,
1.367,7.427,-1.096,-8.648,
1.4,7.415,-1.567,-9.852,
1.433,7.726,-1.651,-10.614,
1.467,8.062,-0.855,-10.381,
1.5,8.117,-0.385,-10.438,
1.533,9.276,-0.922,-11.176,
1.567,10.082,-1.066,-11.626,
1.6,10.689,-0.94,-11.688,
1.633,11.82,-1.262,-12.134,
1.667,12.987,-1.898,-12.68,
1.7,13.436,-2.309,-12.558,
1.733,13.402,-2.526,-12.115,
1.767,13.379,-2.67,-11.623,
1.8,13.169,-3.004,-11.016,
1.833,12.847,-3.717,-10.832,
1.867,12.53,-4.43,-10.919,
1.9,12.091,-4.799,-10.811,
1.933,11.444,-4.859,-10.389,
1.967,10.742,-4.537,-9.629,
2,9.879,-4.062,-8.926,
2.033,8.904,-3.655,-8.276,
2.067,7.89,-3.099,-7.491,
2.1,7.376,-2.197,-6.707,
2.133,7.198,-1.151,-5.891,
2.167,6.882,-0.341,-4.846,
2.2,6.554,0.164,-3.897,
2.233,6.421,0.001,-3.781,
2.267,6.613,-0.397,-3.868,
2.3,7.07,-0.391,-3.759,
2.333,7.226,-0.046,-3.483,
2.367,7.482,0.365,-3.134,
2.4,7.863,0.842,-2.765,
2.433,8.227,1.252,-2.499,
2.467,8.503,1.474,-2.628,
2.5,8.629,1.499,-3.073,
2.533,8.781,1.83,-3.371,
2.567,8.875,2.538,-3.333,
2.6,8.931,2.95,-3.479,
2.633,8.893,2.854,-3.988,
2.667,8.623,2.373,-4.724,
2.7,7.963,1.704,-5.493,
2.733,7.092,1.235,-6.111,
2.767,6.431,0.731,-6.731,
2.8,5.88,0.029,-7.651,
2.833,5.449,-0.045,-8.338,
2.867,5.386,0.682,-8.487,
2.9,5.596,0.755,-8.84,
2.933,6.595,-0.663,-10.055,
2.967,6.824,-1.601,-10.859,
3,6.705,-1.855,-11.169,
3.033,6.638,-2.268,-11.481,
3.067,6.511,-2.852,-11.856,
3.1,6.133,-3.177,-11.805,
3.133,5.635,-3.468,-11.726,
3.167,5.197,-3.841,-11.795,
3.2,4.666,-4.042,-11.735,
3.233,3.934,-4.242,-11.598,
3.267,3.102,-4.447,-11.321,
3.3,2.274,-4.536,-10.886,
3.333,1.525,-4.427,-10.407,
3.367,0.809,-4.213,-9.875,
3.4,0.18,-4.03,-9.391,
3.433,-0.346,-3.822,-9,
3.467,-0.893,-3.549,-8.593,
3.5,-1.154,-3.241,-8.219,
3.533,-0.857,-3.202,-8.011,
3.567,-0.306,-3.323,-8.144,
3.6,0.294,-3.525,-8.313,
3.633,0.77,-3.357,-8.536,
3.667,1.178,-2.582,-8.488,
3.7,1.576,-2.021,-8.472,
3.733,1.915,-1.993,-8.931,
3.767,2.033,-1.65,-9.182,
3.8,2.212,-0.957,-8.955,
3.833,2.402,-0.689,-9.035,
3.867,2.391,-0.645,-9.309,
3.9,2.182,-0.469,-9.418,
3.933,1.795,-0.322,-9.426,
3.967,1.195,-0.365,-9.443,
4,0.462,-0.583,-9.497,
4.033,-0.273,-0.968,-9.677,
4.067,-0.952,-1.326,-9.963,
4.1,-1.505,-1.385,-10.119,
4.133,-1.606,-1.301,-10.354,
4.167,-1.234,-0.949,-10.678,
4.2,-0.527,0.146,-10.711,
4.233,0.144,1.518,-10.024,
4.267,1.293,2.196,-9.699,
4.3,2.254,2.402,-9.688,
4.333,2.801,2.443,-9.73,
4.367,3.035,2.362,-9.78,
4.4,3.324,2.083,-9.995,
4.433,3.817,1.853,-9.908,
4.467,4.114,1.554,-9.818,
4.5,4.308,0.939,-9.973,
4.533,4.476,0.408,-10.012,
4.567,4.698,0.024,-9.857,
4.6,4.76,-0.375,-9.606,
4.633,4.531,-0.775,-9.325,
4.667,4.064,-1.02,-8.941,
4.7,3.364,-1.12,-8.577,
4.733,2.667,-1.154,-8.272,
4.767,2.086,-1.201,-8.053,
4.8,1.589,-1.196,-7.865,
4.833,1.025,-1.065,-7.517,
4.867,0.51,-0.791,-6.837,
4.9,0.704,-0.676,-6.208,
4.933,1.343,-0.804,-5.974,
4.967,1.917,-0.827,-5.733,
5,2.48,-0.36,-5.362,
5.033,3.161,0.609,-4.502,
