Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0,0.384,0.079,
0.033,-0,0.384,0.079,
0.067,-0,0.384,0.079,
0.1,-0,0.383,0.079,
0.133,-0.001,0.383,0.079,
0.167,-0.001,0.383,0.08,
0.2,-0.001,0.383,0.081,
0.233,-0.001,0.383,0.081,
0.267,-0.001,0.383,0.081,
0.3,-0.001,0.383,0.081,
0.333,-0,0.383,0.082,
0.367,-0,0.383,0.082,
0.4,-0,0.383,0.082,
0.433,0,0.383,0.082,
0.467,0,0.383,0.083,
0.5,0.001,0.383,0.082,
0.533,0.001,0.383,0.082,
0.567,0.002,0.383,0.081,
0.6,0.002,0.383,0.081,
0.633,0.003,0.383,0.08,
0.667,0.004,0.383,0.079,
0.7,0.004,0.384,0.078,
0.733,0.004,0.384,0.077,
0.767,0.004,0.384,0.075,
0.8,0.005,0.385,0.073,
0.833,0.005,0.385,0.07,
0.867,0.005,0.386,0.067,
0.9,0.004,0.386,0.063,
0.933,0.003,0.387,0.058,
0.967,0,0.388,0.054,
1,-0.001,0.388,0.052,
1.033,-0.001,0.388,0.05,
1.067,0.002,0.389,0.046,
1.1,0.006,0.389,0.041,
1.133,0.01,0.39,0.037,
1.167,0.01,0.39,0.035,
1.2,0.008,0.39,0.035,
1.233,0.009,0.39,0.034,
1.267,0.012,0.39,0.033,
1.3,0.015,0.39,0.031,
1.333,0.017,0.39,0.032,
1.367,0.019,0.39,0.034,
1.4,0.022,0.389,0.036,
1.433,0.022,0.389,0.04,
1.467,0.018,0.389,0.046,
1.5,0.016,0.388,0.049,
1.533,0.016,0.388,0.053,
1.567,0.015,0.387,0.059,
1.6,0.013,0.386,0.064,
1.633,0.014,0.385,0.068,
1.667,0.016,0.385,0.072,
1.7,0.018,0.384,0.074,
1.733,0.019,0.384,0.074,
1.767,0.021,0.384,0.073,
1.8,0.023,0.384,0.072,
1.833,0.027,0.384,0.072,
1.867,0.03,0.384,0.07,
1.9,0.031,0.384,0.068,
1.933,0.031,0.385,0.066,
1.967,0.03,0.386,0.062,
2,0.028,0.386,0.058,
2.033,0.027,0.387,0.054,
2.067,0.025,0.388,0.05,
2.1,0.021,0.388,0.046,
2.133,0.017,0.389,0.043,
2.167,0.014,0.389,0.042,
2.2,0.012,0.389,0.043,
2.233,0.011,0.389,0.045,
2.267,0.011,0.389,0.049,
2.3,0.01,0.388,0.053,
2.333,0.007,0.388,0.055,
2.367,0.005,0.387,0.058,
2.4,0.002,0.387,0.061,
2.433,-0.001,0.387,0.062,
2.467,-0.002,0.387,0.064,
2.5,-0.002,0.387,0.063,
2.533,-0.004,0.387,0.063,
2.567,-0.006,0.387,0.063,
2.6,-0.007,0.387,0.062,
2.633,-0.007,0.387,0.062,
2.667,-0.005,0.387,0.06,
2.7,-0.002,0.388,0.056,
2.733,0,0.388,0.052,
2.767,0.002,0.389,0.048,
2.8,0.005,0.389,0.045,
2.833,0.006,0.389,0.043,
2.867,0.003,0.389,0.045,
2.9,0.005,0.388,0.051,
2.933,0.011,0.387,0.058,
2.967,0.016,0.386,0.063,
3,0.02,0.386,0.064,
3.033,0.024,0.386,0.063,
3.067,0.028,0.386,0.062,
3.1,0.03,0.386,0.061,
3.133,0.033,0.386,0.059,
3.167,0.035,0.386,0.057,
3.2,0.036,0.386,0.054,
3.233,0.037,0.387,0.051,
3.267,0.038,0.387,0.047,
3.3,0.039,0.387,0.043,
3.333,0.039,0.388,0.038,
3.367,0.038,0.388,0.034,
3.4,0.038,0.389,0.03,
3.433,0.036,0.389,0.026,
3.467,0.034,0.389,0.022,
3.5,0.031,0.39,0.019,
3.533,0.029,0.39,0.019,
3.567,0.028,0.39,0.022,
3.6,0.027,0.39,0.026,
3.633,0.025,0.39,0.028,
3.667,0.022,0.39,0.031,
3.7,0.02,0.39,0.033,
3.733,0.018,0.39,0.034,
3.767,0.016,0.39,0.034,
3.8,0.013,0.39,0.033,
3.833,0.012,0.39,0.032,
3.867,0.012,0.39,0.029,
3.9,0.012,0.391,0.026,
3.933,0.013,0.391,0.021,
3.967,0.015,0.391,0.014,
4,0.018,0.391,0.008,
4.033,0.021,0.391,0.003,
4.067,0.024,0.391,-0.002,
4.1,0.026,0.391,-0.005,
4.133,0.027,0.391,-0.007,
4.167,0.027,0.391,-0.006,
4.2,0.022,0.391,-0.003,
4.233,0.015,0.391,0.002,
4.267,0.01,0.391,0.009,
4.3,0.006,0.391,0.016,
4.333,0.002,0.391,0.022,
4.367,-0,0.391,0.026,
4.4,-0.001,0.391,0.028,
4.433,-0.001,0.391,0.031,
4.467,0,0.39,0.034,
4.5,0.003,0.39,0.035,
4.533,0.006,0.39,0.036,
4.567,0.008,0.39,0.035,
4.6,0.01,0.39,0.035,
4.633,0.013,0.39,0.034,
4.667,0.014,0.39,0.032,
4.7,0.015,0.391,0.028,
4.733,0.016,0.391,0.024,
4.767,0.017,0.391,0.021,
4.8,0.017,0.391,0.018,
4.833,0.017,0.391,0.015,
4.867,0.016,0.391,0.013,
4.9,0.015,0.391,0.014,
4.933,0.014,0.391,0.019,
4.967,0.012,0.391,0.025,
5,0.009,0.39,0.031,
5.033,0.005,0.39,0.035,
5.067,0.002,0.39,0.039,
5.1,-0,0.389,0.043,
5.133,-0.001,0.389,0.044,
5.167,-0.001,0.389,0.045,
5.2,-0.002,0.389,0.045,
5.233,-0.002,0.389,0.045,
5.267,-0.002,0.389,0.044,
5.3,-0.003,0.389,0.044,
5.333,-0.004,0.389,0.042,
5.367,-0.004,0.39,0.04,
5.4,-0.005,0.39,0.037,
5.433,-0.005,0.39,0.033,
5.467,-0.005,0.391,0.028,
5.5,-0.005,0.391,0.023,
5.533,-0.005,0.391,0.017,
5.567,-0.004,0.392,0.013,
5.6,-0.004,0.392,0.009,
5.633,-0.004,0.392,0.005,
5.667,-0.002,0.392,0.004,
5.7,0.001,0.392,0.003,
5.733,0.004,0.392,0.003,
5.767,0.006,0.392,0.005,
5.8,0.007,0.392,0.007,
5.833,0.006,0.391,0.01,
5.867,0.007,0.391,0.012,
5.9,0.007,0.391,0.015,
5.933,0.009,0.391,0.017,
5.967,0.011,0.391,0.019,
6,0.014,0.391,0.02,
6.033,0.018,0.391,0.022,
6.067,0.02,0.391,0.023,
6.1,0.023,0.39,0.023,
6.133,0.025,0.39,0.024,
6.167,0.028,0.39,0.024,
6.2,0.03,0.39,0.026,
6.233,0.032,0.389,0.027,
6.267,0.034,0.389,0.027,
6.3,0.035,0.389,0.025,
6.333,0.036,0.389,0.023,
6.367,0.035,0.39,0.021,
6.4,0.034,0.39,0.018,
6.433,0.032,0.39,0.015,
6.467,0.029,0.39,0.012,
6.5,0.027,0.391,0.012,
6.533,0.031,0.39,0.014,
6.567,0.034,0.39,0.014,
6.6,0.033,0.39,0.015,
6.633,0.027,0.39,0.016,
6.667,0.023,0.391,0.018,
6.7,0.02,0.391,0.019,
6.733,0.017,0.391,0.02,
6.767,0.012,0.391,0.023,
6.8,0.007,0.391,0.025,
6.833,0.004,0.391,0.028,
6.867,0.003,0.391,0.029,
6.9,0.006,0.39,0.031,
6.933,0.009,0.39,0.034,
6.967,0.009,0.39,0.038,
7,0.009,0.389,0.041,
7.033,0.012,0.389,0.045,
7.067,0.015,0.388,0.049,
7.1,0.016,0.388,0.051,
7.133,0.017,0.388,0.053,
7.167,0.018,0.388,0.054,
7.2,0.019,0.387,0.056,
7.233,0.019,0.387,0.057,
7.267,0.02,0.387,0.058,
7.3,0.021,0.387,0.059,
7.333,0.022,0.387,0.058,
7.367,0.022,0.387,0.058,
7.4,0.022,0.387,0.057,
7.433,0.022,0.387,0.056,
7.467,0.022,0.387,0.055,
7.5,0.023,0.387,0.054,
7.533,0.023,0.387,0.053,
7.567,0.023,0.388,0.053,
7.6,0.023,0.388,0.052,
7.633,0.023,0.388,0.052,
7.667,0.023,0.388,0.051,
7.7,0.022,0.388,0.051,
7.733,0.022,0.388,0.05,
7.767,0.022,0.388,0.05,
7.8,0.022,0.388,0.05,
7.833,0.021,0.388,0.051,
7.867,0.021,0.388,0.051,
7.9,0.021,0.388,0.051,
7.933,0.021,0.388,0.052,
7.967,0.021,0.388,0.052,
8,0.022,0.388,0.052,
8.033,0.022,0.388,0.052,
8.067,0.021,0.388,0.052,
8.1,0.021,0.388,0.051,
8.133,0.021,0.388,0.051,
8.167,0.021,0.388,0.051,
8.2,0.021,0.388,0.05,
8.233,0.021,0.388,0.05,
8.267,0.021,0.388,0.049,
8.3,0.021,0.388,0.049,
8.333,0.021,0.388,0.048,
8.367,0.022,0.388,0.048,
8.4,0.022,0.388,0.048,
8.433,0.022,0.388,0.048,
8.467,0.022,0.388,0.047,
8.5,0.021,0.388,0.047,
8.533,0.021,0.388,0.046,
8.567,0.02,0.389,0.046,
8.6,0.02,0.389,0.046,
8.633,0.02,0.389,0.046,
8.667,0.02,0.389,0.046,
8.7,0.02,0.389,0.046,
8.733,0.02,0.389,0.046,
8.767,0.02,0.389,0.045,
8.8,0.02,0.389,0.045,
8.833,0.02,0.389,0.045,
8.867,0.021,0.389,0.045,
8.9,0.021,0.389,0.045,
8.933,0.021,0.389,0.046,
8.967,0.021,0.389,0.045,
9,0.021,0.389,0.045,
9.033,0.021,0.389,0.045,
9.067,0.021,0.389,0.045,
9.1,0.021,0.389,0.044,
9.133,0.021,0.389,0.044,
9.167,0.021,0.389,0.044,
9.2,0.021,0.389,0.044,
9.233,0.021,0.389,0.044,
9.267,0.021,0.389,0.044,
9.3,0.021,0.389,0.044,
9.333,0.021,0.389,0.044,
9.367,0.022,0.389,0.043,
9.4,0.022,0.389,0.043,
9.433,0.022,0.389,0.043,
9.467,0.022,0.389,0.043,
9.5,0.022,0.389,0.043,
9.533,0.022,0.389,0.043,
9.567,0.022,0.389,0.043,
9.6,0.022,0.389,0.043,
9.633,0.021,0.389,0.043,
9.667,0.021,0.389,0.043,
9.7,0.021,0.389,0.043,
9.733,0.021,0.389,0.043,
9.767,0.021,0.389,0.043,
9.8,0.021,0.389,0.044,
9.833,0.021,0.389,0.044,
9.867,0.021,0.389,0.044,
9.9,0.021,0.389,0.044,
9.933,0.021,0.389,0.044,
