Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.004,0.481,0.09,
0.033,0.004,0.481,0.09,
0.067,0.003,0.481,0.089,
0.1,0.003,0.481,0.09,
0.133,0.003,0.481,0.09,
0.167,0.003,0.48,0.091,
0.2,0.003,0.48,0.092,
0.233,0.003,0.48,0.092,
0.267,0.003,0.48,0.092,
0.3,0.003,0.48,0.093,
0.333,0.004,0.48,0.093,
0.367,0.004,0.48,0.093,
0.4,0.004,0.48,0.093,
0.433,0.004,0.48,0.094,
0.467,0.005,0.48,0.094,
0.5,0.005,0.48,0.094,
0.533,0.006,0.48,0.094,
0.567,0.006,0.48,0.093,
0.6,0.007,0.48,0.092,
0.633,0.008,0.48,0.091,
0.667,0.009,0.481,0.09,
0.7,0.009,0.481,0.089,
0.733,0.009,0.481,0.087,
0.767,0.009,0.482,0.085,
0.8,0.009,0.482,0.083,
0.833,0.01,0.483,0.08,
0.867,0.009,0.483,0.075,
0.9,0.008,0.484,0.07,
0.933,0.006,0.485,0.065,
0.967,0.003,0.486,0.06,
1,0.001,0.486,0.057,
1.033,0.001,0.486,0.056,
1.067,0.006,0.487,0.052,
1.1,0.012,0.487,0.046,
1.133,0.017,0.487,0.04,
1.167,0.017,0.488,0.038,
1.2,0.016,0.488,0.038,
1.233,0.017,0.488,0.038,
1.267,0.02,0.488,0.036,
1.3,0.023,0.488,0.034,
1.333,0.026,0.488,0.035,
1.367,0.028,0.487,0.037,
1.4,0.032,0.487,0.04,
1.433,0.032,0.486,0.046,
1.467,0.028,0.486,0.054,
1.5,0.025,0.485,0.059,
1.533,0.025,0.485,0.064,
1.567,0.023,0.484,0.07,
1.6,0.021,0.483,0.077,
1.633,0.021,0.482,0.082,
1.667,0.024,0.481,0.086,
1.7,0.026,0.481,0.088,
1.733,0.028,0.481,0.087,
1.767,0.03,0.481,0.085,
1.8,0.032,0.481,0.085,
1.833,0.036,0.481,0.084,
1.867,0.039,0.481,0.083,
1.9,0.041,0.481,0.081,
1.933,0.041,0.482,0.078,
1.967,0.039,0.482,0.074,
2,0.037,0.483,0.069,
2.033,0.035,0.484,0.065,
2.067,0.033,0.485,0.061,
2.1,0.029,0.486,0.057,
2.133,0.025,0.486,0.053,
2.167,0.022,0.486,0.051,
2.2,0.019,0.486,0.053,
2.233,0.018,0.486,0.057,
2.267,0.017,0.486,0.062,
2.3,0.015,0.485,0.067,
2.333,0.012,0.484,0.071,
2.367,0.008,0.484,0.075,
2.4,0.005,0.483,0.078,
2.433,0.002,0.483,0.08,
2.467,-0,0.483,0.081,
2.5,-0,0.483,0.081,
2.533,-0.001,0.483,0.08,
2.567,-0.004,0.483,0.079,
2.6,-0.005,0.483,0.079,
2.633,-0.004,0.483,0.078,
2.667,-0.002,0.484,0.076,
2.7,0.001,0.485,0.071,
2.733,0.003,0.485,0.065,
2.767,0.005,0.486,0.062,
2.8,0.009,0.486,0.058,
2.833,0.01,0.487,0.055,
2.867,0.007,0.486,0.058,
2.9,0.009,0.485,0.067,
2.933,0.016,0.483,0.076,
2.967,0.022,0.482,0.083,
3,0.028,0.481,0.085,
3.033,0.033,0.481,0.084,
3.067,0.038,0.481,0.083,
3.1,0.042,0.481,0.081,
3.133,0.045,0.481,0.079,
3.167,0.047,0.481,0.077,
3.2,0.049,0.481,0.074,
3.233,0.049,0.482,0.07,
3.267,0.05,0.482,0.066,
3.3,0.051,0.483,0.061,
3.333,0.051,0.483,0.055,
3.367,0.051,0.484,0.05,
3.4,0.05,0.485,0.045,
3.433,0.048,0.485,0.041,
3.467,0.045,0.486,0.036,
3.5,0.041,0.487,0.031,
3.533,0.038,0.487,0.03,
3.567,0.036,0.487,0.034,
3.6,0.034,0.487,0.038,
3.633,0.032,0.487,0.042,
3.667,0.029,0.487,0.045,
3.7,0.026,0.486,0.048,
3.733,0.024,0.486,0.049,
3.767,0.021,0.487,0.048,
3.8,0.019,0.487,0.047,
3.833,0.017,0.487,0.044,
3.867,0.017,0.488,0.04,
3.9,0.018,0.488,0.035,
3.933,0.02,0.488,0.028,
3.967,0.023,0.489,0.02,
4,0.026,0.489,0.011,
4.033,0.03,0.489,0.005,
4.067,0.034,0.488,-0.001,
4.1,0.036,0.488,-0.005,
4.133,0.038,0.488,-0.007,
4.167,0.039,0.488,-0.007,
4.2,0.033,0.488,-0.004,
4.233,0.026,0.489,0.002,
4.267,0.02,0.489,0.011,
4.3,0.014,0.489,0.021,
4.333,0.009,0.489,0.029,
4.367,0.005,0.488,0.034,
4.4,0.003,0.488,0.038,
4.433,0.003,0.488,0.041,
4.467,0.004,0.488,0.044,
4.5,0.007,0.487,0.046,
4.533,0.01,0.487,0.046,
4.567,0.013,0.487,0.045,
4.6,0.016,0.487,0.045,
4.633,0.019,0.487,0.043,
4.667,0.021,0.488,0.04,
4.7,0.022,0.488,0.036,
4.733,0.023,0.488,0.031,
4.767,0.024,0.488,0.028,
4.8,0.024,0.489,0.024,
4.833,0.024,0.489,0.021,
4.867,0.023,0.489,0.019,
4.9,0.021,0.489,0.02,
4.933,0.02,0.489,0.027,
4.967,0.017,0.488,0.035,
5,0.013,0.488,0.042,
5.033,0.009,0.487,0.048,
5.067,0.005,0.487,0.053,
5.1,0.002,0.486,0.057,
5.133,0.001,0.486,0.06,
5.167,0,0.486,0.06,
5.2,0,0.486,0.06,
5.233,0,0.486,0.06,
5.267,0,0.486,0.06,
5.3,-0,0.486,0.059,
5.333,-0.001,0.486,0.056,
5.367,-0.002,0.487,0.053,
5.4,-0.002,0.487,0.049,
5.433,-0.002,0.488,0.043,
5.467,-0.003,0.488,0.037,
5.5,-0.002,0.489,0.03,
5.533,-0.001,0.489,0.022,
5.567,-0.001,0.489,0.016,
5.6,0,0.489,0.01,
5.633,0.001,0.49,0.006,
5.667,0.004,0.489,0.003,
5.7,0.007,0.489,0.003,
5.733,0.011,0.489,0.003,
5.767,0.014,0.489,0.005,
5.8,0.015,0.489,0.008,
5.833,0.015,0.489,0.012,
5.867,0.016,0.489,0.015,
5.9,0.017,0.489,0.017,
5.933,0.018,0.489,0.02,
5.967,0.02,0.489,0.022,
6,0.024,0.488,0.023,
6.033,0.028,0.488,0.026,
6.067,0.031,0.488,0.027,
6.1,0.033,0.488,0.026,
6.133,0.036,0.488,0.026,
6.167,0.04,0.487,0.027,
6.2,0.042,0.487,0.029,
6.233,0.044,0.487,0.03,
6.267,0.047,0.486,0.029,
6.3,0.048,0.486,0.027,
6.333,0.049,0.486,0.025,
6.367,0.049,0.487,0.023,
6.4,0.047,0.487,0.019,
6.433,0.044,0.487,0.016,
6.467,0.041,0.488,0.013,
6.5,0.039,0.488,0.012,
6.533,0.043,0.488,0.015,
6.567,0.046,0.487,0.016,
6.6,0.045,0.487,0.017,
6.633,0.04,0.487,0.019,
6.667,0.035,0.488,0.021,
6.7,0.03,0.488,0.022,
6.733,0.026,0.488,0.024,
6.767,0.02,0.488,0.027,
6.8,0.014,0.488,0.031,
6.833,0.01,0.488,0.035,
6.867,0.009,0.488,0.037,
6.9,0.011,0.488,0.039,
6.933,0.014,0.488,0.042,
6.967,0.015,0.487,0.047,
7,0.016,0.487,0.052,
7.033,0.019,0.486,0.056,
7.067,0.022,0.485,0.06,
7.1,0.023,0.485,0.063,
7.133,0.025,0.485,0.065,
7.167,0.026,0.484,0.067,
7.2,0.027,0.484,0.069,
7.233,0.027,0.484,0.07,
7.267,0.028,0.484,0.072,
7.3,0.029,0.483,0.073,
7.333,0.031,0.483,0.072,
7.367,0.031,0.483,0.072,
7.4,0.032,0.484,0.07,
7.433,0.031,0.484,0.069,
7.467,0.031,0.484,0.068,
7.5,0.032,0.484,0.067,
7.533,0.032,0.484,0.065,
7.567,0.032,0.484,0.064,
7.6,0.033,0.484,0.063,
7.633,0.033,0.484,0.063,
7.667,0.032,0.485,0.062,
7.7,0.031,0.485,0.061,
7.733,0.031,0.485,0.06,
7.767,0.031,0.485,0.06,
7.8,0.03,0.485,0.06,
7.833,0.03,0.485,0.06,
7.867,0.03,0.485,0.06,
7.9,0.03,0.485,0.061,
7.933,0.03,0.485,0.061,
7.967,0.03,0.485,0.062,
8,0.031,0.485,0.062,
8.033,0.031,0.485,0.062,
8.067,0.03,0.485,0.061,
8.1,0.03,0.485,0.061,
8.133,0.03,0.485,0.06,
8.167,0.03,0.485,0.06,
8.2,0.03,0.485,0.059,
8.233,0.03,0.485,0.059,
8.267,0.03,0.485,0.059,
8.3,0.03,0.485,0.058,
8.333,0.03,0.485,0.057,
8.367,0.03,0.485,0.057,
8.4,0.031,0.485,0.057,
8.433,0.031,0.485,0.057,
8.467,0.03,0.485,0.056,
8.5,0.03,0.486,0.056,
8.533,0.029,0.486,0.055,
8.567,0.028,0.486,0.055,
8.6,0.028,0.486,0.055,
8.633,0.027,0.486,0.054,
8.667,0.027,0.486,0.054,
8.7,0.027,0.486,0.055,
8.733,0.027,0.486,0.055,
8.767,0.028,0.486,0.054,
8.8,0.028,0.486,0.054,
8.833,0.028,0.486,0.054,
8.867,0.029,0.486,0.055,
8.9,0.029,0.486,0.055,
8.933,0.029,0.486,0.055,
8.967,0.029,0.486,0.055,
9,0.029,0.486,0.055,
9.033,0.029,0.486,0.054,
9.067,0.029,0.486,0.054,
9.1,0.029,0.486,0.054,
9.133,0.029,0.486,0.054,
9.167,0.029,0.486,0.054,
9.2,0.029,0.486,0.053,
9.233,0.029,0.486,0.053,
9.267,0.029,0.486,0.053,
9.3,0.029,0.486,0.053,
9.333,0.03,0.486,0.053,
9.367,0.03,0.486,0.053,
9.4,0.03,0.486,0.052,
9.433,0.03,0.486,0.052,
9.467,0.03,0.486,0.052,
9.5,0.03,0.486,0.052,
9.533,0.03,0.486,0.052,
9.567,0.03,0.486,0.053,
9.6,0.03,0.486,0.053,
9.633,0.03,0.486,0.053,
9.667,0.029,0.486,0.053,
9.7,0.029,0.486,0.053,
9.733,0.029,0.486,0.053,
9.767,0.029,0.486,0.053,
9.8,0.028,0.486,0.053,
9.833,0.028,0.486,0.053,
9.867,0.029,0.486,0.053,
9.9,0.029,0.486,0.053,
9.933,0.029,0.486,0.053,
