Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.003,0.223,0.052,
0.033,-0.003,0.223,0.052,
0.067,-0.003,0.223,0.053,
0.1,-0.003,0.223,0.053,
0.133,-0.003,0.223,0.053,
0.167,-0.003,0.223,0.054,
0.2,-0.003,0.223,0.054,
0.233,-0.003,0.223,0.054,
0.267,-0.003,0.223,0.054,
0.3,-0.003,0.223,0.054,
0.333,-0.003,0.223,0.055,
0.367,-0.003,0.223,0.054,
0.4,-0.003,0.223,0.054,
0.433,-0.003,0.223,0.055,
0.467,-0.003,0.222,0.055,
0.5,-0.003,0.223,0.055,
0.533,-0.002,0.223,0.055,
0.567,-0.002,0.223,0.054,
0.6,-0.002,0.223,0.054,
0.633,-0.001,0.223,0.053,
0.667,-0.001,0.223,0.053,
0.7,-0.001,0.223,0.052,
0.733,-0.001,0.223,0.051,
0.767,-0.001,0.224,0.05,
0.8,-0,0.224,0.049,
0.833,0,0.224,0.047,
0.867,0,0.225,0.045,
0.9,0,0.225,0.043,
0.933,-0,0.226,0.04,
0.967,-0.002,0.226,0.038,
1,-0.002,0.226,0.036,
1.033,-0.003,0.227,0.035,
1.067,-0.001,0.227,0.031,
1.1,0.001,0.227,0.028,
1.133,0.002,0.228,0.026,
1.167,0.002,0.228,0.025,
1.2,0.001,0.228,0.025,
1.233,0.001,0.228,0.024,
1.267,0.003,0.228,0.024,
1.3,0.005,0.228,0.022,
1.333,0.007,0.228,0.022,
1.367,0.008,0.228,0.024,
1.4,0.009,0.228,0.024,
1.433,0.01,0.227,0.026,
1.467,0.007,0.227,0.029,
1.5,0.005,0.227,0.03,
1.533,0.006,0.227,0.033,
1.567,0.006,0.226,0.037,
1.6,0.005,0.226,0.039,
1.633,0.005,0.225,0.043,
1.667,0.007,0.224,0.046,
1.7,0.008,0.224,0.047,
1.733,0.009,0.224,0.047,
1.767,0.01,0.224,0.047,
1.8,0.011,0.224,0.046,
1.833,0.013,0.224,0.046,
1.867,0.016,0.224,0.045,
1.9,0.017,0.224,0.043,
1.933,0.017,0.225,0.042,
1.967,0.016,0.225,0.039,
2,0.015,0.226,0.036,
2.033,0.014,0.226,0.033,
2.067,0.013,0.227,0.03,
2.1,0.01,0.227,0.028,
2.133,0.008,0.228,0.027,
2.167,0.005,0.228,0.026,
2.2,0.004,0.228,0.025,
2.233,0.004,0.228,0.026,
2.267,0.004,0.228,0.028,
2.3,0.004,0.227,0.03,
2.333,0.002,0.227,0.031,
2.367,0.001,0.227,0.033,
2.4,-0.001,0.227,0.034,
2.433,-0.002,0.227,0.035,
2.467,-0.003,0.226,0.036,
2.5,-0.003,0.226,0.036,
2.533,-0.004,0.226,0.036,
2.567,-0.006,0.226,0.036,
2.6,-0.007,0.226,0.036,
2.633,-0.007,0.226,0.036,
2.667,-0.006,0.227,0.035,
2.7,-0.004,0.227,0.032,
2.733,-0.002,0.227,0.029,
2.767,-0.001,0.228,0.027,
2.8,0.001,0.228,0.025,
2.833,0.002,0.228,0.024,
2.867,-0,0.228,0.024,
2.9,-0,0.228,0.027,
2.933,0.004,0.227,0.031,
2.967,0.007,0.227,0.033,
3,0.009,0.227,0.034,
3.033,0.011,0.226,0.033,
3.067,0.013,0.226,0.033,
3.1,0.015,0.226,0.032,
3.133,0.016,0.227,0.031,
3.167,0.018,0.227,0.029,
3.2,0.019,0.227,0.027,
3.233,0.019,0.227,0.025,
3.267,0.02,0.227,0.023,
3.3,0.021,0.227,0.02,
3.333,0.021,0.228,0.017,
3.367,0.02,0.228,0.014,
3.4,0.02,0.228,0.012,
3.433,0.019,0.228,0.01,
3.467,0.018,0.228,0.007,
3.5,0.016,0.229,0.006,
3.533,0.016,0.229,0.006,
3.567,0.015,0.229,0.008,
3.6,0.015,0.228,0.01,
3.633,0.014,0.228,0.012,
