Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,10.675,-4.649,-5.702,
0.033,10.745,-4.674,-5.893,
0.067,10.843,-4.648,-5.947,
0.1,10.956,-4.675,-6.022,
0.133,10.945,-4.691,-6.109,
0.167,10.962,-4.743,-6.247,
0.2,11.103,-4.812,-6.406,
0.233,11.102,-4.921,-6.623,
0.267,10.88,-5.023,-6.804,
0.3,10.513,-5.065,-6.852,
0.333,9.986,-5.076,-6.788,
0.367,9.476,-5.052,-6.623,
0.4,9.039,-4.88,-6.411,
0.433,8.705,-4.529,-6.153,
0.467,8.528,-4.04,-5.812,
0.5,8.466,-3.539,-5.46,
0.533,8.51,-3.101,-5.155,
0.567,8.632,-2.834,-4.988,
0.6,8.853,-2.684,-4.901,
0.633,9.08,-2.576,-4.754,
0.667,9.255,-2.637,-4.699,
0.7,9.273,-2.79,-4.656,
0.733,8.784,-3.065,-4.8,
0.767,7.996,-3.38,-5.141,
0.8,7.227,-3.43,-5.363,
0.833,6.629,-3.368,-5.568,
0.867,6.121,-3.396,-5.916,
0.9,5.607,-3.559,-6.335,
0.933,5.317,-3.8,-6.74,
0.967,5.08,-3.994,-7.039,
1,5.141,-4.101,-7.295,
1.033,5.334,-4.174,-7.692,
1.067,5.181,-4.395,-8.395,
1.1,4.811,-4.956,-9.515,
1.133,4.922,-5.59,-10.577,
1.167,5.377,-6.389,-11.332,
1.2,5.076,-7.418,-12.15,
1.233,4.526,-8.127,-12.798,
1.267,5.222,-8.058,-12.686,
1.3,5.977,-7.955,-12.503,
1.333,6.172,-7.985,-12.551,
1.367,6.664,-7.919,-12.784,
1.4,7.146,-7.847,-12.831,
1.433,7.278,-7.996,-12.781,
1.467,7.461,-8.411,-12.737,
1.5,7.821,-8.963,-12.729,
1.533,7.886,-9.432,-12.813,
1.567,7.66,-9.772,-12.928,
1.6,7.373,-9.951,-13.113,
1.633,7.115,-9.992,-13.182,
1.667,6.605,-9.939,-13.275,
1.7,6.064,-9.871,-13.436,
1.733,5.562,-9.733,-13.49,
1.767,5.159,-9.526,-13.428,
1.8,4.891,-9.378,-13.289,
1.833,4.671,-9.22,-13.01,
1.867,4.619,-9.004,-12.67,
1.9,4.674,-8.715,-12.26,
1.933,4.829,-8.393,-11.669,
1.967,5.317,-8.112,-11.201,
2,5.96,-7.716,-11.004,
2.033,6.43,-7.022,-10.588,
2.067,6.864,-6.44,-10.283,
2.1,7.474,-6.309,-10.43,
2.133,8.147,-6.351,-10.426,
2.167,8.584,-6.34,-10.194,
2.2,8.866,-6.33,-10.037,
2.233,8.924,-6.314,-9.961,
2.267,8.881,-6.198,-9.838,
2.3,8.619,-5.962,-9.585,
2.333,8.174,-5.83,-9.385,
2.367,7.57,-5.831,-9.21,
2.4,7.118,-5.939,-9.177,
2.433,6.976,-6.021,-9.147,
2.467,7.144,-6.147,-9.075,
2.5,7.35,-6.248,-8.99,
2.533,7.437,-6.493,-9.081,
2.567,7.169,-6.886,-9.258,
2.6,6.634,-7.546,-9.638,
2.633,6.158,-8.276,-10.152,
2.667,5.949,-8.703,-10.49,
2.7,6.44,-8.561,-10.23,
2.733,8.007,-8.455,-9.815,
2.767,9.057,-8.051,-9.729,
2.8,10.354,-7.374,-9.699,
2.833,11.239,-6.911,-9.796,
2.867,11.64,-6.67,-9.834,
2.9,12.027,-6.607,-9.745,
2.933,12.352,-6.697,-9.779,
2.967,12.142,-6.831,-9.862,
3,11.513,-6.928,-9.877,
3.033,10.836,-7.031,-10.029,
3.067,10.249,-7.135,-10.257,
3.1,9.618,-7.238,-10.487,
3.133,8.856,-7.224,-10.635,
3.167,8.034,-7.16,-10.748,
3.2,7.191,-7.107,-10.748,
3.233,6.291,-7.045,-10.674,
3.267,5.433,-6.986,-10.593,
3.3,4.515,-6.986,-10.603,
3.333,3.676,-6.976,-10.614,
3.367,2.883,-6.944,-10.558,
3.4,2.171,-6.764,-10.311,
3.433,1.823,-6.543,-10.086,
3.467,1.934,-6.563,-10.168,
3.5,2.038,-6.694,-10.304,
3.533,2.023,-6.695,-10.337,
3.567,2.216,-6.61,-10.508,
3.6,2.922,-6.359,-10.688,
3.633,3.771,-6.047,-10.711,
3.667,4.452,-6.024,-10.858,
3.7,4.972,-6.228,-11.01,
3.733,5.186,-6.391,-10.857,
3.767,4.953,-6.474,-10.57,
3.8,4.685,-6.381,-10.187,
3.833,4.587,-6.233,-9.906,
3.867,4.407,-6.237,-9.75,
3.9,4.167,-6.372,-9.729,
3.933,3.908,-6.57,-9.731,
3.967,3.964,-6.635,-9.72,
4,4.462,-6.733,-9.804,
4.033,4.86,-7.115,-10.147,
4.067,5.018,-7.67,-10.638,
4.1,5.27,-8.349,-11.219,
4.133,5.745,-8.57,-11.556,
4.167,6.709,-8.456,-11.509,
4.2,7.115,-8.092,-11.607,
4.233,7.301,-7.625,-11.714,
4.267,7.768,-7.184,-11.445,
4.3,8.112,-6.846,-11.267,
4.333,8.352,-6.611,-10.998,
4.367,8.49,-6.591,-10.994,
4.4,8.541,-6.782,-11.04,
4.433,8.694,-6.976,-11.132,
4.467,8.822,-7.123,-11.232,
4.5,8.82,-7.346,-11.422,
4.533,8.774,-7.682,-11.707,
4.567,8.631,-8.068,-11.934,
4.6,8.419,-8.317,-11.965,
4.633,8.063,-8.457,-11.994,
4.667,7.618,-8.524,-12.093,
4.7,7.023,-8.561,-12.234,
4.733,6.627,-8.469,-12.239,
4.767,6.271,-8.329,-12.328,
4.8,5.608,-8.048,-12.454,
4.833,5.369,-7.638,-12.392,
4.867,5.624,-7.155,-12.32,
4.9,6.54,-6.682,-12.399,
4.933,7.259,-6.367,-12.458,
4.967,7.473,-6.174,-12.296,
5,7.601,-5.896,-11.59,
5.033,7.592,-5.492,-10.883,
5.067,7.544,-4.992,-10.282,
5.1,7.494,-4.637,-9.751,
5.133,7.171,-4.424,-9.303,
5.167,6.763,-4.151,-8.723,
5.2,6.254,-4.032,-8.465,
5.233,5.604,-4.115,-8.423,
5.267,4.956,-4.242,-8.212,
5.3,4.263,-4.366,-8.008,
5.333,3.593,-4.508,-7.791,
5.367,2.861,-4.57,-7.483,
5.4,2.167,-4.535,-7.173,
5.433,1.538,-4.453,-6.951,
5.467,0.892,-4.301,-6.846,
5.5,0.172,-4.027,-6.799,
5.533,-0.434,-3.817,-6.982,
5.567,-0.996,-3.79,-7.32,
5.6,-1.416,-4.085,-7.814,
5.633,-1.851,-4.521,-8.289,
5.667,-1.684,-4.528,-7.968,
5.7,-1.174,-4.593,-7.739,
5.733,-0.918,-4.851,-8.029,
5.767,-0.352,-4.922,-7.872,
5.8,0.618,-4.933,-7.785,
5.833,1.284,-5.019,-7.747,
5.867,1.877,-5.225,-7.885,
5.9,2.326,-5.658,-8.445,
5.933,2.758,-6.203,-8.814,
5.967,3.163,-6.764,-9.021,
6,3.405,-7.322,-9.317,
6.033,3.449,-7.787,-9.642,
6.067,3.474,-8.045,-9.776,
6.1,3.478,-8.159,-9.849,
6.133,3.494,-8.111,-9.863,
6.167,3.499,-7.861,-9.659,
6.2,3.611,-7.386,-9.338,
6.233,3.59,-6.669,-8.801,
6.267,3.312,-5.768,-8.12,
6.3,3.016,-4.775,-7.458,
6.333,2.618,-3.654,-6.5,
6.367,2.407,-2.739,-5.382,
6.4,2.435,-2.445,-5.024,
6.433,2.083,-2.743,-4.969,
6.467,1.646,-3.562,-4.982,
6.5,1.326,-4.94,-5.217,
6.533,0.806,-6.245,-5.406,
6.567,0.535,-6.872,-5.336,
6.6,0.341,-6.998,-5.012,
6.633,0.214,-6.676,-4.559,
6.667,0.231,-6.039,-4.049,
6.7,0.389,-5.356,-3.534,
6.733,0.652,-4.706,-2.942,
6.767,0.97,-4.06,-2.278,
6.8,1.335,-3.519,-1.687,
6.833,1.613,-3.195,-1.164,
6.867,1.818,-3.007,-0.744,
6.9,1.806,-3.021,-0.519,
6.933,1.654,-3.203,-0.399,
6.967,1.329,-3.506,-0.438,
7,1.096,-3.761,-0.588,
7.033,1.36,-3.697,-0.447,
7.067,2.12,-3.528,-0.18,
7.1,2.716,-3.208,0.092,
7.133,3.059,-2.964,-0.064,
7.167,3.535,-2.899,-0.272,
7.2,3.831,-3.009,-0.376,
7.233,3.853,-3.236,-0.521,
7.267,3.886,-3.586,-0.863,
7.3,3.98,-3.937,-1.313,
7.333,3.895,-4.274,-1.729,
7.367,3.718,-4.601,-2.121,
7.4,3.621,-4.877,-2.524,
7.433,3.43,-5.067,-2.926,
7.467,3.066,-5.217,-3.284,
7.5,2.751,-5.368,-3.6,
7.533,2.509,-5.514,-3.888,
7.567,2.267,-5.641,-4.114,
7.6,1.967,-5.731,-4.229,
7.633,1.646,-5.821,-4.304,
7.667,1.376,-5.873,-4.311,
7.7,1.193,-5.915,-4.236,
7.733,0.899,-5.949,-4.041,
7.767,0.657,-5.952,-3.799,
7.8,0.465,-5.946,-3.53,
7.833,0.268,-5.956,-3.205,
7.867,0.1,-5.991,-2.869,
7.9,-0.129,-5.995,-2.452,
7.933,-0.454,-5.952,-1.968,
7.967,-0.794,-5.85,-1.499,
8,-1.14,-5.683,-1.106,
8.033,-1.493,-5.515,-0.814,
8.067,-1.907,-5.45,-0.606,
8.1,-2.422,-5.511,-0.482,
8.133,-2.8,-5.624,-0.395,
8.167,-3.135,-5.788,-0.435,
8.2,-3.511,-5.901,-0.588,
8.233,-3.433,-5.64,-0.662,
8.267,-3.421,-5.041,-0.666,
8.3,-3.792,-4.311,-0.764,
8.333,-4.315,-3.378,-0.876,
8.367,-4.876,-2.443,-1.141,
8.4,-5.466,-1.793,-1.61,
8.433,-6.229,-1.237,-1.96,
8.467,-6.988,-0.812,-2.165,
8.5,-7.852,-0.644,-2.341,
8.533,-8.901,-0.588,-2.374,
8.567,-10.046,-0.737,-2.582,
8.6,-11.448,-0.903,-2.824,
8.633,-12.863,-1.145,-3.34,
8.667,-14.101,-1.143,-3.444,
8.7,-15.392,-0.944,-2.895,
8.733,-17.279,-0.93,-2.598,
8.767,-20.073,-1.377,-2.757,
8.8,-23.096,-2.227,-2.927,
8.833,-26.057,-3.165,-2.757,
8.867,-28.828,-4.005,-2.222,
8.9,-31.557,-4.726,-1.548,
8.933,-34.33,-5.209,-0.779,
8.967,-37.034,-5.54,0.359,
9,-39.5,-5.866,1.568,
9.033,-41.762,-6.035,2.841,
9.067,-44.007,-5.995,4.3,
9.1,-46.314,-5.936,5.721,
9.133,-48.711,-5.826,7.173,
9.167,-50.781,-5.553,8.833,
9.2,-52.388,-5.263,10.685,
9.233,-53.733,-5.016,12.098,
9.267,-54.834,-4.59,13.343,
9.3,-55.495,-3.741,14.919,
9.333,-55.965,-2.554,16.344,
9.367,-56.261,-0.966,17.51,
9.4,-56.271,1.224,19.262,
9.433,-55.987,3.74,21.419,
9.467,-55.324,6.433,23.302,
9.5,-54.951,9.084,25.266,
9.533,-55.029,11.821,27.807,
9.567,-55.703,14.405,30.269,
9.6,-56.435,16.477,32.693,
9.633,-56.923,18.061,35.045,
9.667,-57.421,19.281,37.116,
9.7,-58.195,20.207,38.791,
9.733,-59.347,20.968,40.194,
9.767,-60.572,21.465,41.172,
9.8,-61.131,21.479,41.777,
9.833,-61.362,21.596,42.373,
9.867,-61.523,21.927,42.789,
9.9,-61.672,22.246,43.164,
9.933,-61.818,22.49,43.425,
