Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,15.826,1.93,-11.356,
0.033,15.685,1.955,-11.389,
0.067,15.516,1.985,-11.429,
0.1,15.356,1.986,-11.487,
0.133,15.215,1.848,-11.611,
0.167,15.082,1.573,-11.741,
0.2,14.86,1.218,-11.817,
0.233,14.515,0.701,-11.813,
0.267,14.077,0.199,-11.682,
0.3,13.535,-0.186,-11.42,
0.333,13.056,-0.423,-11.004,
0.367,12.507,-0.552,-10.533,
0.4,11.697,-0.575,-9.894,
0.433,10.241,-0.468,-8.952,
0.467,8.364,-0.47,-8.056,
0.5,6.576,-0.621,-7.369,
0.533,5.07,-0.795,-6.946,
0.567,3.992,-0.813,-6.586,
0.6,3.003,-0.669,-6.218,
0.633,2.161,-0.431,-5.941,
0.667,1.393,-0.113,-5.654,
0.7,0.539,0.116,-5.521,
0.733,-0.141,0.16,-5.599,
0.767,-0.587,0.315,-5.918,
0.8,-1.025,0.689,-6.284,
0.833,-0.965,1.179,-6.617,
0.867,-0.549,1.417,-7.054,
0.9,-0.04,1.44,-7.704,
0.933,0.398,1.451,-8.461,
0.967,0.823,1.497,-9.242,
1,1.07,1.538,-10.016,
1.033,1.104,1.263,-10.914,
1.067,1.442,0.625,-12.113,
1.1,2.258,0.056,-13.174,
1.133,2.822,-0.144,-13.654,
1.167,3.503,-0.067,-13.852,
1.2,5.143,-0.379,-14.576,
1.233,6.505,-0.576,-15.36,
1.267,6.569,-0.262,-15.538,
1.3,6.792,-0.135,-15.496,
1.333,7.6,-0.9,-16.104,
1.367,7.928,-1.951,-16.905,
1.4,7.965,-2.748,-17.518,
1.433,8.027,-3.508,-18,
1.467,8.23,-4.11,-18.235,
1.5,8.419,-4.393,-18.182,
1.533,8.434,-4.62,-18.075,
1.567,8.312,-4.948,-18.108,
1.6,7.938,-5.271,-18.06,
1.633,7.339,-5.52,-17.922,
1.667,6.641,-5.821,-17.829,
1.7,5.965,-6.011,-17.679,
1.733,5.391,-5.941,-17.348,
1.767,4.966,-5.651,-16.846,
1.8,4.605,-5.276,-16.406,
1.833,4.378,-4.876,-15.867,
1.867,4.203,-4.437,-15.213,
1.9,4.031,-3.924,-14.45,
1.933,4.09,-3.537,-13.809,
1.967,4.469,-3.39,-13.455,
2,4.858,-3.066,-12.986,
2.033,5.258,-2.573,-12.378,
2.067,5.699,-2.41,-11.803,
2.1,6.314,-2.445,-11.291,
2.133,6.697,-2.189,-10.901,
2.167,6.773,-1.705,-10.547,
2.2,6.735,-1.31,-10.391,
2.233,6.695,-0.937,-10.334,
2.267,6.564,-0.414,-10.108,
2.3,6.279,-0.042,-9.954,
2.333,5.946,0.153,-10.004,
2.367,5.582,0.271,-10.152,
2.4,5.033,0.338,-10.283,
2.433,4.244,0.369,-10.442,
2.467,3.358,0.384,-10.655,
2.5,2.248,0.132,-11.011,
2.533,1.261,-0.368,-11.546,
2.567,0.465,-0.992,-12.109,
2.6,-0.09,-1.408,-12.669,
2.633,-0.52,-1.587,-13.395,
2.667,-0.754,-1.33,-14.077,
2.7,-0.593,-0.433,-14.107,
2.733,-0.149,0.308,-13.777,
2.767,0.917,-0.245,-14.45,
2.8,1.627,-1.055,-15.491,
2.833,2.368,-1.387,-15.942,
2.867,3.201,-1.855,-16.128,
2.9,4.082,-2.592,-16.524,
2.933,4.645,-3.175,-16.704,
2.967,5.013,-3.551,-16.816,
3,5.317,-3.989,-16.902,
3.033,5.458,-4.491,-16.817,
3.067,5.472,-4.937,-16.584,
3.1,5.327,-5.302,-16.29,
3.133,4.932,-5.703,-16.024,
3.167,4.264,-5.984,-15.761,
3.2,3.453,-5.979,-15.461,
3.233,2.623,-5.798,-15.105,
3.267,1.943,-5.634,-14.776,
3.3,1.302,-5.478,-14.53,
3.333,0.541,-5.117,-14.123,
3.367,-0.073,-4.617,-13.481,
3.4,-0.139,-4.38,-13.091,
3.433,0.102,-4.513,-13.06,
3.467,0.442,-4.739,-13.213,
3.5,0.683,-4.739,-13.268,
3.533,0.978,-4.568,-13.122,
3.567,1.317,-4.28,-12.568,
3.6,1.779,-3.968,-11.986,
3.633,2.308,-3.85,-11.667,
3.667,2.599,-3.797,-11.582,
3.7,2.511,-3.583,-11.586,
3.733,2.399,-3.018,-11.582,
3.767,2.495,-2.202,-11.464,
3.8,2.564,-1.574,-11.353,
3.833,2.605,-1.264,-11.331,
3.867,2.734,-1.063,-11.467,
3.9,2.87,-0.938,-11.687,
3.933,3.172,-0.949,-12.071,
3.967,2.872,-1.166,-12.44,
4,2.187,-1.469,-12.771,
4.033,1.831,-1.883,-13.257,
4.067,1.649,-2.416,-14.063,
4.1,1.513,-2.492,-14.784,
4.133,1.255,-2.006,-14.982,
4.167,1.479,-1.32,-14.786,
4.2,2.273,-1.481,-15.067,
4.233,3.098,-1.659,-15.337,
4.267,3.635,-2.023,-15.746,
4.3,4.014,-2.444,-15.954,
4.333,4.26,-2.763,-16.237,
4.367,4.433,-2.879,-16.097,
4.4,4.562,-2.851,-15.765,
4.433,4.58,-2.967,-15.54,
4.467,4.564,-3.249,-15.487,
4.5,4.534,-3.638,-15.505,
4.533,4.379,-4.054,-15.499,
4.567,4.081,-4.323,-15.34,
4.6,3.703,-4.448,-15.203,
4.633,3.155,-4.474,-14.97,
4.667,2.352,-4.548,-14.782,
4.7,1.445,-4.445,-14.498,
4.733,0.302,-4.022,-13.907,
4.767,-0.925,-3.62,-13.269,
4.8,-2.079,-3.28,-12.643,
4.833,-3.064,-2.979,-11.81,
4.867,-3.314,-2.971,-10.863,
4.9,-3.344,-3.331,-10.16,
4.933,-3.226,-3.428,-9.114,
4.967,-2.814,-3.119,-7.831,
5,-2.368,-2.998,-7.101,
5.033,-1.823,-3.048,-6.74,
5.067,-1.213,-2.836,-6.56,
5.1,-0.889,-2.349,-6.308,
5.133,-0.733,-1.78,-5.973,
5.167,-0.783,-1.537,-6.025,
5.2,-0.912,-1.444,-6.048,
5.233,-0.908,-1.234,-6.049,
5.267,-0.98,-0.939,-6.028,
5.3,-1.143,-0.694,-5.951,
5.333,-1.3,-0.388,-5.91,
5.367,-1.278,0.04,-5.897,
5.4,-1.213,0.502,-5.947,
5.433,-1.213,0.975,-5.958,
5.467,-1.28,1.35,-5.92,
5.5,-1.441,1.439,-5.995,
5.533,-1.833,1.22,-6.051,
5.567,-2.165,0.846,-6.228,
