Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.001,0.381,0.091,
0.033,0.001,0.381,0.091,
0.067,0,0.381,0.09,
0.1,0,0.381,0.09,
0.133,0.001,0.381,0.09,
0.167,0.002,0.381,0.089,
0.2,0.003,0.381,0.089,
0.233,0.006,0.382,0.088,
0.267,0.008,0.382,0.086,
0.3,0.01,0.383,0.083,
0.333,0.011,0.383,0.08,
0.367,0.012,0.384,0.076,
0.4,0.012,0.385,0.072,
0.433,0.012,0.386,0.066,
0.467,0.011,0.387,0.058,
0.5,0.011,0.388,0.051,
0.533,0.01,0.389,0.046,
0.567,0.01,0.389,0.042,
0.6,0.009,0.39,0.039,
0.633,0.008,0.39,0.037,
0.667,0.007,0.39,0.035,
0.7,0.007,0.39,0.032,
0.733,0.008,0.391,0.028,
0.767,0.008,0.391,0.024,
0.8,0.007,0.391,0.019,
0.833,0.005,0.391,0.018,
0.867,0.005,0.391,0.018,
0.9,0.005,0.391,0.018,
0.933,0.005,0.391,0.019,
0.967,0.006,0.391,0.019,
1,0.006,0.391,0.021,
1.033,0.007,0.391,0.021,
1.067,0.01,0.391,0.023,
1.1,0.013,0.391,0.025,
1.133,0.015,0.39,0.028,
1.167,0.017,0.39,0.032,
1.2,0.02,0.389,0.037,
1.233,0.023,0.389,0.041,
1.267,0.021,0.389,0.043,
1.3,0.02,0.388,0.046,
1.333,0.022,0.388,0.05,
1.367,0.025,0.387,0.053,
1.4,0.027,0.387,0.055,
1.433,0.03,0.387,0.056,
1.467,0.033,0.386,0.058,
1.5,0.036,0.385,0.06,
1.533,0.038,0.385,0.061,
1.567,0.041,0.385,0.06,
1.6,0.043,0.385,0.058,
1.633,0.044,0.385,0.055,
1.667,0.045,0.386,0.051,
1.7,0.047,0.386,0.047,
1.733,0.046,0.387,0.043,
1.767,0.045,0.387,0.04,
1.8,0.044,0.387,0.038,
1.833,0.042,0.388,0.036,
1.867,0.04,0.388,0.035,
1.9,0.038,0.388,0.034,
1.933,0.036,0.389,0.034,
1.967,0.034,0.389,0.037,
2,0.031,0.388,0.04,
2.033,0.027,0.389,0.042,
2.067,0.025,0.388,0.045,
2.1,0.024,0.388,0.049,
2.133,0.023,0.388,0.052,
2.167,0.021,0.387,0.054,
2.2,0.02,0.387,0.054,
2.233,0.018,0.388,0.054,
2.267,0.016,0.388,0.053,
2.3,0.015,0.388,0.051,
2.333,0.014,0.388,0.049,
2.367,0.014,0.389,0.045,
2.4,0.014,0.389,0.042,
2.433,0.014,0.389,0.039,
2.467,0.015,0.39,0.036,
2.5,0.016,0.39,0.033,
2.533,0.019,0.39,0.03,
2.567,0.023,0.39,0.026,
2.6,0.027,0.39,0.023,
2.633,0.03,0.39,0.021,
2.667,0.03,0.39,0.019,
2.7,0.026,0.39,0.021,
2.733,0.023,0.39,0.027,
2.767,0.023,0.389,0.034,
2.8,0.023,0.389,0.041,
2.833,0.022,0.388,0.047,
2.867,0.022,0.388,0.051,
2.9,0.024,0.387,0.056,
2.933,0.026,0.386,0.059,
2.967,0.027,0.386,0.06,
3,0.029,0.386,0.059,
3.033,0.032,0.386,0.058,
3.067,0.034,0.386,0.056,
3.1,0.036,0.386,0.054,
3.133,0.038,0.387,0.05,
3.167,0.039,0.387,0.046,
3.2,0.04,0.388,0.04,
3.233,0.04,0.388,0.034,
3.267,0.04,0.389,0.029,
3.3,0.04,0.389,0.023,
3.333,0.039,0.389,0.018,
3.367,0.038,0.39,0.013,
3.4,0.036,0.39,0.01,
3.433,0.036,0.39,0.01,
3.467,0.037,0.39,0.012,
3.5,0.037,0.39,0.013,
3.533,0.037,0.39,0.014,
3.567,0.035,0.39,0.015,
3.6,0.033,0.39,0.019,
3.633,0.031,0.39,0.023,
3.667,0.03,0.39,0.027,
3.7,0.03,0.39,0.028,
3.733,0.029,0.39,0.028,
3.767,0.026,0.39,0.027,
3.8,0.023,0.39,0.026,
3.833,0.022,0.39,0.026,
3.867,0.021,0.39,0.026,
3.9,0.021,0.39,0.026,
3.933,0.022,0.39,0.026,
3.967,0.023,0.39,0.025,
4,0.024,0.39,0.024,
4.033,0.027,0.39,0.025,
4.067,0.03,0.39,0.025,
4.1,0.033,0.389,0.026,
4.133,0.031,0.389,0.026,
4.167,0.028,0.389,0.03,
4.2,0.027,0.389,0.034,
4.233,0.026,0.389,0.037,
4.267,0.025,0.389,0.041,
4.3,0.025,0.388,0.043,
4.333,0.026,0.388,0.045,
4.367,0.026,0.388,0.046,
4.4,0.026,0.388,0.047,
4.433,0.027,0.388,0.047,
4.467,0.029,0.388,0.048,
4.5,0.031,0.388,0.048,
4.533,0.033,0.387,0.048,
4.567,0.036,0.387,0.046,
4.6,0.037,0.387,0.045,
4.633,0.038,0.388,0.041,
4.667,0.039,0.388,0.037,
4.7,0.04,0.388,0.032,
4.733,0.038,0.389,0.026,
4.767,0.037,0.389,0.021,
4.8,0.036,0.39,0.014,
4.833,0.034,0.39,0.009,
4.867,0.033,0.39,0.009,
4.9,0.032,0.39,0.012,
4.933,0.031,0.39,0.014,
4.967,0.029,0.39,0.016,
5,0.028,0.39,0.018,
5.033,0.027,0.39,0.019,
5.067,0.025,0.39,0.021,
5.1,0.022,0.39,0.022,
5.133,0.019,0.391,0.021,
5.167,0.017,0.391,0.02,
5.2,0.017,0.391,0.017,
5.233,0.017,0.391,0.015,
5.267,0.016,0.391,0.013,
5.3,0.016,0.391,0.01,
5.333,0.015,0.391,0.008,
5.367,0.014,0.391,0.005,
5.4,0.012,0.392,0.003,
5.433,0.01,0.392,0.001,
5.467,0.009,0.392,-0.001,
5.5,0.008,0.392,-0.004,
5.533,0.008,0.392,-0.008,
5.567,0.01,0.392,-0.011,
5.6,0.011,0.391,-0.012,
5.633,0.011,0.391,-0.014,
5.667,0.008,0.391,-0.014,
5.7,0.007,0.391,-0.012,
5.733,0.009,0.392,-0.008,
5.767,0.01,0.392,-0.004,
5.8,0.01,0.392,0.002,
5.833,0.01,0.392,0.007,
5.867,0.013,0.391,0.011,
5.9,0.016,0.391,0.014,
5.933,0.019,0.391,0.017,
5.967,0.023,0.391,0.019,
6,0.027,0.39,0.021,
6.033,0.029,0.39,0.022,
6.067,0.031,0.39,0.023,
6.1,0.032,0.39,0.024,
6.133,0.031,0.39,0.024,
6.167,0.03,0.39,0.023,
6.2,0.027,0.39,0.021,
6.233,0.023,0.391,0.019,
6.267,0.019,0.391,0.016,
6.3,0.014,0.391,0.012,
6.333,0.008,0.392,0.008,
6.367,0.006,0.392,0.007,
6.4,0.009,0.392,0.008,
6.433,0.012,0.392,0.007,
6.467,0.015,0.391,0.006,
6.5,0.018,0.391,0.005,
6.533,0.019,0.391,0.004,
6.567,0.019,0.391,0.003,
6.6,0.017,0.391,0.003,
6.633,0.014,0.391,0.002,
6.667,0.011,0.391,0.001,
6.7,0.008,0.392,0.001,
6.733,0.004,0.392,0.001,
6.767,0.001,0.392,0.002,
6.8,-0.001,0.392,0.002,
6.833,-0.002,0.392,0.003,
6.867,-0.002,0.392,0.003,
6.9,-0.001,0.392,0.003,
6.933,0.001,0.392,0.002,
6.967,0.003,0.392,0.002,
7,0.003,0.392,0.002,
7.033,0.001,0.392,0.004,
7.067,-0.001,0.392,0.007,
7.1,-0.001,0.392,0.01,
7.133,0,0.391,0.014,
7.167,0.001,0.391,0.018,
7.2,0.002,0.391,0.021,
7.233,0.003,0.391,0.024,
7.267,0.005,0.391,0.026,
7.3,0.006,0.391,0.028,
7.333,0.007,0.391,0.029,
7.367,0.009,0.39,0.03,
7.4,0.01,0.39,0.03,
7.433,0.011,0.39,0.029,
7.467,0.012,0.39,0.028,
7.5,0.013,0.39,0.028,
7.533,0.014,0.39,0.027,
7.567,0.015,0.39,0.027,
7.6,0.016,0.391,0.025,
7.633,0.017,0.391,0.024,
7.667,0.017,0.391,0.023,
7.7,0.017,0.391,0.023,
7.733,0.018,0.391,0.022,
7.767,0.019,0.391,0.021,
7.8,0.019,0.391,0.02,
7.833,0.02,0.391,0.018,
7.867,0.02,0.391,0.017,
7.9,0.021,0.391,0.014,
7.933,0.02,0.391,0.011,
7.967,0.019,0.391,0.007,
8,0.019,0.391,0.004,
8.033,0.019,0.391,0.001,
8.067,0.02,0.391,-0.003,
8.1,0.021,0.391,-0.006,
8.133,0.023,0.391,-0.01,
8.167,0.023,0.391,-0.013,
8.2,0.022,0.391,-0.015,
8.233,0.019,0.391,-0.018,
8.267,0.015,0.391,-0.022,
8.3,0.011,0.391,-0.026,
8.333,0.007,0.39,-0.031,
8.367,0.005,0.39,-0.035,
8.4,0.004,0.39,-0.039,
8.433,0.002,0.389,-0.044,
8.467,0.001,0.389,-0.048,
8.5,0.001,0.388,-0.052,
8.533,0.002,0.388,-0.058,
8.567,0.004,0.387,-0.064,
8.6,0.006,0.385,-0.071,
8.633,0.008,0.384,-0.079,
8.667,0.008,0.381,-0.089,
8.7,0.008,0.379,-0.101,
8.733,0.011,0.375,-0.114,
8.767,0.015,0.37,-0.128,
8.8,0.019,0.365,-0.141,
8.833,0.022,0.36,-0.153,
8.867,0.025,0.355,-0.163,
8.9,0.027,0.351,-0.171,
8.933,0.028,0.347,-0.178,
8.967,0.029,0.344,-0.184,
9,0.029,0.341,-0.189,
9.033,0.028,0.338,-0.193,
9.067,0.027,0.335,-0.197,
9.1,0.025,0.332,-0.202,
9.133,0.024,0.329,-0.205,
9.167,0.021,0.327,-0.208,
9.2,0.019,0.326,-0.209,
9.233,0.017,0.325,-0.209,
9.267,0.013,0.325,-0.209,
9.3,0.008,0.325,-0.208,
9.333,0.001,0.325,-0.208,
9.367,-0.009,0.326,-0.207,
9.4,-0.022,0.327,-0.204,
9.433,-0.037,0.328,-0.201,
9.467,-0.049,0.328,-0.198,
9.5,-0.061,0.328,-0.195,
9.533,-0.073,0.328,-0.191,
