Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.008,0.477,0.109,
0.033,0.007,0.477,0.109,
0.067,0.007,0.477,0.109,
0.1,0.007,0.477,0.109,
0.133,0.008,0.477,0.109,
0.167,0.009,0.477,0.108,
0.2,0.01,0.477,0.108,
0.233,0.013,0.477,0.107,
0.267,0.015,0.478,0.105,
0.3,0.017,0.479,0.101,
0.333,0.019,0.479,0.097,
0.367,0.02,0.48,0.093,
0.4,0.02,0.481,0.088,
0.433,0.018,0.483,0.081,
0.467,0.017,0.484,0.073,
0.5,0.016,0.485,0.066,
0.533,0.015,0.486,0.061,
0.567,0.014,0.486,0.057,
0.6,0.013,0.486,0.055,
0.633,0.012,0.486,0.053,
0.667,0.011,0.487,0.051,
0.7,0.011,0.487,0.048,
0.733,0.012,0.487,0.043,
0.767,0.014,0.488,0.037,
0.8,0.013,0.488,0.032,
0.833,0.011,0.488,0.029,
0.867,0.01,0.488,0.028,
0.9,0.01,0.489,0.028,
0.933,0.011,0.489,0.028,
0.967,0.012,0.489,0.029,
1,0.012,0.488,0.03,
1.033,0.013,0.488,0.031,
1.067,0.016,0.488,0.032,
1.1,0.021,0.488,0.034,
1.133,0.024,0.488,0.037,
1.167,0.027,0.487,0.042,
1.2,0.032,0.486,0.047,
1.233,0.036,0.486,0.05,
1.267,0.034,0.485,0.053,
1.3,0.032,0.485,0.058,
1.333,0.034,0.484,0.062,
1.367,0.037,0.484,0.066,
1.4,0.039,0.483,0.069,
1.433,0.042,0.483,0.07,
1.467,0.046,0.482,0.072,
1.5,0.05,0.481,0.075,
1.533,0.052,0.481,0.076,
1.567,0.055,0.481,0.075,
1.6,0.058,0.481,0.072,
1.633,0.059,0.481,0.069,
1.667,0.061,0.482,0.064,
1.7,0.062,0.482,0.059,
1.733,0.062,0.483,0.055,
1.767,0.06,0.483,0.051,
1.8,0.059,0.484,0.048,
1.833,0.057,0.484,0.046,
1.867,0.055,0.485,0.044,
1.9,0.052,0.485,0.043,
1.933,0.049,0.485,0.044,
1.967,0.047,0.485,0.047,
2,0.043,0.485,0.051,
2.033,0.038,0.485,0.054,
2.067,0.035,0.485,0.057,
2.1,0.034,0.485,0.063,
2.133,0.033,0.484,0.067,
2.167,0.031,0.484,0.069,
2.2,0.029,0.484,0.07,
2.233,0.028,0.484,0.07,
2.267,0.026,0.484,0.069,
2.3,0.023,0.484,0.067,
2.333,0.022,0.485,0.063,
2.367,0.022,0.485,0.059,
2.4,0.023,0.486,0.055,
2.433,0.024,0.486,0.051,
2.467,0.024,0.486,0.049,
2.5,0.026,0.486,0.046,
2.533,0.029,0.487,0.043,
2.567,0.034,0.487,0.04,
2.6,0.039,0.486,0.035,
2.633,0.043,0.486,0.032,
2.667,0.044,0.486,0.031,
2.7,0.04,0.486,0.033,
2.733,0.036,0.486,0.042,
2.767,0.035,0.485,0.051,
2.8,0.034,0.484,0.06,
2.833,0.032,0.484,0.066,
2.867,0.032,0.483,0.071,
2.9,0.033,0.482,0.077,
2.933,0.035,0.481,0.081,
2.967,0.037,0.481,0.081,
3,0.039,0.481,0.08,
