Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.005,0.222,0.056,
0.033,-0.005,0.222,0.056,
0.067,-0.005,0.222,0.056,
0.1,-0.005,0.222,0.055,
0.133,-0.005,0.222,0.055,
0.167,-0.004,0.223,0.055,
0.2,-0.003,0.223,0.054,
0.233,-0.001,0.223,0.053,
0.267,0.001,0.223,0.052,
0.3,0.002,0.224,0.05,
0.333,0.003,0.224,0.049,
0.367,0.004,0.224,0.046,
0.4,0.004,0.225,0.044,
0.433,0.004,0.226,0.039,
0.467,0.004,0.227,0.034,
0.5,0.004,0.227,0.029,
0.533,0.004,0.228,0.025,
0.567,0.004,0.228,0.022,
0.6,0.004,0.228,0.019,
0.633,0.003,0.229,0.017,
0.667,0.003,0.229,0.015,
0.7,0.002,0.229,0.012,
0.733,0.003,0.229,0.01,
0.767,0.003,0.229,0.008,
0.8,0.002,0.229,0.006,
0.833,0,0.229,0.005,
0.867,-0,0.229,0.006,
0.9,-0,0.229,0.006,
0.933,-0,0.229,0.007,
0.967,-0,0.229,0.008,
1,-0,0.229,0.009,
1.033,0,0.229,0.009,
1.067,0.002,0.229,0.01,
1.1,0.004,0.229,0.012,
1.133,0.005,0.229,0.014,
1.167,0.006,0.229,0.017,
1.2,0.007,0.228,0.021,
1.233,0.008,0.228,0.025,
1.267,0.007,0.228,0.026,
1.3,0.006,0.228,0.027,
1.333,0.008,0.227,0.03,
1.367,0.01,0.227,0.032,
1.4,0.012,0.227,0.032,
1.433,0.014,0.226,0.033,
1.467,0.016,0.226,0.034,
1.5,0.018,0.226,0.035,
1.533,0.019,0.226,0.036,
1.567,0.02,0.226,0.035,
1.6,0.021,0.226,0.034,
1.633,0.022,0.226,0.032,
1.667,0.024,0.226,0.03,
1.7,0.024,0.226,0.027,
1.733,0.024,0.227,0.025,
1.767,0.024,0.227,0.023,
1.8,0.023,0.227,0.022,
1.833,0.022,0.227,0.021,
1.867,0.021,0.227,0.02,
1.9,0.019,0.228,0.019,
1.933,0.018,0.228,0.019,
1.967,0.017,0.228,0.021,
2,0.015,0.228,0.022,
2.033,0.013,0.228,0.024,
2.067,0.012,0.228,0.025,
2.1,0.012,0.227,0.028,
2.133,0.011,0.227,0.029,
2.167,0.009,0.227,0.03,
2.2,0.008,0.227,0.03,
2.233,0.007,0.227,0.03,
2.267,0.006,0.227,0.029,
2.3,0.005,0.227,0.028,
2.333,0.004,0.228,0.027,
2.367,0.004,0.228,0.025,
2.4,0.004,0.228,0.023,
2.433,0.004,0.228,0.021,
2.467,0.004,0.228,0.018,
2.5,0.006,0.229,0.015,
2.533,0.007,0.229,0.013,
2.567,0.01,0.229,0.011,
2.6,0.012,0.229,0.009,
2.633,0.013,0.229,0.007,
2.667,0.013,0.229,0.006,
2.7,0.01,0.229,0.007,
2.733,0.008,0.229,0.01,
2.767,0.008,0.229,0.014,
2.8,0.009,0.228,0.018,
2.833,0.009,0.228,0.021,
2.867,0.01,0.228,0.024,
2.9,0.012,0.227,0.027,
2.933,0.013,0.227,0.029,
2.967,0.014,0.227,0.03,
3,0.015,0.227,0.03,
3.033,0.017,0.227,0.03,
3.067,0.018,0.227,0.03,
3.1,0.02,0.227,0.029,
3.133,0.021,0.227,0.027,
3.167,0.022,0.227,0.024,
3.2,0.023,0.227,0.021,
3.233,0.022,0.227,0.017,
3.267,0.022,0.228,0.014,
3.3,0.022,0.228,0.012,
3.333,0.022,0.228,0.008,
3.367,0.021,0.228,0.005,
3.4,0.02,0.228,0.004,
3.433,0.02,0.228,0.005,
3.467,0.02,0.228,0.006,
3.5,0.021,0.228,0.007,
3.533,0.02,0.228,0.007,
3.567,0.019,0.228,0.008,
3.6,0.018,0.228,0.01,
3.633,0.017,0.228,0.013,
3.667,0.016,0.228,0.014,
3.7,0.016,0.228,0.014,
3.733,0.015,0.228,0.014,
3.767,0.012,0.228,0.014,
3.8,0.011,0.229,0.014,
3.833,0.01,0.229,0.014,
3.867,0.009,0.229,0.014,
3.9,0.009,0.229,0.014,
3.933,0.009,0.229,0.014,
3.967,0.01,0.229,0.014,
4,0.011,0.229,0.013,
4.033,0.012,0.229,0.012,
4.067,0.014,0.228,0.012,
4.1,0.015,0.228,0.012,
4.133,0.014,0.228,0.012,
4.167,0.012,0.228,0.013,
4.2,0.012,0.228,0.016,
4.233,0.011,0.228,0.019,
4.267,0.011,0.228,0.021,
4.3,0.012,0.228,0.022,
4.333,0.013,0.228,0.023,
4.367,0.013,0.228,0.024,
4.4,0.013,0.228,0.024,
4.433,0.013,0.227,0.025,
4.467,0.014,0.227,0.025,
4.5,0.016,0.227,0.025,
4.533,0.017,0.227,0.025,
4.567,0.019,0.227,0.024,
4.6,0.019,0.227,0.023,
4.633,0.02,0.227,0.021,
4.667,0.021,0.228,0.018,
4.7,0.021,0.228,0.015,
4.733,0.02,0.228,0.011,
4.767,0.019,0.228,0.007,
4.8,0.018,0.228,0.003,
4.833,0.017,0.229,-0.001,
4.867,0.017,0.229,-0.001,
4.9,0.017,0.229,-0,
4.933,0.017,0.229,0.001,
4.967,0.016,0.229,0.002,
5,0.015,0.229,0.003,
5.033,0.015,0.229,0.005,
5.067,0.013,0.229,0.006,
5.1,0.012,0.229,0.007,
5.133,0.01,0.229,0.007,
5.167,0.009,0.229,0.006,
5.2,0.008,0.229,0.005,
5.233,0.008,0.229,0.004,
5.267,0.007,0.229,0.003,
5.3,0.007,0.229,0.002,
5.333,0.006,0.229,0.001,
5.367,0.005,0.229,0,
5.4,0.004,0.229,-0.001,
5.433,0.003,0.229,-0.002,
5.467,0.001,0.229,-0.003,
5.5,0.001,0.229,-0.004,
5.533,0.001,0.229,-0.006,
5.567,0.002,0.229,-0.007,
5.6,0.003,0.229,-0.008,
5.633,0.003,0.229,-0.009,
5.667,0,0.229,-0.009,
5.7,-0.001,0.229,-0.008,
5.733,0.001,0.229,-0.005,
5.767,0.001,0.229,-0.003,
5.8,0.002,0.229,0,
5.833,0.002,0.229,0.003,
5.867,0.003,0.229,0.006,
5.9,0.006,0.229,0.007,
5.933,0.007,0.229,0.009,
5.967,0.009,0.229,0.01,
6,0.012,0.229,0.011,
6.033,0.013,0.229,0.012,
6.067,0.014,0.228,0.013,
6.1,0.015,0.228,0.013,
6.133,0.014,0.228,0.013,
6.167,0.014,0.228,0.013,
6.2,0.012,0.229,0.011,
6.233,0.01,0.229,0.009,
6.267,0.007,0.229,0.007,
6.3,0.005,0.229,0.005,
6.333,0.002,0.229,0.003,
6.367,0.001,0.229,0.002,
6.4,0.004,0.229,0.003,
6.433,0.006,0.229,0.003,
6.467,0.007,0.229,0.002,
6.5,0.007,0.229,0.002,
6.533,0.007,0.229,0.002,
6.567,0.006,0.229,0.002,
6.6,0.004,0.229,0.001,
6.633,0.003,0.229,0.001,
6.667,0.001,0.229,0,
6.7,-0.001,0.229,0,
6.733,-0.003,0.229,0,
6.767,-0.004,0.229,0,
6.8,-0.005,0.229,0,
6.833,-0.006,0.229,0,
6.867,-0.005,0.229,-0,
6.9,-0.005,0.229,-0,
6.933,-0.003,0.229,-0,
6.967,-0.002,0.229,0,
7,-0.003,0.229,0,
7.033,-0.004,0.229,0.001,
7.067,-0.005,0.229,0.003,
7.1,-0.005,0.229,0.005,
7.133,-0.004,0.229,0.007,
7.167,-0.003,0.229,0.009,
7.2,-0.003,0.229,0.011,
7.233,-0.002,0.229,0.013,
7.267,-0.001,0.229,0.015,
7.3,-0,0.229,0.017,
7.333,0,0.229,0.018,
7.367,0.001,0.228,0.018,
7.4,0.002,0.228,0.018,
7.433,0.002,0.228,0.018,
7.467,0.003,0.228,0.018,
7.5,0.003,0.228,0.018,
7.533,0.004,0.228,0.018,
7.567,0.005,0.228,0.017,
7.6,0.005,0.229,0.017,
7.633,0.005,0.229,0.016,
7.667,0.006,0.229,0.016,
7.7,0.006,0.229,0.016,
7.733,0.006,0.229,0.016,
7.767,0.007,0.229,0.015,
7.8,0.007,0.229,0.014,
7.833,0.008,0.229,0.013,
7.867,0.008,0.229,0.013,
7.9,0.008,0.229,0.011,
7.933,0.008,0.229,0.009,
7.967,0.008,0.229,0.007,
8,0.007,0.229,0.005,
8.033,0.008,0.229,0.003,
8.067,0.008,0.229,0,
8.1,0.009,0.229,-0.002,
8.133,0.01,0.229,-0.004,
8.167,0.01,0.229,-0.006,
8.2,0.009,0.229,-0.007,
8.233,0.007,0.229,-0.01,
8.267,0.005,0.229,-0.013,
8.3,0.003,0.229,-0.015,
8.333,0.001,0.228,-0.018,
8.367,0.001,0.228,-0.021,
8.4,0,0.228,-0.023,
8.433,-0,0.228,-0.026,
8.467,-0,0.228,-0.028,
8.5,-0,0.227,-0.031,
8.533,0,0.227,-0.033,
8.567,0.002,0.226,-0.037,
8.6,0.003,0.226,-0.04,
8.633,0.004,0.225,-0.045,
8.667,0.004,0.223,-0.051,
8.7,0.004,0.222,-0.059,
8.733,0.007,0.219,-0.067,
8.767,0.01,0.217,-0.074,
8.8,0.011,0.214,-0.08,
8.833,0.012,0.212,-0.086,
8.867,0.014,0.21,-0.09,
8.9,0.015,0.209,-0.094,
8.933,0.015,0.207,-0.096,
8.967,0.016,0.207,-0.098,
9,0.016,0.206,-0.099,
9.033,0.016,0.205,-0.1,
9.067,0.016,0.205,-0.101,
9.1,0.016,0.204,-0.101,
9.133,0.015,0.204,-0.102,
9.167,0.015,0.204,-0.102,
9.2,0.014,0.204,-0.101,
9.233,0.013,0.205,-0.1,
9.267,0.012,0.205,-0.099,
9.3,0.009,0.206,-0.098,
9.333,0.006,0.206,-0.097,
9.367,0,0.207,-0.096,
9.4,-0.007,0.207,-0.095,
9.433,-0.014,0.208,-0.093,
9.467,-0.02,0.207,-0.093,
9.5,-0.026,0.207,-0.092,
9.533,-0.032,0.207,-0.09,
9.567,-0.037,0.207,-0.089,
9.6,-0.044,0.206,-0.088,
9.633,-0.049,0.206,-0.085,
9.667,-0.053,0.206,-0.083,
9.7,-0.056,0.206,-0.081,
9.733,-0.058,0.206,-0.079,
9.767,-0.06,0.206,-0.078,
9.8,-0.061,0.206,-0.076,
9.833,-0.061,0.206,-0.075,
9.867,-0.061,0.206,-0.075,
9.9,-0.061,0.206,-0.075,
9.933,-0.061,0.206,-0.076,
