Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.001,0.485,-0.006,
0.033,-0.001,0.485,-0.006,
0.067,-0.001,0.485,-0.007,
0.1,-0.001,0.485,-0.007,
0.133,-0.001,0.485,-0.007,
0.167,-0.001,0.485,-0.007,
0.2,-0.001,0.485,-0.007,
0.233,-0.001,0.485,-0.007,
0.267,-0.001,0.485,-0.007,
0.3,-0.002,0.485,-0.007,
0.333,-0.002,0.485,-0.006,
0.367,-0.002,0.485,-0.006,
0.4,-0.002,0.485,-0.005,
0.433,-0.002,0.485,-0.005,
0.467,-0.002,0.485,-0.004,
0.5,-0.003,0.485,-0.003,
0.533,-0.003,0.485,-0.002,
0.567,-0.003,0.485,-0,
0.6,-0.003,0.484,0.001,
0.633,-0.003,0.484,0.003,
0.667,-0.003,0.484,0.004,
0.7,-0.004,0.484,0.006,
0.733,-0.004,0.483,0.008,
0.767,-0.005,0.483,0.009,
0.8,-0.005,0.483,0.011,
0.833,-0.006,0.482,0.013,
0.867,-0.006,0.482,0.015,
0.9,-0.006,0.481,0.017,
0.933,-0.006,0.481,0.02,
0.967,-0.006,0.48,0.023,
1,-0.006,0.479,0.026,
1.033,-0.007,0.478,0.029,
1.067,-0.007,0.476,0.033,
1.1,-0.007,0.475,0.036,
1.133,-0.008,0.474,0.038,
1.167,-0.009,0.474,0.04,
1.2,-0.009,0.473,0.041,
1.233,-0.01,0.473,0.042,
1.267,-0.011,0.472,0.042,
1.3,-0.011,0.472,0.042,
1.333,-0.012,0.471,0.043,
1.367,-0.013,0.471,0.043,
1.4,-0.014,0.47,0.042,
1.433,-0.015,0.47,0.04,
1.467,-0.016,0.47,0.04,
1.5,-0.016,0.469,0.04,
1.533,-0.017,0.469,0.039,
1.567,-0.018,0.469,0.039,
1.6,-0.019,0.469,0.039,
1.633,-0.019,0.468,0.039,
1.667,-0.02,0.468,0.039,
1.7,-0.021,0.467,0.039,
1.733,-0.021,0.467,0.038,
1.767,-0.022,0.467,0.036,
1.8,-0.022,0.467,0.036,
1.833,-0.023,0.467,0.035,
1.867,-0.023,0.467,0.035,
1.9,-0.024,0.467,0.034,
1.933,-0.024,0.467,0.035,
1.967,-0.024,0.466,0.035,
2,-0.024,0.466,0.036,
2.033,-0.024,0.466,0.037,
2.067,-0.024,0.466,0.038,
2.1,-0.025,0.466,0.039,
2.133,-0.025,0.466,0.04,
2.167,-0.025,0.465,0.041,
2.2,-0.025,0.465,0.042,
2.233,-0.025,0.465,0.044,
2.267,-0.026,0.465,0.045,
2.3,-0.026,0.464,0.046,
2.333,-0.026,0.464,0.046,
2.367,-0.026,0.464,0.047,
2.4,-0.026,0.464,0.047,
2.433,-0.026,0.464,0.047,
2.467,-0.026,0.464,0.046,
2.5,-0.026,0.465,0.046,
2.533,-0.026,0.465,0.045,
2.567,-0.026,0.465,0.044,
2.6,-0.027,0.466,0.043,
2.633,-0.027,0.466,0.043,
2.667,-0.027,0.466,0.042,
2.7,-0.027,0.466,0.042,
2.733,-0.027,0.466,0.042,
2.767,-0.028,0.466,0.042,
2.8,-0.028,0.466,0.042,
2.833,-0.028,0.466,0.041,
2.867,-0.028,0.467,0.04,
2.9,-0.028,0.467,0.04,
2.933,-0.028,0.467,0.039,
2.967,-0.028,0.467,0.039,
3,-0.028,0.467,0.039,
3.033,-0.028,0.466,0.038,
3.067,-0.028,0.466,0.038,
3.1,-0.029,0.466,0.038,
3.133,-0.029,0.466,0.038,
3.167,-0.029,0.466,0.037,
3.2,-0.029,0.466,0.037,
3.233,-0.029,0.466,0.037,
3.267,-0.029,0.466,0.037,
3.3,-0.029,0.466,0.036,
3.333,-0.029,0.466,0.036,
3.367,-0.029,0.466,0.035,
3.4,-0.029,0.466,0.035,
3.433,-0.029,0.466,0.035,
3.467,-0.03,0.466,0.035,
3.5,-0.03,0.466,0.035,
3.533,-0.03,0.466,0.035,
3.567,-0.03,0.466,0.035,
3.6,-0.03,0.466,0.035,
3.633,-0.03,0.466,0.034,
3.667,-0.03,0.466,0.034,
3.7,-0.03,0.466,0.033,
3.733,-0.03,0.466,0.033,
3.767,-0.03,0.466,0.032,
3.8,-0.03,0.466,0.032,
3.833,-0.03,0.467,0.031,
3.867,-0.029,0.467,0.029,
3.9,-0.029,0.467,0.028,
3.933,-0.028,0.467,0.027,
3.967,-0.028,0.467,0.025,
4,-0.027,0.468,0.023,
4.033,-0.027,0.468,0.02,
4.067,-0.026,0.468,0.017,
4.1,-0.025,0.468,0.013,
4.133,-0.025,0.469,0.009,
4.167,-0.024,0.469,0.005,
4.2,-0.023,0.469,-0.001,
4.233,-0.022,0.469,-0.007,
4.267,-0.022,0.47,-0.014,
4.3,-0.021,0.47,-0.021,
4.333,-0.02,0.47,-0.029,
4.367,-0.019,0.47,-0.037,
4.4,-0.018,0.47,-0.044,
4.433,-0.017,0.47,-0.051,
4.467,-0.016,0.469,-0.057,
4.5,-0.015,0.469,-0.063,
4.533,-0.015,0.469,-0.069,
4.567,-0.014,0.468,-0.074,
4.6,-0.013,0.468,-0.081,
4.633,-0.011,0.467,-0.089,
4.667,-0.01,0.466,-0.098,
4.7,-0.009,0.465,-0.107,
4.733,-0.009,0.464,-0.116,
4.767,-0.009,0.462,-0.125,
4.8,-0.009,0.46,-0.134,
4.833,-0.01,0.458,-0.142,
4.867,-0.01,0.456,-0.148,
4.9,-0.011,0.454,-0.153,
4.933,-0.011,0.452,-0.158,
4.967,-0.012,0.451,-0.163,
5,-0.012,0.449,-0.168,
5.033,-0.012,0.447,-0.173,
5.067,-0.013,0.445,-0.179,
5.1,-0.014,0.443,-0.184,
5.133,-0.015,0.441,-0.189,
5.167,-0.016,0.439,-0.194,
5.2,-0.017,0.437,-0.199,
5.233,-0.017,0.435,-0.204,
5.267,-0.018,0.433,-0.209,
5.3,-0.017,0.43,-0.215,
5.333,-0.017,0.427,-0.22,
5.367,-0.017,0.424,-0.226,
5.4,-0.017,0.42,-0.232,
5.433,-0.016,0.416,-0.238,
5.467,-0.017,0.412,-0.246,
5.5,-0.018,0.409,-0.253,
5.533,-0.018,0.406,-0.258,
5.567,-0.019,0.404,-0.262,
5.6,-0.021,0.403,-0.263,
5.633,-0.022,0.403,-0.264,
5.667,-0.024,0.403,-0.264,
5.7,-0.025,0.402,-0.264,
5.733,-0.026,0.402,-0.265,
5.767,-0.027,0.402,-0.265,
5.8,-0.026,0.402,-0.265,
5.833,-0.026,0.401,-0.267,
5.867,-0.026,0.4,-0.268,
5.9,-0.025,0.399,-0.268,
5.933,-0.024,0.399,-0.268,
5.967,-0.022,0.399,-0.269,
6,-0.021,0.398,-0.269,
6.033,-0.02,0.398,-0.27,
6.067,-0.019,0.398,-0.269,
6.1,-0.019,0.399,-0.269,
6.133,-0.019,0.399,-0.269,
6.167,-0.019,0.399,-0.269,
6.2,-0.02,0.399,-0.269,
6.233,-0.02,0.399,-0.268,
6.267,-0.02,0.4,-0.268,
6.3,-0.021,0.4,-0.267,
6.333,-0.021,0.4,-0.266,
6.367,-0.021,0.401,-0.266,
6.4,-0.021,0.401,-0.265,
6.433,-0.021,0.401,-0.265,
6.467,-0.021,0.401,-0.265,
6.5,-0.021,0.401,-0.265,
6.533,-0.021,0.401,-0.265,
6.567,-0.021,0.401,-0.265,
6.6,-0.021,0.401,-0.265,
6.633,-0.021,0.401,-0.266,
6.667,-0.021,0.401,-0.266,
6.7,-0.021,0.401,-0.266,
6.733,-0.021,0.401,-0.266,
6.767,-0.021,0.401,-0.266,
6.8,-0.021,0.401,-0.266,
6.833,-0.021,0.401,-0.266,
6.867,-0.021,0.401,-0.266,
6.9,-0.02,0.401,-0.266,
6.933,-0.02,0.401,-0.266,
6.967,-0.02,0.401,-0.265,
7,-0.02,0.401,-0.265,
7.033,-0.021,0.401,-0.265,
7.067,-0.021,0.401,-0.265,
7.1,-0.02,0.401,-0.266,
7.133,-0.019,0.4,-0.268,
7.167,-0.018,0.399,-0.269,
7.2,-0.018,0.399,-0.269,
7.233,-0.018,0.398,-0.27,
7.267,-0.018,0.396,-0.273,
7.3,-0.018,0.396,-0.273,
7.333,-0.018,0.396,-0.273,
7.367,-0.017,0.398,-0.271,
7.4,-0.016,0.4,-0.267,
7.433,-0.014,0.404,-0.26,
7.467,-0.011,0.41,-0.252,
7.5,-0.008,0.414,-0.243,
7.533,-0.004,0.419,-0.234,
7.567,-0,0.424,-0.225,
7.6,0.003,0.428,-0.216,
7.633,0.007,0.432,-0.207,
7.667,0.009,0.436,-0.198,
7.7,0.012,0.44,-0.188,
7.733,0.016,0.443,-0.179,
7.767,0.019,0.446,-0.171,
7.8,0.023,0.449,-0.162,
7.833,0.027,0.452,-0.154,
7.867,0.032,0.454,-0.146,
7.9,0.036,0.456,-0.138,
7.933,0.041,0.458,-0.13,
7.967,0.046,0.459,-0.122,
8,0.052,0.46,-0.114,
8.033,0.057,0.461,-0.107,
8.067,0.063,0.462,-0.099,
8.1,0.069,0.463,-0.091,
8.133,0.075,0.463,-0.084,
8.167,0.08,0.463,-0.078,
8.2,0.086,0.462,-0.071,
8.233,0.091,0.462,-0.066,
8.267,0.096,0.461,-0.061,
8.3,0.101,0.46,-0.057,
8.333,0.105,0.46,-0.053,
8.367,0.11,0.459,-0.049,
8.4,0.113,0.458,-0.047,
8.433,0.116,0.457,-0.046,
8.467,0.118,0.457,-0.045,
8.5,0.121,0.456,-0.043,
8.533,0.123,0.456,-0.043,
8.567,0.125,0.455,-0.043,
8.6,0.127,0.455,-0.043,
8.633,0.128,0.455,-0.043,
8.667,0.128,0.455,-0.043,
8.7,0.127,0.455,-0.043,
8.733,0.126,0.455,-0.044,
8.767,0.124,0.456,-0.044,
8.8,0.122,0.457,-0.044,
8.833,0.119,0.458,-0.044,
8.867,0.116,0.459,-0.045,
8.9,0.112,0.46,-0.045,
8.933,0.107,0.461,-0.045,
8.967,0.101,0.463,-0.045,
9,0.095,0.464,-0.046,
9.033,0.088,0.466,-0.047,
9.067,0.081,0.467,-0.048,
9.1,0.072,0.469,-0.049,
9.133,0.063,0.471,-0.05,
9.167,0.054,0.472,-0.05,
9.2,0.044,0.474,-0.049,
9.233,0.035,0.475,-0.048,
9.267,0.025,0.476,-0.046,
9.3,0.015,0.477,-0.042,
9.333,0.005,0.478,-0.039,
9.367,-0.006,0.478,-0.037,
9.4,-0.017,0.479,-0.035,
9.433,-0.028,0.479,-0.032,
9.467,-0.04,0.478,-0.031,
9.5,-0.052,0.478,-0.03,
9.533,-0.063,0.477,-0.03,
9.567,-0.073,0.476,-0.03,
9.6,-0.082,0.474,-0.029,
9.633,-0.09,0.473,-0.028,
9.667,-0.099,0.471,-0.028,
9.7,-0.107,0.47,-0.028,
9.733,-0.115,0.468,-0.028,
9.767,-0.122,0.466,-0.029,
9.8,-0.128,0.465,-0.03,
9.833,-0.134,0.463,-0.03,
9.867,-0.139,0.462,-0.029,
9.9,-0.142,0.462,-0.029,
9.933,-0.145,0.461,-0.027,
