Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-17.591,-5.376,-0.747,
0.033,-16.881,-5.342,-0.808,
0.067,-15.871,-5.289,-0.915,
0.1,-14.922,-5.19,-1.069,
0.133,-14.138,-5.095,-1.167,
0.167,-13.33,-5.019,-1.166,
0.2,-12.386,-4.887,-1.155,
0.233,-11.523,-4.709,-1.147,
0.267,-10.704,-4.537,-1.121,
0.3,-9.899,-4.378,-1.184,
0.333,-9.2,-4.216,-1.292,
0.367,-8.651,-4.061,-1.301,
0.4,-7.922,-3.95,-1.378,
0.433,-7.125,-3.764,-1.43,
0.467,-6.21,-3.52,-1.294,
0.5,-5.454,-3.265,-1.123,
0.533,-4.96,-2.929,-0.994,
0.567,-4.361,-2.52,-0.919,
0.6,-3.722,-2.098,-0.863,
0.633,-3.227,-1.74,-0.837,
0.667,-2.916,-1.475,-0.804,
0.7,-2.521,-1.271,-0.76,
0.733,-2.102,-1.138,-0.711,
0.767,-1.699,-1.064,-0.717,
0.8,-1.208,-1.004,-0.744,
0.833,-0.701,-0.939,-0.745,
0.867,-0.211,-0.877,-0.748,
0.9,0.181,-0.823,-0.776,
0.933,0.441,-0.756,-0.786,
0.967,0.501,-0.666,-0.82,
1,0.401,-0.671,-0.895,
1.033,0.429,-0.707,-1.007,
1.067,0.394,-0.722,-1.048,
1.1,0.358,-0.753,-1.107,
1.133,0.335,-0.722,-1.124,
1.167,0.262,-0.695,-1.145,
1.2,0.098,-0.691,-1.219,
1.233,-0.113,-0.681,-1.277,
1.267,-0.346,-0.692,-1.321,
1.3,-0.653,-0.735,-1.414,
1.333,-1.108,-0.82,-1.486,
1.367,-1.706,-0.946,-1.496,
1.4,-2.395,-1.11,-1.475,
1.433,-3.208,-1.313,-1.456,
1.467,-4.186,-1.534,-1.436,
1.5,-5.321,-1.735,-1.357,
1.533,-6.611,-1.922,-1.21,
1.567,-7.985,-2.099,-0.974,
1.6,-9.401,-2.314,-0.63,
1.633,-10.793,-2.589,-0.242,
1.667,-12.194,-2.871,0.123,
1.7,-13.586,-3.131,0.448,
1.733,-14.847,-3.401,0.651,
1.767,-15.981,-3.686,0.745,
1.8,-17.038,-3.957,0.802,
1.833,-17.911,-4.236,0.75,
1.867,-18.719,-4.462,0.703,
1.9,-19.477,-4.641,0.688,
1.933,-20.356,-4.811,0.594,
1.967,-21.29,-4.934,0.466,
2,-22.189,-5.049,0.389,
2.033,-23.051,-5.178,0.287,
2.067,-23.88,-5.294,0.169,
2.1,-24.625,-5.405,0.047,
2.133,-25.295,-5.507,-0.047,
2.167,-25.968,-5.587,-0.17,
2.2,-26.609,-5.652,-0.257,
2.233,-27.195,-5.701,-0.248,
2.267,-27.727,-5.731,-0.238,
2.3,-28.222,-5.754,-0.263,
2.333,-28.703,-5.763,-0.276,
2.367,-29.205,-5.806,-0.268,
2.4,-29.737,-5.875,-0.271,
2.433,-30.371,-5.954,-0.323,
2.467,-30.955,-6.038,-0.354,
2.5,-31.442,-6.116,-0.39,
2.533,-31.853,-6.184,-0.502,
2.567,-32.314,-6.253,-0.62,
2.6,-33.109,-6.291,-0.746,
2.633,-34.08,-6.335,-0.828,
2.667,-34.943,-6.39,-0.913,
2.7,-35.88,-6.445,-0.931,
2.733,-36.961,-6.487,-0.963,
2.767,-37.887,-6.435,-1.075,
2.8,-38.982,-6.395,-1.152,
2.833,-40.079,-6.448,-1.268,
2.867,-40.78,-6.532,-1.393,
2.9,-41.405,-6.623,-1.516,
2.933,-42.174,-6.699,-1.753,
2.967,-43.005,-6.791,-2.094,
3,-44.083,-6.961,-2.479,
3.033,-45.262,-7.187,-2.838,
3.067,-46.551,-7.422,-3.08,
3.1,-47.971,-7.691,-3.197,
3.133,-49.421,-8.045,-3.231,
3.167,-50.827,-8.426,-3.237,
3.2,-52.156,-8.794,-3.311,
3.233,-53.47,-9.142,-3.474,
3.267,-54.72,-9.434,-3.708,
3.3,-55.977,-9.687,-4.016,
3.333,-57.342,-9.895,-4.376,
3.367,-58.789,-10.053,-4.805,
3.4,-60.207,-10.179,-5.085,
3.433,-61.463,-10.274,-5.29,
3.467,-62.827,-10.316,-5.427,
3.5,-64.425,-10.325,-5.504,
3.533,-65.92,-10.224,-5.721,
3.567,-67.549,-10.028,-6.102,
3.6,-69.01,-9.774,-6.416,
3.633,-69.888,-9.427,-6.725,
3.667,-69.891,-8.932,-7.273,
3.7,-69.646,-8.626,-7.58,
3.733,-69.996,-8.434,-7.701,
3.767,-70.574,-8.502,-7.51,
3.8,-70.894,-8.637,-7.189,
3.833,-70.891,-8.714,-6.969,
3.867,-70.696,-8.809,-6.864,
3.9,-70.322,-8.875,-6.82,
3.933,-69.812,-8.896,-6.749,
3.967,-69.234,-8.936,-6.649,
4,-68.678,-8.995,-6.59,
4.033,-68.25,-9.025,-6.619,
4.067,-67.967,-9.035,-6.647,
4.1,-67.953,-9.074,-6.59,
4.133,-67.949,-9.08,-6.673,
4.167,-67.847,-9.078,-6.686,
4.2,-67.758,-9.055,-6.735,
4.233,-67.724,-8.995,-6.85,
4.267,-67.751,-8.921,-6.926,
4.3,-67.825,-8.86,-6.98,
4.333,-67.901,-8.802,-7.047,
4.367,-67.971,-8.735,-7.175,
4.4,-68.031,-8.664,-7.306,
