Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-5.927,1.124,0.217,
0.033,-5.892,1.129,0.235,
0.067,-5.838,1.131,0.255,
0.1,-5.712,1.12,0.261,
0.133,-5.457,1.099,0.252,
0.167,-5.192,1.083,0.271,
0.2,-5.04,1.043,0.306,
0.233,-4.913,0.976,0.282,
0.267,-4.799,0.931,0.257,
0.3,-4.742,0.927,0.293,
0.333,-4.694,0.943,0.33,
0.367,-4.62,0.953,0.341,
0.4,-4.529,0.947,0.348,
0.433,-4.48,0.931,0.32,
0.467,-4.384,0.892,0.316,
0.5,-4.111,0.809,0.361,
0.533,-3.689,0.686,0.343,
0.567,-3.358,0.577,0.256,
0.6,-3.106,0.499,0.193,
0.633,-2.818,0.441,0.15,
0.667,-2.508,0.391,0.094,
0.7,-2.212,0.342,0.083,
0.733,-1.887,0.289,0.14,
0.767,-1.518,0.244,0.186,
0.8,-1.22,0.213,0.173,
0.833,-0.963,0.19,0.115,
0.867,-0.769,0.186,0.07,
0.9,-0.613,0.191,0.05,
0.933,-0.383,0.178,0.056,
0.967,0.174,0.128,0.147,
1,0.768,0.111,0.257,
1.033,1.156,0.079,0.35,
1.067,1.397,0.052,0.433,
1.1,1.529,0.037,0.477,
1.133,1.572,0.027,0.513,
1.167,1.473,0.024,0.529,
1.2,1.211,0.041,0.567,
1.233,0.887,0.069,0.624,
1.267,0.473,0.093,0.639,
1.3,-0.027,0.127,0.664,
1.333,-0.55,0.179,0.693,
1.367,-1.116,0.241,0.711,
1.4,-1.725,0.306,0.73,
1.433,-2.401,0.391,0.747,
1.467,-3.103,0.502,0.747,
1.5,-3.792,0.596,0.733,
1.533,-4.425,0.631,0.677,
1.567,-4.989,0.652,0.605,
1.6,-5.531,0.697,0.588,
1.633,-6.058,0.781,0.647,
1.667,-6.588,0.882,0.737,
1.7,-7.089,0.963,0.79,
1.733,-7.53,1.077,0.778,
1.767,-7.976,1.234,0.775,
1.8,-8.545,1.396,0.771,
1.833,-9.202,1.526,0.739,
1.867,-9.918,1.643,0.692,
1.9,-10.703,1.764,0.638,
1.933,-11.478,1.882,0.557,
1.967,-12.134,1.964,0.455,
2,-12.67,2.024,0.304,
2.033,-13.144,2.072,0.176,
2.067,-13.545,2.123,0.072,
2.1,-13.959,2.182,0.026,
2.133,-14.372,2.243,0.003,
2.167,-14.843,2.318,-0.03,
2.2,-15.314,2.379,-0.071,
2.233,-15.751,2.429,-0.118,
2.267,-16.268,2.5,-0.157,
2.3,-16.842,2.591,-0.149,
2.333,-17.378,2.653,-0.082,
2.367,-17.908,2.717,-0.01,
2.4,-18.375,2.788,0.071,
2.433,-18.731,2.878,0.141,
2.467,-19.118,2.954,0.162,
2.5,-19.592,3.027,0.155,
2.533,-20.15,3.13,0.168,
2.567,-20.791,3.228,0.165,
2.6,-21.365,3.305,0.134,
2.633,-21.904,3.404,0.121,
2.667,-22.642,3.518,0.061,
2.7,-23.485,3.649,-0.052,
2.733,-24.239,3.789,-0.199,
2.767,-25.135,3.915,-0.392,
2.8,-25.984,4.042,-0.598,
2.833,-26.802,4.227,-0.708,
2.867,-27.836,4.411,-0.734,
2.9,-28.879,4.534,-0.767,
2.933,-29.797,4.659,-0.831,
2.967,-30.659,4.828,-0.886,
3,-31.477,5.03,-0.943,
3.033,-32.303,5.235,-0.994,
3.067,-33.119,5.418,-1.094,
3.1,-33.93,5.598,-1.256,
3.133,-34.725,5.801,-1.378,
3.167,-35.526,5.968,-1.452,
3.2,-36.293,6.056,-1.448,
3.233,-36.969,6.118,-1.472,
3.267,-37.596,6.19,-1.518,
3.3,-38.187,6.263,-1.575,
3.333,-38.809,6.347,-1.622,
3.367,-39.509,6.449,-1.655,
3.4,-40.242,6.587,-1.748,
3.433,-41.07,6.739,-1.688,
3.467,-41.82,6.866,-1.452,
3.5,-42.409,6.982,-1.141,
3.533,-43.146,7.11,-0.65,
3.567,-44.009,7.272,-0.153,
3.6,-44.751,7.409,0.325,
3.633,-45.589,7.412,0.991,
3.667,-46.4,7.392,1.54,
3.7,-46.919,7.417,1.727,
3.733,-47.182,7.414,1.761,
3.767,-47.29,7.433,1.832,
3.8,-47.28,7.593,1.773,
3.833,-47.23,7.657,1.759,
3.867,-47.183,7.696,1.756,
3.9,-47.164,7.724,1.72,
3.933,-47.178,7.727,1.644,
3.967,-47.164,7.702,1.581,
4,-47.15,7.65,1.659,
4.033,-47.057,7.621,1.779,
4.067,-46.92,7.617,1.822,
4.1,-46.741,7.609,1.83,
4.133,-46.494,7.597,1.854,
4.167,-46.27,7.613,1.878,
4.2,-46.087,7.624,1.95,
4.233,-45.981,7.641,2.026,
4.267,-45.899,7.664,2.089,
4.3,-45.794,7.687,2.119,
4.333,-45.648,7.704,2.15,
4.367,-45.476,7.707,2.213,
4.4,-45.388,7.726,2.229,
4.433,-45.351,7.726,2.263,
4.467,-45.34,7.721,2.318,
4.5,-45.371,7.715,2.395,
4.533,-45.466,7.736,2.428,
4.567,-45.532,7.762,2.399,
4.6,-45.556,7.774,2.381,
4.633,-45.602,7.781,2.359,
4.667,-45.644,7.78,2.345,
4.7,-45.643,7.77,2.336,
4.733,-45.586,7.757,2.309,
4.767,-45.475,7.77,2.211,
4.8,-45.303,7.837,1.938,
4.833,-45.346,7.946,1.523,
4.867,-45.667,8.051,1.199,
4.9,-46.063,8.115,1.064,
4.933,-46.516,8.137,1.097,
4.967,-46.605,8.068,1.223,
5,-46.489,7.991,1.192,
5.033,-46.167,7.968,0.909,
5.067,-45.604,7.905,0.759,
5.1,-44.917,7.832,0.431,
5.133,-44.135,7.79,-0.075,
5.167,-43.324,7.739,-0.536,
5.2,-42.452,7.629,-0.766,
5.233,-41.455,7.493,-0.852,
5.267,-40.269,7.391,-0.917,
5.3,-38.908,7.274,-0.889,
5.333,-37.467,7.062,-0.819,
5.367,-35.946,6.821,-0.751,
5.4,-34.338,6.595,-0.727,
5.433,-32.761,6.343,-0.783,
5.467,-31.269,6.094,-0.847,
5.5,-29.874,5.893,-0.855,
5.533,-28.376,5.67,-0.782,
5.567,-26.838,5.449,-0.768,
5.6,-25.597,5.307,-0.758,
5.633,-24.812,5.228,-0.763,
5.667,-24.337,5.078,-0.708,
5.7,-24.006,4.898,-0.432,
5.733,-23.797,4.769,-0.066,
5.767,-23.594,4.751,0.155,
5.8,-23.316,4.74,0.255,
5.833,-22.816,4.685,0.216,
5.867,-22.4,4.566,0.155,
5.9,-22.274,4.476,0.163,
5.933,-22.175,4.431,0.123,
5.967,-21.817,4.329,0.043,
6,-21.238,4.152,-0.079,
6.033,-20.546,3.962,-0.231,
6.067,-19.768,3.776,-0.416,
6.1,-18.812,3.558,-0.566,
6.133,-17.902,3.356,-0.676,
6.167,-17.165,3.165,-0.759,
6.2,-16.638,3.036,-0.885,
6.233,-16.274,2.974,-1.02,
6.267,-15.934,2.956,-1.088,
6.3,-15.594,2.943,-1.115,
6.333,-15.117,2.865,-1.205,
6.367,-14.781,2.824,-1.358,
6.4,-15.489,2.965,-1.325,
6.433,-16.373,3.093,-1.169,
6.467,-16.737,3.068,-1.26,
6.5,-16.888,3.022,-1.345,
6.533,-17.152,3.045,-1.337,
6.567,-17.25,3.066,-1.337,
6.6,-17.264,3.031,-1.414,
6.633,-17.459,3,-1.478,
6.667,-17.668,2.979,-1.476,
6.7,-17.867,2.952,-1.481,
6.733,-18.046,2.925,-1.417,
6.767,-18.292,2.937,-1.311,
6.8,-18.673,2.986,-1.15,
6.833,-18.921,3.012,-1.041,
6.867,-19.081,3.048,-0.967,
6.9,-19.13,3.069,-0.906,
6.933,-19.07,3.051,-0.886,
6.967,-18.959,3.049,-0.874,
7,-18.837,3.053,-0.84,
7.033,-18.688,3.023,-0.853,
7.067,-18.538,2.986,-0.888,
7.1,-18.402,2.968,-0.909,
7.133,-18.261,2.959,-0.938,
7.167,-18.143,2.936,-0.994,
7.2,-18.08,2.9,-1.026,
7.233,-18.091,2.862,-1.076,
7.267,-18.237,2.811,-1.158,
7.3,-18.311,2.757,-1.23,
7.333,-18.325,2.717,-1.283,
7.367,-18.309,2.686,-1.314,
7.4,-18.294,2.678,-1.334,
7.433,-18.24,2.681,-1.351,
7.467,-18.186,2.682,-1.364,
7.5,-18.15,2.695,-1.351,
7.533,-18.157,2.709,-1.33,
7.567,-18.142,2.701,-1.321,
7.6,-18.075,2.695,-1.331,
7.633,-18.037,2.707,-1.323,
7.667,-18.042,2.72,-1.301,
7.7,-18.061,2.739,-1.306,
7.733,-18.086,2.772,-1.317,
7.767,-18.096,2.811,-1.296,
7.8,-18.059,2.818,-1.284,
7.833,-17.93,2.797,-1.287,
7.867,-17.785,2.756,-1.252,
7.9,-17.64,2.678,-1.18,
7.933,-17.352,2.551,-1.178,
7.967,-16.897,2.404,-1.274,
8,-16.31,2.248,-1.346,
8.033,-15.638,2.055,-1.399,
8.067,-14.856,1.865,-1.478,
8.1,-14.098,1.701,-1.59,
8.133,-13.495,1.561,-1.665,
8.167,-12.987,1.435,-1.628,
8.2,-12.491,1.317,-1.585,
8.233,-12.054,1.205,-1.562,
8.267,-11.64,1.163,-1.423,
8.3,-11.211,1.191,-1.31,
8.333,-10.851,1.129,-1.352,
8.367,-10.475,0.967,-1.464,
8.4,-10.032,0.91,-1.546,
8.433,-9.528,0.918,-1.517,
8.467,-8.951,0.836,-1.411,
8.5,-8.194,0.76,-1.445,
8.533,-7.416,0.775,-1.535,
8.567,-6.859,0.819,-1.544,
8.6,-6.339,0.83,-1.501,
8.633,-5.838,0.833,-1.401,
8.667,-5.319,0.846,-1.205,
8.7,-4.851,0.87,-0.899,
8.733,-4.472,0.941,-0.645,
8.767,-4.106,1.076,-0.451,
8.8,-3.789,1.195,-0.278,
8.833,-3.473,1.251,-0.126,
8.867,-3.072,1.251,-0.028,
8.9,-2.682,1.233,0.037,
8.933,-2.285,1.207,0.025,
8.967,-1.747,1.154,-0.079,
9,-1.332,1.104,-0.168,
9.033,-1.123,1.073,-0.203,
9.067,-0.993,1.058,-0.267,
9.1,-0.94,1.06,-0.34,
9.133,-0.927,1.082,-0.394,
9.167,-0.904,1.104,-0.442,
9.2,-0.908,1.115,-0.491,
9.233,-1.034,1.144,-0.566,
9.267,-1.215,1.195,-0.658,
9.3,-1.4,1.232,-0.709,
9.333,-1.535,1.245,-0.736,
9.367,-1.677,1.271,-0.764,
9.4,-1.833,1.297,-0.78,
9.433,-2.023,1.316,-0.781,
9.467,-2.204,1.333,-0.771,
9.5,-2.425,1.356,-0.755,
9.533,-2.667,1.37,-0.75,
