Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.003,0.226,-0.037,
0.033,0.003,0.226,-0.036,
0.067,0.003,0.226,-0.035,
0.1,0.003,0.227,-0.033,
0.133,0.003,0.227,-0.032,
0.167,0.003,0.227,-0.03,
0.2,0.003,0.227,-0.029,
0.233,0.003,0.228,-0.027,
0.267,0.003,0.228,-0.026,
0.3,0.003,0.228,-0.025,
0.333,0.002,0.228,-0.024,
0.367,0.002,0.228,-0.023,
0.4,0.002,0.228,-0.022,
0.433,0.002,0.228,-0.021,
0.467,0.002,0.228,-0.02,
0.5,0.002,0.229,-0.018,
0.533,0.001,0.229,-0.016,
0.567,0.001,0.229,-0.015,
0.6,0.001,0.229,-0.013,
0.633,0.001,0.229,-0.012,
0.667,0.001,0.229,-0.011,
0.7,0.001,0.229,-0.009,
0.733,0.001,0.229,-0.008,
0.767,0.001,0.229,-0.006,
0.8,0.001,0.229,-0.005,
0.833,0.001,0.229,-0.004,
0.867,0.001,0.229,-0.002,
0.9,0,0.229,-0.002,
0.933,0,0.229,-0.001,
0.967,0,0.229,0.001,
1,0,0.229,0.003,
1.033,0.001,0.229,0.004,
1.067,0.001,0.229,0.004,
1.1,0.001,0.229,0.005,
1.133,0.001,0.229,0.005,
1.167,0.001,0.229,0.004,
1.2,0.001,0.229,0.004,
1.233,0.001,0.229,0.002,
1.267,0.001,0.229,0.001,
1.3,0,0.229,-0.001,
1.333,0,0.229,-0.003,
1.367,0,0.229,-0.005,
1.4,0,0.229,-0.008,
1.433,0,0.229,-0.011,
1.467,0,0.229,-0.014,
1.5,0,0.229,-0.017,
1.533,0,0.228,-0.02,
1.567,0.001,0.228,-0.023,
1.6,0.001,0.228,-0.027,
1.633,0.001,0.227,-0.03,
1.667,0.001,0.227,-0.033,
1.7,0.001,0.226,-0.036,
1.733,0.001,0.226,-0.038,
1.767,0,0.225,-0.041,
1.8,0,0.225,-0.044,
1.833,0,0.224,-0.047,
1.867,0,0.224,-0.05,
1.9,0,0.223,-0.053,
1.933,-0,0.222,-0.056,
1.967,-0,0.222,-0.059,
2,-0,0.221,-0.061,
2.033,-0,0.22,-0.063,
2.067,0,0.22,-0.065,
2.1,0,0.219,-0.067,
2.133,-0,0.218,-0.069,
2.167,-0,0.218,-0.071,
2.2,-0,0.217,-0.073,
2.233,-0,0.217,-0.075,
2.267,-0,0.216,-0.077,
2.3,-0.001,0.215,-0.079,
2.333,-0.001,0.214,-0.081,
2.367,-0.001,0.214,-0.083,
2.4,-0.001,0.213,-0.085,
2.433,-0.001,0.212,-0.086,
2.467,-0.001,0.212,-0.088,
2.5,-0.002,0.211,-0.09,
2.533,-0.002,0.21,-0.092,
2.567,-0.002,0.209,-0.094,
2.6,-0.002,0.208,-0.096,
2.633,-0.002,0.207,-0.098,
2.667,-0.002,0.205,-0.101,
2.7,-0.003,0.204,-0.104,
2.733,-0.003,0.202,-0.107,
2.767,-0.003,0.201,-0.111,
2.8,-0.003,0.199,-0.114,
2.833,-0.004,0.197,-0.117,
2.867,-0.004,0.195,-0.12,
2.9,-0.004,0.193,-0.123,
2.933,-0.004,0.191,-0.126,
2.967,-0.004,0.189,-0.129,
3,-0.004,0.187,-0.132,
3.033,-0.004,0.185,-0.135,
3.067,-0.004,0.183,-0.138,
3.1,-0.004,0.18,-0.141,
3.133,-0.004,0.178,-0.144,
