Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.022,0.39,0.02,
0.033,-0.022,0.39,0.02,
0.067,-0.022,0.39,0.02,
0.1,-0.022,0.39,0.02,
0.133,-0.022,0.39,0.021,
0.167,-0.022,0.39,0.021,
0.2,-0.022,0.39,0.021,
0.233,-0.022,0.39,0.021,
0.267,-0.022,0.39,0.022,
0.3,-0.022,0.39,0.022,
0.333,-0.023,0.39,0.022,
0.367,-0.023,0.39,0.022,
0.4,-0.023,0.39,0.022,
0.433,-0.023,0.39,0.022,
0.467,-0.023,0.39,0.022,
0.5,-0.023,0.39,0.022,
0.533,-0.023,0.39,0.022,
0.567,-0.023,0.39,0.022,
0.6,-0.023,0.39,0.022,
0.633,-0.023,0.39,0.022,
0.667,-0.024,0.39,0.022,
0.7,-0.025,0.39,0.023,
0.733,-0.025,0.39,0.023,
0.767,-0.025,0.389,0.023,
0.8,-0.025,0.389,0.024,
0.833,-0.025,0.389,0.025,
0.867,-0.025,0.389,0.026,
0.9,-0.025,0.389,0.027,
0.933,-0.025,0.389,0.028,
0.967,-0.025,0.389,0.029,
1,-0.025,0.389,0.03,
1.033,-0.025,0.389,0.032,
1.067,-0.025,0.388,0.033,
1.1,-0.025,0.388,0.035,
1.133,-0.024,0.388,0.037,
1.167,-0.024,0.388,0.039,
1.2,-0.023,0.388,0.041,
1.233,-0.022,0.387,0.043,
1.267,-0.021,0.387,0.045,
1.3,-0.019,0.387,0.047,
1.333,-0.017,0.387,0.049,
1.367,-0.013,0.387,0.051,
1.4,-0.01,0.387,0.053,
1.433,-0.007,0.386,0.056,
1.467,-0.004,0.386,0.058,
1.5,-0.002,0.386,0.06,
1.533,0.001,0.385,0.063,
1.567,0.004,0.385,0.065,
1.6,0.007,0.384,0.067,
1.633,0.01,0.384,0.069,
1.667,0.013,0.383,0.071,
1.7,0.016,0.383,0.074,
1.733,0.02,0.382,0.076,
1.767,0.024,0.381,0.079,
1.8,0.028,0.38,0.081,
1.833,0.032,0.379,0.084,
1.867,0.037,0.378,0.085,
1.9,0.041,0.377,0.087,
1.933,0.045,0.376,0.088,
1.967,0.047,0.376,0.09,
2,0.05,0.375,0.091,
2.033,0.052,0.374,0.093,
2.067,0.054,0.374,0.094,
2.1,0.056,0.373,0.095,
2.133,0.057,0.373,0.095,
2.167,0.059,0.372,0.096,
2.2,0.062,0.372,0.097,
2.233,0.064,0.371,0.097,
2.267,0.066,0.371,0.097,
2.3,0.067,0.371,0.098,
2.333,0.067,0.37,0.098,
2.367,0.067,0.37,0.098,
2.4,0.066,0.371,0.098,
2.433,0.065,0.371,0.097,
2.467,0.064,0.372,0.096,
2.5,0.062,0.372,0.095,
2.533,0.06,0.373,0.094,
2.567,0.057,0.374,0.092,
2.6,0.055,0.375,0.09,
2.633,0.052,0.376,0.088,
2.667,0.049,0.377,0.086,
2.7,0.046,0.378,0.084,
2.733,0.043,0.379,0.083,
2.767,0.04,0.38,0.081,
2.8,0.036,0.381,0.079,
2.833,0.033,0.382,0.078,
2.867,0.029,0.382,0.077,
2.9,0.026,0.383,0.076,
2.933,0.022,0.383,0.075,
2.967,0.018,0.384,0.073,
3,0.014,0.384,0.072,
3.033,0.01,0.384,0.072,
3.067,0.006,0.384,0.072,
3.1,0.002,0.384,0.072,
3.133,-0.002,0.384,0.073,
3.167,-0.007,0.384,0.073,
3.2,-0.011,0.384,0.074,
3.233,-0.016,0.383,0.074,
3.267,-0.02,0.383,0.075,
3.3,-0.024,0.382,0.076,
3.333,-0.027,0.382,0.077,
3.367,-0.03,0.381,0.078,
3.4,-0.033,0.381,0.079,
3.433,-0.036,0.38,0.08,
3.467,-0.039,0.379,0.081,
3.5,-0.042,0.379,0.083,
3.533,-0.045,0.378,0.084,
3.567,-0.048,0.377,0.085,
3.6,-0.052,0.376,0.087,
3.633,-0.055,0.375,0.088,
3.667,-0.059,0.373,0.09,
3.7,-0.062,0.372,0.091,
3.733,-0.065,0.371,0.093,
3.767,-0.067,0.37,0.095,
3.8,-0.07,0.369,0.097,
3.833,-0.072,0.368,0.099,
3.867,-0.075,0.366,0.101,
3.9,-0.077,0.365,0.103,
3.933,-0.08,0.364,0.106,
3.967,-0.082,0.363,0.107,
4,-0.084,0.362,0.108,
4.033,-0.085,0.361,0.109,
4.067,-0.087,0.36,0.11,
4.1,-0.088,0.36,0.111,
4.133,-0.088,0.359,0.112,
4.167,-0.089,0.359,0.114,
4.2,-0.089,0.359,0.115,
4.233,-0.089,0.358,0.116,
4.267,-0.089,0.358,0.117,
4.3,-0.089,0.359,0.117,
4.333,-0.088,0.359,0.116,
4.367,-0.087,0.36,0.115,
4.4,-0.085,0.361,0.114,
4.433,-0.083,0.362,0.113,
4.467,-0.08,0.363,0.111,
4.5,-0.078,0.364,0.108,
4.533,-0.076,0.366,0.105,
4.567,-0.073,0.367,0.102,
4.6,-0.071,0.369,0.099,
4.633,-0.068,0.37,0.096,
4.667,-0.065,0.372,0.093,
4.7,-0.062,0.373,0.089,
4.733,-0.058,0.375,0.085,
4.767,-0.055,0.376,0.08,
4.8,-0.051,0.378,0.075,
4.833,-0.047,0.379,0.07,
4.867,-0.045,0.381,0.065,
4.9,-0.042,0.382,0.06,
4.933,-0.039,0.383,0.055,
4.967,-0.036,0.384,0.05,
5,-0.034,0.385,0.045,
5.033,-0.031,0.386,0.041,
5.067,-0.029,0.386,0.035,
5.1,-0.028,0.387,0.031,
5.133,-0.026,0.387,0.026,
5.167,-0.024,0.388,0.022,
5.2,-0.021,0.389,0.017,
5.233,-0.018,0.389,0.012,
5.267,-0.015,0.389,0.008,
5.3,-0.012,0.389,0.002,
5.333,-0.009,0.389,-0.004,
5.367,-0.007,0.389,-0.01,
5.4,-0.005,0.389,-0.015,
5.433,-0.004,0.389,-0.021,
5.467,-0.003,0.389,-0.027,
5.5,-0.002,0.388,-0.034,
5.533,-0.003,0.388,-0.043,
5.567,-0.003,0.387,-0.052,
5.6,-0.003,0.386,-0.06,
5.633,-0.003,0.385,-0.067,
5.667,-0.003,0.384,-0.076,
5.7,-0.003,0.382,-0.083,
5.733,-0.004,0.381,-0.089,
5.767,-0.004,0.379,-0.096,
5.8,-0.004,0.378,-0.1,
5.833,-0.005,0.377,-0.104,
5.867,-0.005,0.376,-0.108,
5.9,-0.005,0.375,-0.111,
5.933,-0.006,0.375,-0.113,
5.967,-0.006,0.374,-0.115,
6,-0.007,0.374,-0.116,
6.033,-0.008,0.373,-0.117,
6.067,-0.009,0.373,-0.117,
6.1,-0.011,0.373,-0.117,
6.133,-0.014,0.373,-0.116,
6.167,-0.016,0.374,-0.114,
6.2,-0.019,0.374,-0.112,
6.233,-0.021,0.375,-0.109,
6.267,-0.023,0.376,-0.105,
6.3,-0.025,0.377,-0.101,
6.333,-0.028,0.378,-0.097,
6.367,-0.031,0.378,-0.094,
6.4,-0.034,0.379,-0.091,
6.433,-0.037,0.379,-0.089,
6.467,-0.041,0.379,-0.088,
6.5,-0.046,0.379,-0.087,
6.533,-0.051,0.378,-0.086,
6.567,-0.056,0.378,-0.086,
6.6,-0.062,0.377,-0.087,
6.633,-0.067,0.375,-0.088,
6.667,-0.072,0.374,-0.089,
6.7,-0.078,0.373,-0.09,
6.733,-0.083,0.371,-0.09,
6.767,-0.089,0.37,-0.091,
6.8,-0.095,0.368,-0.092,
6.833,-0.1,0.366,-0.093,
6.867,-0.105,0.365,-0.095,
6.9,-0.11,0.363,-0.097,
6.933,-0.114,0.361,-0.099,
6.967,-0.118,0.359,-0.101,
7,-0.121,0.357,-0.103,
7.033,-0.124,0.356,-0.104,
7.067,-0.126,0.355,-0.105,
7.1,-0.128,0.354,-0.106,
7.133,-0.13,0.353,-0.106,
7.167,-0.131,0.353,-0.105,
7.2,-0.131,0.353,-0.105,
7.233,-0.132,0.353,-0.104,
7.267,-0.132,0.353,-0.103,
7.3,-0.131,0.354,-0.102,
7.333,-0.13,0.354,-0.101,
7.367,-0.129,0.355,-0.099,
7.4,-0.127,0.356,-0.098,
7.433,-0.125,0.357,-0.097,
7.467,-0.123,0.359,-0.095,
7.5,-0.12,0.36,-0.093,
7.533,-0.117,0.361,-0.092,
7.567,-0.115,0.362,-0.09,
7.6,-0.112,0.364,-0.089,
7.633,-0.109,0.364,-0.089,
7.667,-0.105,0.365,-0.089,
7.7,-0.101,0.366,-0.091,
7.733,-0.098,0.367,-0.093,
7.767,-0.094,0.367,-0.095,
7.8,-0.091,0.367,-0.099,
7.833,-0.087,0.367,-0.102,
7.867,-0.083,0.367,-0.107,
7.9,-0.079,0.366,-0.111,
7.933,-0.076,0.365,-0.116,
7.967,-0.072,0.364,-0.122,
8,-0.069,0.363,-0.127,
8.033,-0.066,0.362,-0.132,
8.067,-0.064,0.36,-0.137,
8.1,-0.063,0.359,-0.142,
8.133,-0.061,0.357,-0.147,
8.167,-0.06,0.355,-0.153,
8.2,-0.059,0.352,-0.159,
8.233,-0.057,0.35,-0.165,
8.267,-0.056,0.347,-0.17,
8.3,-0.055,0.345,-0.175,
8.333,-0.055,0.343,-0.18,
8.367,-0.056,0.341,-0.184,
8.4,-0.056,0.338,-0.188,
8.433,-0.057,0.336,-0.192,
