Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,10.884,-5.459,-0.186
0.033,11.642,-5.407,-0.257
0.067,12.518,-5.34,-0.344
0.1,13.519,-5.309,-0.267
0.133,14.621,-5.297,-0.107
0.167,15.85,-5.269,0.063
0.2,17.279,-5.212,0.145
0.233,18.723,-5.086,0.115
0.267,20.131,-4.897,0.048
0.3,21.695,-4.685,0.033
0.333,23.166,-4.503,0.073
0.367,24.559,-4.301,0.121
0.4,25.631,-4.142,0.256
0.433,26.387,-4.04,0.436
0.467,26.994,-3.993,0.578
0.5,27.564,-4.007,0.713
0.533,28.074,-4.069,0.868
0.567,28.582,-4.141,1.021
0.6,29.137,-4.167,1.059
0.633,29.645,-4.116,1.007
0.667,30.163,-4.034,1.029
0.7,30.612,-3.896,1.103
0.733,30.826,-3.686,1.143
0.767,30.922,-3.504,1.195
0.8,31.226,-3.334,1.151
0.833,31.45,-3.147,1.034
0.867,31.431,-3.004,1.097
0.9,31.522,-2.921,1.195
0.933,31.821,-2.832,1.285
0.967,32.028,-2.694,1.308
1,32.287,-2.517,1.253
1.033,32.719,-2.299,1.191
1.067,33.112,-2.11,1.241
1.1,33.458,-1.95,1.325
1.133,33.708,-1.82,1.381
1.167,33.941,-1.718,1.356
1.2,34.214,-1.631,1.369
1.233,34.399,-1.56,1.375
1.267,34.508,-1.493,1.31
1.3,34.603,-1.425,1.235
1.333,34.643,-1.352,1.149
1.367,34.63,-1.274,1.07
1.4,34.602,-1.205,0.984
1.433,34.61,-1.165,0.891
1.467,34.628,-1.164,0.815
1.5,34.633,-1.161,0.711
1.533,34.589,-1.169,0.516
1.567,34.607,-1.162,0.346
1.6,34.717,-1.156,0.204
1.633,34.82,-1.158,0.126
1.667,34.842,-1.161,0.013
1.7,34.937,-1.143,-0.014
1.733,34.96,-1.105,-0.075
1.767,34.987,-1.064,-0.134
1.8,35.053,-1.041,-0.163
1.833,35.1,-1.021,-0.227
1.867,35.15,-1.001,-0.309
1.9,35.143,-0.994,-0.407
1.933,35.084,-0.975,-0.461
1.967,35.146,-0.94,-0.485
2,35.222,-0.916,-0.564
2.033,35.291,-0.908,-0.656
2.067,35.379,-0.891,-0.727
2.1,35.469,-0.872,-0.804
2.133,35.518,-0.853,-0.855
2.167,35.553,-0.846,-0.881
2.2,35.571,-0.845,-0.895
2.233,35.602,-0.846,-0.912
2.267,35.641,-0.843,-0.895
2.3,35.655,-0.847,-0.861
2.333,35.655,-0.856,-0.849
2.367,35.651,-0.852,-0.851
2.4,35.706,-0.832,-0.865
2.433,35.681,-0.804,-0.808
2.467,35.708,-0.781,-0.866
2.5,35.814,-0.735,-0.933
2.533,35.866,-0.68,-1.012
2.567,35.835,-0.62,-1.131
2.6,35.753,-0.62,-1.208
2.633,35.599,-0.681,-1.278
2.667,35.311,-0.768,-1.346
2.7,34.907,-0.869,-1.403
2.733,34.222,-1.013,-1.427
2.767,33.338,-1.166,-1.423
2.8,32.376,-1.312,-1.441
2.833,31.352,-1.505,-1.484
2.867,30.365,-1.738,-1.461
2.9,29.373,-1.999,-1.463
2.933,28.229,-2.3,-1.521
2.967,27.084,-2.642,-1.519
3,25.963,-3.017,-1.535
3.033,24.74,-3.381,-1.575
3.067,23.452,-3.729,-1.612
3.1,22.196,-4.015,-1.759
3.133,21.01,-4.271,-1.967
3.167,19.872,-4.53,-2.165
3.2,18.81,-4.735,-2.49
3.233,17.718,-4.895,-2.77
3.267,16.627,-4.999,-3.02
3.3,15.612,-5.063,-3.035
3.333,14.438,-5.073,-3.025
3.367,13.326,-5.047,-2.979
3.4,12.349,-5.055,-2.797
3.433,11.453,-5.067,-2.624
3.467,10.589,-5.029,-2.545
3.5,9.616,-4.983,-2.479
3.533,8.701,-4.987,-2.38
3.567,7.919,-5.052,-2.287
3.6,7.22,-5.087,-2.235
3.633,6.68,-5.05,-2.186
3.667,6.201,-4.979,-2.2
3.7,5.768,-4.909,-2.28
3.733,5.487,-4.811,-2.39
3.767,5.304,-4.67,-2.601
3.8,5.204,-4.514,-2.817
3.833,5.081,-4.332,-2.973
3.867,4.899,-4.144,-3.101
3.9,4.664,-3.983,-3.221
3.933,4.48,-3.866,-3.272
3.967,4.356,-3.787,-3.253
4,4.358,-3.714,-3.333
4.033,4.349,-3.652,-3.393
4.067,4.239,-3.607,-3.393
4.1,4.086,-3.561,-3.391
4.133,4.003,-3.536,-3.362
4.167,3.994,-3.552,-3.344
4.2,4.01,-3.561,-3.33
4.233,4.007,-3.551,-3.323
4.267,3.943,-3.533,-3.371
4.3,3.866,-3.529,-3.421
4.333,3.917,-3.543,-3.422
4.367,3.983,-3.535,-3.433
4.4,4.098,-3.514,-3.44
4.433,4.247,-3.497,-3.443
