Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0,0.391,0.005,
0.033,0,0.391,0.006,
0.067,0,0.391,0.007,
0.1,0.001,0.391,0.009,
0.133,0.001,0.391,0.01,
0.167,0.001,0.391,0.012,
0.2,0.001,0.391,0.014,
0.233,0.001,0.391,0.016,
0.267,0.001,0.39,0.018,
0.3,0.001,0.39,0.021,
0.333,0,0.39,0.024,
0.367,-0,0.389,0.027,
0.4,-0.001,0.389,0.031,
0.433,-0.002,0.388,0.035,
0.467,-0.002,0.387,0.038,
0.5,-0.003,0.386,0.042,
0.533,-0.003,0.385,0.046,
0.567,-0.004,0.384,0.05,
0.6,-0.004,0.384,0.053,
0.633,-0.004,0.383,0.057,
0.667,-0.005,0.382,0.06,
0.7,-0.005,0.381,0.064,
0.733,-0.006,0.38,0.067,
0.767,-0.006,0.379,0.07,
0.8,-0.007,0.379,0.073,
0.833,-0.007,0.378,0.076,
0.867,-0.008,0.377,0.079,
0.9,-0.008,0.376,0.082,
0.933,-0.009,0.376,0.084,
0.967,-0.009,0.375,0.086,
1,-0.009,0.375,0.087,
1.033,-0.009,0.374,0.088,
1.067,-0.008,0.374,0.089,
1.1,-0.008,0.374,0.089,
1.133,-0.008,0.374,0.089,
1.167,-0.007,0.374,0.089,
1.2,-0.007,0.374,0.088,
1.233,-0.007,0.375,0.087,
1.267,-0.006,0.375,0.085,
1.3,-0.006,0.376,0.083,
1.333,-0.006,0.376,0.081,
1.367,-0.005,0.377,0.078,
1.4,-0.005,0.378,0.075,
1.433,-0.004,0.379,0.072,
1.467,-0.004,0.38,0.068,
1.5,-0.003,0.381,0.064,
1.533,-0.002,0.382,0.059,
1.567,-0.002,0.383,0.055,
1.6,-0.001,0.384,0.051,
1.633,-0.001,0.384,0.047,
1.667,-0.001,0.385,0.044,
1.7,-0,0.386,0.041,
1.733,0,0.386,0.037,
1.767,0,0.387,0.034,
1.8,0.001,0.387,0.031,
1.833,0.001,0.388,0.028,
1.867,0.002,0.388,0.025,
1.9,0.002,0.389,0.022,
1.933,0.002,0.389,0.019,
1.967,0.002,0.389,0.017,
2,0.002,0.39,0.014,
2.033,0.002,0.39,0.012,
2.067,0.001,0.39,0.01,
2.1,0,0.39,0.008,
2.133,0,0.391,0.006,
2.167,-0,0.391,0.004,
2.2,-0.001,0.391,0.002,
2.233,-0.001,0.391,0,
2.267,-0.001,0.391,-0.002,
2.3,-0.001,0.391,-0.003,
2.333,-0.001,0.391,-0.005,
2.367,-0.002,0.391,-0.006,
2.4,-0.002,0.391,-0.007,
2.433,-0.002,0.391,-0.008,
2.467,-0.002,0.391,-0.008,
2.5,-0.003,0.391,-0.009,
2.533,-0.003,0.391,-0.01,
2.567,-0.003,0.391,-0.01,
2.6,-0.003,0.391,-0.011,
2.633,-0.003,0.391,-0.011,
2.667,-0.002,0.391,-0.012,
2.7,-0.002,0.391,-0.013,
2.733,-0.002,0.391,-0.013,
2.767,-0.002,0.391,-0.014,
2.8,-0.002,0.391,-0.014,
2.833,-0.001,0.391,-0.015,
2.867,-0.001,0.391,-0.015,
2.9,-0,0.391,-0.016,
2.933,-0,0.391,-0.017,
2.967,-0,0.391,-0.017,
3,0,0.391,-0.017,
3.033,0,0.391,-0.017,
3.067,0,0.391,-0.017,
3.1,0,0.391,-0.017,
3.133,0,0.391,-0.017,
3.167,0,0.391,-0.017,
3.2,0,0.391,-0.017,
3.233,-0,0.391,-0.016,
3.267,-0,0.391,-0.015,
3.3,-0,0.391,-0.014,
3.333,-0,0.391,-0.012,
3.367,-0,0.391,-0.009,
3.4,-0,0.391,-0.007,
3.433,-0,0.391,-0.005,
3.467,-0,0.391,-0.002,
3.5,-0,0.391,0.001,
3.533,0,0.391,0.005,
3.567,0,0.391,0.01,
3.6,0.001,0.39,0.016,
3.633,0.001,0.39,0.022,
3.667,0,0.389,0.027,
3.7,-0,0.388,0.033,
3.733,-0.001,0.387,0.039,
3.767,-0.002,0.386,0.045,
3.8,-0.002,0.385,0.05,
3.833,-0.003,0.384,0.055,
3.867,-0.003,0.383,0.06,
3.9,-0.004,0.382,0.065,
3.933,-0.005,0.381,0.069,
3.967,-0.005,0.38,0.073,
4,-0.006,0.379,0.076,
4.033,-0.006,0.379,0.079,
4.067,-0.007,0.378,0.081,
4.1,-0.007,0.378,0.082,
4.133,-0.007,0.377,0.083,
4.167,-0.007,0.377,0.085,
4.2,-0.007,0.376,0.087,
4.233,-0.007,0.376,0.089,
4.267,-0.007,0.375,0.09,
4.3,-0.007,0.375,0.092,
4.333,-0.007,0.374,0.093,
4.367,-0.006,0.374,0.094,
4.4,-0.006,0.374,0.095,
4.433,-0.006,0.373,0.096,
4.467,-0.006,0.373,0.097,
4.5,-0.006,0.373,0.098,
4.533,-0.005,0.373,0.099,
4.567,-0.005,0.372,0.099,
4.6,-0.005,0.372,0.1,
4.633,-0.006,0.372,0.1,
4.667,-0.006,0.372,0.1,
4.7,-0.006,0.372,0.099,
4.733,-0.006,0.372,0.098,
4.767,-0.006,0.372,0.098,
4.8,-0.006,0.373,0.097,
4.833,-0.006,0.373,0.096,
4.867,-0.006,0.373,0.096,
4.9,-0.006,0.374,0.095,
4.933,-0.006,0.374,0.094,
4.967,-0.005,0.375,0.092,
5,-0.005,0.376,0.091,
5.033,-0.004,0.376,0.089,
5.067,-0.004,0.377,0.087,
5.1,-0.003,0.378,0.085,
5.133,-0.003,0.378,0.083,
5.167,-0.002,0.379,0.082,
5.2,-0.002,0.38,0.079,
5.233,-0.001,0.381,0.077,
5.267,-0,0.381,0.074,
5.3,0,0.382,0.071,
5.333,0.001,0.383,0.068,
5.367,0.002,0.384,0.065,
5.4,0.003,0.385,0.061,
5.433,0.004,0.385,0.058,
5.467,0.005,0.386,0.055,
5.5,0.005,0.387,0.052,
5.533,0.006,0.387,0.049,
5.567,0.006,0.388,0.045,
5.6,0.006,0.388,0.041,
5.633,0.006,0.389,0.037,
5.667,0.006,0.389,0.033,
5.7,0.006,0.39,0.03,
5.733,0.006,0.39,0.028,
5.767,0.006,0.39,0.025,
5.8,0.006,0.391,0.023,
5.833,0.006,0.391,0.021,
5.867,0.006,0.391,0.019,
5.9,0.006,0.391,0.017,
5.933,0.005,0.391,0.016,
5.967,0.005,0.391,0.014,
6,0.005,0.391,0.013,
6.033,0.004,0.391,0.012,
6.067,0.004,0.391,0.011,
6.1,0.005,0.392,0.01,
6.133,0.005,0.392,0.009,
6.167,0.004,0.392,0.008,
6.2,0.004,0.392,0.007,
6.233,0.004,0.392,0.006,
6.267,0.004,0.392,0.006,
6.3,0.004,0.392,0.005,
6.333,0.004,0.392,0.004,
6.367,0.004,0.392,0.004,
6.4,0.004,0.392,0.003,
6.433,0.004,0.392,0.003,
6.467,0.003,0.392,0.002,
6.5,0.003,0.392,0.001,
6.533,0.003,0.392,0.001,
6.567,0.003,0.392,0,
6.6,0.003,0.392,0,
6.633,0.003,0.392,0,
6.667,0.003,0.392,-0,
6.7,0.003,0.392,-0.001,
6.733,0.003,0.392,-0.001,
6.767,0.003,0.392,-0.001,
6.8,0.003,0.392,-0.002,
6.833,0.002,0.392,-0.002,
6.867,0.002,0.392,-0.002,
6.9,0.002,0.392,-0.002,
6.933,0.002,0.392,-0.003,
6.967,0.002,0.392,-0.003,
7,0.002,0.392,-0.003,
7.033,0.002,0.392,-0.003,
7.067,0.002,0.392,-0.003,
