Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.002,0.488,0.021,
0.033,0.002,0.488,0.022,
0.067,0.002,0.488,0.023,
0.1,0.003,0.487,0.025,
0.133,0.003,0.487,0.027,
0.167,0.003,0.487,0.029,
0.2,0.003,0.487,0.032,
0.233,0.003,0.486,0.036,
0.267,0.002,0.486,0.04,
0.3,0.002,0.485,0.044,
0.333,0.001,0.484,0.049,
0.367,0.001,0.483,0.054,
0.4,-0,0.482,0.061,
0.433,-0.002,0.48,0.068,
0.467,-0.003,0.478,0.075,
0.5,-0.004,0.476,0.081,
0.533,-0.004,0.474,0.088,
0.567,-0.005,0.471,0.095,
0.6,-0.006,0.469,0.1,
0.633,-0.006,0.468,0.106,
0.667,-0.006,0.465,0.111,
0.7,-0.007,0.463,0.117,
0.733,-0.008,0.462,0.121,
0.767,-0.009,0.46,0.125,
0.8,-0.01,0.459,0.129,
0.833,-0.011,0.457,0.134,
0.867,-0.012,0.455,0.138,
0.9,-0.013,0.454,0.141,
0.933,-0.013,0.453,0.144,
0.967,-0.014,0.452,0.147,
1,-0.014,0.451,0.148,
1.033,-0.014,0.451,0.15,
1.067,-0.014,0.45,0.15,
1.1,-0.013,0.45,0.151,
1.133,-0.013,0.45,0.151,
1.167,-0.012,0.45,0.151,
1.2,-0.012,0.45,0.15,
1.233,-0.011,0.451,0.149,
1.267,-0.011,0.451,0.146,
1.3,-0.01,0.452,0.144,
1.333,-0.009,0.454,0.141,
1.367,-0.009,0.455,0.137,
1.4,-0.008,0.457,0.133,
1.433,-0.007,0.459,0.128,
1.467,-0.006,0.461,0.123,
1.5,-0.005,0.463,0.117,
1.533,-0.004,0.465,0.11,
1.567,-0.003,0.467,0.104,
1.6,-0.002,0.469,0.098,
1.633,-0.002,0.471,0.093,
1.667,-0.001,0.473,0.088,
1.7,-0,0.474,0.083,
1.733,-0,0.476,0.078,
1.767,0,0.477,0.072,
1.8,0.001,0.478,0.067,
1.833,0.002,0.48,0.062,
1.867,0.003,0.481,0.057,
1.9,0.004,0.482,0.053,
1.933,0.004,0.483,0.048,
1.967,0.004,0.483,0.044,
2,0.004,0.484,0.04,
2.033,0.004,0.485,0.036,
2.067,0.003,0.485,0.032,
2.1,0.002,0.486,0.03,
2.133,0.001,0.486,0.026,
2.167,0.001,0.487,0.023,
2.2,0.001,0.487,0.019,
2.233,0.001,0.487,0.016,
2.267,0.001,0.488,0.014,
2.3,0.001,0.488,0.012,
2.333,0,0.488,0.009,
2.367,-0,0.488,0.008,
2.4,-0.001,0.488,0.006,
2.433,-0.001,0.488,0.005,
2.467,-0.001,0.488,0.004,
2.5,-0.002,0.488,0.003,
2.533,-0.002,0.488,0.002,
2.567,-0.002,0.488,0.001,
2.6,-0.002,0.488,0,
2.633,-0.002,0.488,-0,
2.667,-0.001,0.488,-0.001,
2.7,-0.001,0.488,-0.002,
2.733,-0.001,0.488,-0.003,
2.767,-0,0.488,-0.004,
2.8,-0,0.488,-0.005,
2.833,0,0.488,-0.006,
2.867,0.001,0.488,-0.007,
2.9,0.002,0.488,-0.008,
2.933,0.002,0.488,-0.008,
2.967,0.002,0.488,-0.008,
3,0.003,0.488,-0.008,
3.033,0.003,0.488,-0.008,
3.067,0.003,0.488,-0.008,
3.1,0.003,0.488,-0.008,
3.133,0.002,0.488,-0.008,
3.167,0.002,0.488,-0.008,
3.2,0.002,0.488,-0.008,
3.233,0.002,0.488,-0.007,
3.267,0.002,0.488,-0.006,
3.3,0.002,0.488,-0.004,
3.333,0.002,0.488,-0.001,
3.367,0.002,0.488,0.002,
3.4,0.002,0.488,0.004,
3.433,0.002,0.488,0.008,
3.467,0.002,0.488,0.012,
3.5,0.001,0.488,0.016,
3.533,0.002,0.487,0.022,
3.567,0.002,0.486,0.03,
3.6,0.002,0.485,0.039,
3.633,0.001,0.484,0.048,
3.667,0,0.482,0.057,
3.7,-0.001,0.48,0.066,
3.733,-0.002,0.479,0.075,
3.767,-0.003,0.476,0.083,
3.8,-0.005,0.474,0.091,
3.833,-0.006,0.472,0.099,
3.867,-0.006,0.47,0.106,
3.9,-0.007,0.468,0.112,
3.933,-0.008,0.466,0.118,
3.967,-0.01,0.464,0.124,
4,-0.01,0.462,0.129,
4.033,-0.011,0.46,0.133,
4.067,-0.012,0.459,0.136,
4.1,-0.012,0.458,0.138,
4.133,-0.012,0.458,0.139,
4.167,-0.012,0.457,0.142,
4.2,-0.013,0.456,0.144,
4.233,-0.013,0.455,0.147,
