Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.002,0.229,-0.008,
0.033,-0.002,0.229,-0.007,
0.067,-0.002,0.229,-0.007,
0.1,-0.001,0.229,-0.006,
0.133,-0.001,0.229,-0.005,
0.167,-0.001,0.229,-0.004,
0.2,-0.001,0.229,-0.003,
0.233,-0.001,0.229,-0.003,
0.267,-0.001,0.229,-0.002,
0.3,-0.001,0.229,-0.001,
0.333,-0.001,0.229,-0,
0.367,-0.001,0.229,0,
0.4,-0.001,0.229,0.001,
0.433,-0.002,0.229,0.002,
0.467,-0.002,0.229,0.002,
0.5,-0.003,0.229,0.002,
0.533,-0.003,0.228,0.003,
0.567,-0.003,0.228,0.004,
0.6,-0.003,0.228,0.005,
0.633,-0.003,0.228,0.006,
0.667,-0.003,0.228,0.008,
0.7,-0.004,0.228,0.009,
0.733,-0.004,0.228,0.01,
0.767,-0.004,0.228,0.011,
0.8,-0.004,0.228,0.013,
0.833,-0.004,0.227,0.014,
0.867,-0.004,0.227,0.016,
0.9,-0.004,0.227,0.017,
0.933,-0.004,0.227,0.018,
0.967,-0.004,0.227,0.019,
1,-0.004,0.227,0.019,
1.033,-0.004,0.227,0.02,
1.067,-0.004,0.227,0.02,
1.1,-0.003,0.227,0.02,
1.133,-0.003,0.227,0.02,
1.167,-0.003,0.227,0.02,
1.2,-0.003,0.227,0.02,
1.233,-0.003,0.227,0.019,
1.267,-0.003,0.227,0.018,
1.3,-0.003,0.227,0.017,
1.333,-0.003,0.227,0.016,
1.367,-0.003,0.227,0.015,
1.4,-0.003,0.228,0.013,
1.433,-0.003,0.228,0.012,
1.467,-0.002,0.228,0.01,
1.5,-0.002,0.228,0.008,
1.533,-0.002,0.228,0.006,
1.567,-0.002,0.228,0.004,
1.6,-0.002,0.228,0.003,
1.633,-0.001,0.228,0.001,
1.667,-0.001,0.228,0,
1.7,-0.001,0.228,-0.001,
1.733,-0.001,0.228,-0.002,
1.767,-0.001,0.229,-0.003,
1.8,-0.001,0.229,-0.004,
1.833,-0.001,0.229,-0.005,
1.867,-0.001,0.229,-0.006,
1.9,-0.001,0.229,-0.006,
1.933,-0.001,0.229,-0.007,
1.967,-0.001,0.229,-0.008,
2,-0.001,0.229,-0.008,
2.033,-0.001,0.229,-0.009,
2.067,-0.001,0.229,-0.009,
2.1,-0.001,0.229,-0.01,
2.133,-0.002,0.229,-0.01,
2.167,-0.002,0.229,-0.011,
2.2,-0.002,0.229,-0.012,
2.233,-0.002,0.229,-0.012,
2.267,-0.002,0.229,-0.013,
2.3,-0.002,0.229,-0.013,
2.333,-0.003,0.229,-0.014,
2.367,-0.003,0.229,-0.014,
2.4,-0.003,0.229,-0.015,
2.433,-0.003,0.229,-0.015,
2.467,-0.003,0.229,-0.016,
2.5,-0.003,0.228,-0.016,
2.533,-0.003,0.228,-0.016,
2.567,-0.003,0.228,-0.017,
2.6,-0.003,0.228,-0.017,
2.633,-0.003,0.228,-0.017,
2.667,-0.003,0.228,-0.017,
2.7,-0.003,0.228,-0.018,
2.733,-0.003,0.228,-0.018,
2.767,-0.003,0.228,-0.018,
2.8,-0.003,0.228,-0.018,
2.833,-0.003,0.228,-0.018,
2.867,-0.003,0.228,-0.018,
2.9,-0.002,0.228,-0.019,
2.933,-0.002,0.228,-0.019,
2.967,-0.002,0.228,-0.019,
3,-0.002,0.228,-0.019,
3.033,-0.002,0.228,-0.019,
3.067,-0.002,0.228,-0.019,
3.1,-0.002,0.228,-0.02,
3.133,-0.002,0.228,-0.02,
3.167,-0.002,0.228,-0.019,
3.2,-0.002,0.228,-0.019,
3.233,-0.002,0.228,-0.019,
3.267,-0.002,0.228,-0.019,
3.3,-0.002,0.228,-0.018,
3.333,-0.002,0.228,-0.017,
3.367,-0.002,0.229,-0.015,
3.4,-0.002,0.229,-0.014,
3.433,-0.002,0.229,-0.013,
3.467,-0.002,0.229,-0.012,
3.5,-0.002,0.229,-0.011,
3.533,-0.001,0.229,-0.009,
3.567,-0.001,0.229,-0.007,
3.6,-0.001,0.229,-0.005,
3.633,-0,0.229,-0.003,
3.667,-0,0.229,-0.001,
3.7,-0,0.229,0.001,
3.733,-0.001,0.229,0.003,
3.767,-0.001,0.229,0.005,
3.8,-0.001,0.228,0.007,
3.833,-0.001,0.228,0.009,
3.867,-0.001,0.228,0.011,
3.9,-0.001,0.228,0.013,
3.933,-0.002,0.228,0.015,
3.967,-0.002,0.228,0.017,
4,-0.002,0.228,0.018,
4.033,-0.002,0.227,0.019,
4.067,-0.003,0.227,0.02,
4.1,-0.003,0.227,0.021,
4.133,-0.002,0.227,0.021,
4.167,-0.002,0.227,0.022,
4.2,-0.002,0.227,0.023,
4.233,-0.002,0.227,0.024,
4.267,-0.002,0.227,0.024,
4.3,-0.001,0.227,0.025,
4.333,-0.001,0.227,0.025,
4.367,-0.001,0.227,0.026,
4.4,-0.001,0.226,0.027,
4.433,-0.001,0.226,0.027,
4.467,-0.001,0.226,0.028,
4.5,-0.001,0.226,0.028,
4.533,-0.001,0.226,0.028,
4.567,-0.001,0.226,0.028,
4.6,-0.001,0.226,0.028,
4.633,-0.001,0.226,0.028,
4.667,-0.001,0.226,0.028,
4.7,-0.001,0.226,0.027,
4.733,-0.001,0.226,0.027,
4.767,-0.001,0.226,0.026,
4.8,-0.001,0.226,0.026,
4.833,-0.001,0.226,0.026,
4.867,-0.001,0.226,0.026,
4.9,-0.001,0.226,0.026,
4.933,-0.001,0.227,0.026,
4.967,-0.001,0.227,0.026,
5,-0,0.227,0.025,
5.033,-0,0.227,0.025,
5.067,0,0.227,0.025,
5.1,0,0.227,0.025,
5.133,0.001,0.227,0.024,
5.167,0.001,0.227,0.024,
5.2,0.001,0.227,0.023,
5.233,0.001,0.227,0.022,
5.267,0.001,0.228,0.021,
5.3,0.002,0.228,0.02,
5.333,0.002,0.228,0.019,
5.367,0.002,0.228,0.019,
5.4,0.002,0.228,0.018,
5.433,0.003,0.228,0.016,
5.467,0.003,0.228,0.015,
5.5,0.003,0.228,0.014,
5.533,0.003,0.229,0.013,
5.567,0.003,0.229,0.011,
5.6,0.003,0.229,0.01,
5.633,0.002,0.229,0.008,
5.667,0.002,0.229,0.007,
5.7,0.002,0.229,0.006,
5.733,0.002,0.229,0.006,
5.767,0.002,0.229,0.005,
5.8,0.002,0.229,0.005,
5.833,0.002,0.229,0.004,
5.867,0.002,0.229,0.004,
5.9,0.002,0.229,0.003,
5.933,0.002,0.229,0.002,
5.967,0.002,0.229,0.002,
6,0.002,0.229,0.002,
6.033,0.002,0.229,0.001,
6.067,0.002,0.229,0.001,
6.1,0.002,0.229,0.001,
6.133,0.002,0.229,0.001,
6.167,0.002,0.229,0.001,
6.2,0.002,0.229,0,
6.233,0.002,0.229,-0,
6.267,0.002,0.229,-0,
6.3,0.002,0.229,-0,
6.333,0.002,0.229,-0.001,
6.367,0.002,0.229,-0.001,
6.4,0.002,0.229,-0.001,
6.433,0.002,0.229,-0.002,
6.467,0.001,0.229,-0.002,
6.5,0.001,0.229,-0.003,
6.533,0.001,0.229,-0.003,
6.567,0.001,0.229,-0.003,
6.6,0.001,0.229,-0.004,
6.633,0.001,0.229,-0.004,
6.667,0.001,0.229,-0.004,
6.7,0.001,0.229,-0.005,
6.733,0.001,0.229,-0.005,
6.767,0.001,0.229,-0.005,
6.8,0.001,0.229,-0.006,
6.833,0.001,0.229,-0.006,
6.867,0.001,0.229,-0.007,
6.9,0.001,0.229,-0.007,
6.933,0.001,0.229,-0.007,
6.967,0.001,0.229,-0.007,
7,0.001,0.229,-0.008,
7.033,0.001,0.229,-0.008,
7.067,0,0.229,-0.008,
7.1,0,0.229,-0.008,
7.133,0,0.229,-0.008,
7.167,0,0.229,-0.009,
7.2,0,0.229,-0.009,
7.233,0.001,0.229,-0.008,
7.267,0.001,0.229,-0.008,
7.3,0.001,0.229,-0.008,
7.333,0.001,0.229,-0.008,
7.367,0.001,0.229,-0.008,
7.4,0.001,0.229,-0.008,
7.433,0.001,0.229,-0.007,
7.467,0.001,0.229,-0.007,
7.5,0.001,0.229,-0.007,
7.533,0.001,0.229,-0.006,
7.567,0.001,0.229,-0.006,
7.6,0.001,0.229,-0.006,
7.633,0.001,0.229,-0.005,
7.667,0.001,0.229,-0.005,
7.7,0.002,0.229,-0.005,
7.733,0.002,0.229,-0.004,
7.767,0.002,0.229,-0.004,
7.8,0.001,0.229,-0.004,
7.833,0.002,0.229,-0.004,
7.867,0.002,0.229,-0.003,
7.9,0.002,0.229,-0.002,
7.933,0.002,0.229,-0,
7.967,0.002,0.229,0.001,
8,0.002,0.229,0.002,
8.033,0.002,0.229,0.003,
8.067,0.002,0.229,0.004,
