Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,12.18,-0.466,-2.897,
0.033,12.404,-0.393,-2.967,
0.067,12.742,-0.276,-3.077,
0.1,13.17,-0.151,-3.201,
0.133,13.684,-0.021,-3.356,
0.167,14.29,0.115,-3.528,
0.2,14.977,0.233,-3.697,
0.233,15.718,0.335,-3.874,
0.267,16.52,0.412,-4.007,
0.3,17.408,0.49,-4.131,
0.333,18.369,0.571,-4.209,
0.367,19.342,0.63,-4.26,
0.4,20.208,0.69,-4.154,
0.433,21.177,0.737,-4.14,
0.467,21.912,0.806,-4.057,
0.5,22.365,0.857,-3.867,
0.533,22.675,0.928,-3.804,
0.567,22.868,1.001,-3.752,
0.6,23.051,1.061,-3.66,
0.633,23.348,1.119,-3.579,
0.667,23.943,1.214,-3.545,
0.7,24.887,1.329,-3.543,
0.733,25.856,1.455,-3.507,
0.767,26.966,1.634,-3.505,
0.8,28.211,1.863,-3.513,
0.833,29.864,2.029,-3.505,
0.867,32.222,2.146,-3.602,
0.9,34.188,2.262,-3.621,
0.933,35.634,2.371,-3.561,
0.967,36.748,2.422,-3.527,
1,37.608,2.42,-3.519,
1.033,38.226,2.41,-3.509,
1.067,38.745,2.412,-3.495,
1.1,39.222,2.439,-3.5,
1.133,39.651,2.486,-3.511,
1.167,40.084,2.539,-3.558,
1.2,40.499,2.603,-3.627,
1.233,40.864,2.672,-3.696,
1.267,41.096,2.739,-3.685,
1.3,41.251,2.783,-3.698,
1.333,41.369,2.845,-3.684,
1.367,41.523,2.893,-3.679,
1.4,41.64,2.912,-3.679,
1.433,41.647,2.887,-3.675,
1.467,41.516,2.826,-3.661,
1.5,41.359,2.753,-3.652,
1.533,41.216,2.714,-3.647,
1.567,40.978,2.709,-3.585,
1.6,40.713,2.719,-3.526,
1.633,40.493,2.71,-3.475,
1.667,40.32,2.687,-3.442,
1.7,40.13,2.664,-3.405,
1.733,39.891,2.636,-3.362,
1.767,39.558,2.612,-3.343,
1.8,39.08,2.569,-3.298,
1.833,38.514,2.455,-3.216,
1.867,37.969,2.311,-3.046,
1.9,37.341,2.228,-2.889,
1.933,36.616,2.215,-2.79,
1.967,35.792,2.194,-2.679,
2,34.882,2.134,-2.518,
2.033,33.979,2.088,-2.373,
2.067,33.162,2.031,-2.227,
2.1,32.258,1.958,-2.049,
2.133,31.392,1.866,-1.978,
2.167,30.545,1.794,-1.857,
2.2,29.675,1.744,-1.76,
2.233,28.85,1.711,-1.748,
2.267,28.097,1.657,-1.723,
2.3,27.307,1.587,-1.728,
2.333,26.464,1.492,-1.728,
2.367,25.568,1.373,-1.819,
2.4,24.699,1.213,-1.945,
2.433,23.919,1.001,-2.004,
2.467,23.119,0.776,-2.043,
2.5,22.252,0.578,-2.187,
2.533,21.193,0.394,-2.409,
2.567,19.963,0.208,-2.652,
2.6,18.628,0.014,-2.862,
2.633,17.405,-0.164,-3.074,
2.667,16.257,-0.332,-3.271,
2.7,15.103,-0.514,-3.477,
2.733,13.988,-0.653,-3.694,
2.767,12.874,-0.754,-3.875,
2.8,11.691,-0.88,-3.928,
2.833,10.565,-1.028,-3.973,
2.867,9.396,-1.156,-3.929,
2.9,8.486,-1.289,-3.967,
2.933,7.648,-1.433,-3.937,
2.967,6.787,-1.597,-3.851,
3,5.878,-1.726,-3.814,
3.033,5.105,-1.835,-3.777,
3.067,4.48,-1.966,-3.748,
3.1,3.933,-2.097,-3.73,
3.133,3.429,-2.201,-3.725,
3.167,3.011,-2.286,-3.769,
3.2,2.653,-2.36,-3.8,
3.233,2.287,-2.401,-3.861,
3.267,1.892,-2.388,-3.995,
3.3,1.596,-2.389,-4.075,
3.333,1.362,-2.392,-4.165,
3.367,1.199,-2.423,-4.161,
3.4,1.284,-2.636,-4.077,
3.433,1.46,-2.87,-3.927,
3.467,1.483,-2.95,-3.919,
3.5,1.418,-2.984,-4.012,
3.533,1.239,-3.017,-4.093,
3.567,0.919,-3.055,-4.113,
3.6,0.579,-3.049,-4.106,
3.633,0.352,-2.995,-4.208,
3.667,0.371,-2.962,-4.406,
3.7,0.234,-2.923,-4.611,
3.733,-0.03,-2.93,-4.674,
3.767,-0.327,-2.973,-4.731,
3.8,-0.658,-3.007,-4.818,
3.833,-1.025,-3.039,-4.888,
3.867,-1.457,-3.105,-4.926,
3.9,-1.976,-3.211,-4.893,
3.933,-2.53,-3.309,-4.894,
3.967,-3.024,-3.418,-4.964,
4,-3.408,-3.542,-5.037,
4.033,-3.753,-3.645,-5.104,
4.067,-4.025,-3.733,-5.173,
4.1,-4.288,-3.784,-5.247,
4.133,-4.525,-3.81,-5.32,
4.167,-4.747,-3.851,-5.363,
4.2,-4.993,-3.929,-5.373,
4.233,-5.276,-4.009,-5.382,
