Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,0.037,-0.269,-1.364,
0.033,0.01,-0.265,-1.351,
0.067,-0.021,-0.261,-1.334,
0.1,-0.049,-0.257,-1.317,
0.133,-0.068,-0.256,-1.302,
0.167,-0.103,-0.252,-1.292,
0.2,-0.147,-0.241,-1.282,
0.233,-0.186,-0.235,-1.27,
0.267,-0.236,-0.231,-1.254,
0.3,-0.293,-0.227,-1.244,
0.333,-0.34,-0.224,-1.241,
0.367,-0.37,-0.224,-1.244,
0.4,-0.421,-0.214,-1.218,
0.433,-0.506,-0.201,-1.18,
0.467,-0.593,-0.197,-1.19,
0.5,-0.643,-0.198,-1.212,
0.533,-0.66,-0.194,-1.202,
0.567,-0.673,-0.184,-1.175,
0.6,-0.692,-0.174,-1.158,
0.633,-0.694,-0.164,-1.154,
0.667,-0.681,-0.158,-1.149,
0.7,-0.682,-0.153,-1.143,
0.733,-0.678,-0.156,-1.138,
0.767,-0.645,-0.159,-1.135,
0.8,-0.601,-0.164,-1.121,
0.833,-0.576,-0.169,-1.109,
0.867,-0.575,-0.169,-1.112,
0.9,-0.62,-0.169,-1.111,
0.933,-0.667,-0.171,-1.085,
0.967,-0.762,-0.169,-0.929,
1,-0.909,-0.158,-0.716,
1.033,-1.079,-0.135,-0.56,
1.067,-1.213,-0.123,-0.43,
1.1,-1.302,-0.106,-0.32,
1.133,-1.344,-0.075,-0.231,
1.167,-1.338,-0.047,-0.186,
1.2,-1.336,-0.042,-0.15,
1.233,-1.375,-0.052,-0.116,
1.267,-1.433,-0.056,-0.083,
1.3,-1.542,-0.041,-0.015,
1.333,-1.678,-0.016,0.033,
1.367,-1.807,-0.006,0.061,
1.4,-1.934,0.002,0.108,
1.433,-2.092,0.026,0.143,
1.467,-2.304,0.064,0.168,
1.5,-2.537,0.11,0.202,
1.533,-2.762,0.161,0.249,
1.567,-2.912,0.209,0.25,
1.6,-2.981,0.244,0.213,
1.633,-3.012,0.268,0.205,
1.667,-2.972,0.279,0.193,
1.7,-2.793,0.265,0.138,
1.733,-2.513,0.228,0.079,
1.767,-2.257,0.201,0.067,
1.8,-2.023,0.176,0.068,
1.833,-1.802,0.15,0.04,
1.867,-1.615,0.129,0.026,
1.9,-1.473,0.111,0.025,
1.933,-1.329,0.09,0.002,
1.967,-1.167,0.068,-0.044,
2,-0.997,0.043,-0.077,
2.033,-0.839,0.014,-0.076,
2.067,-0.733,0.014,-0.077,
2.1,-0.73,0.047,-0.077,
2.133,-0.772,0.063,-0.1,
2.167,-0.76,0.078,-0.126,
2.2,-0.74,0.094,-0.132,
2.233,-0.756,0.116,-0.179,
2.267,-0.733,0.143,-0.248,
2.3,-0.624,0.161,-0.305,
2.333,-0.471,0.167,-0.346,
2.367,-0.36,0.189,-0.406,
2.4,-0.249,0.202,-0.458,
2.433,-0.107,0.193,-0.503,
2.467,0.011,0.177,-0.568,
2.5,0.102,0.157,-0.621,
2.533,0.236,0.118,-0.688,
2.567,0.375,0.064,-0.782,
2.6,0.51,-0.003,-0.891,
2.633,0.717,-0.096,-0.978,
2.667,0.967,-0.199,-1.036,
2.7,1.198,-0.301,-1.109,
2.733,1.426,-0.396,-1.177,
2.767,1.699,-0.496,-1.218,
2.8,1.96,-0.586,-1.249,
2.833,2.199,-0.661,-1.264,
2.867,2.452,-0.739,-1.295,
2.9,2.722,-0.818,-1.346,
2.933,2.983,-0.889,-1.373,
2.967,3.188,-0.951,-1.365,
3,3.364,-0.994,-1.323,
3.033,3.49,-1.006,-1.268,
3.067,3.552,-1.003,-1.243,
3.1,3.59,-0.999,-1.219,
3.133,3.62,-0.99,-1.179,
3.167,3.639,-0.977,-1.142,
3.2,3.611,-0.96,-1.115,
3.233,3.573,-0.95,-1.088,
3.267,3.515,-0.933,-1.066,
3.3,3.493,-0.913,-1.044,
3.333,3.451,-0.893,-1.03,
3.367,3.401,-0.885,-1.025,
3.4,3.351,-0.869,-1.011,
3.433,3.32,-0.853,-0.986,
3.467,3.264,-0.838,-0.97,
3.5,3.205,-0.828,-0.947,
3.533,3.177,-0.821,-0.913,
3.567,3.164,-0.813,-0.877,
3.6,3.137,-0.797,-0.841,
3.633,3.101,-0.781,-0.808,
3.667,3.053,-0.762,-0.787,
3.7,3.004,-0.743,-0.779,
3.733,2.945,-0.72,-0.781,
3.767,2.881,-0.705,-0.775,
3.8,2.841,-0.695,-0.8,
3.833,2.759,-0.679,-0.839,
3.867,2.693,-0.663,-0.882,
3.9,2.708,-0.671,-0.937,
3.933,2.795,-0.701,-0.986,
3.967,3.009,-0.764,-1.009,
4,3.371,-0.866,-1.019,
4.033,3.76,-0.976,-1.01,
4.067,4.033,-1.032,-0.997,
4.1,4.165,-1.038,-0.974,
4.133,4.291,-1.069,-0.973,
4.167,4.483,-1.128,-0.974,
4.2,4.629,-1.188,-0.923,
4.233,4.672,-1.222,-0.862,
4.267,4.722,-1.266,-0.779,
4.3,4.805,-1.29,-0.723,
