Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-0.664,-5.779,-5.749
0.033,-0.915,-6.522,-6.004
0.067,-1.318,-7.529,-6.179
0.1,-1.471,-8.744,-6.171
0.133,-1.507,-10.064,-6.093
0.167,-1.605,-11.362,-5.923
0.2,-1.703,-12.602,-5.777
0.233,-1.692,-13.83,-5.742
0.267,-1.647,-15.028,-5.844
0.3,-1.697,-16.211,-6.058
0.333,-1.638,-17.439,-6.359
0.367,-1.476,-18.737,-6.566
0.4,-1.307,-20.069,-6.638
0.433,-1.186,-21.326,-6.625
0.467,-1.25,-22.475,-6.561
0.5,-1.684,-23.491,-6.501
0.533,-2.234,-24.354,-6.616
0.567,-2.395,-25.14,-6.845
0.6,-2.569,-25.997,-6.925
0.633,-3.081,-26.976,-7.003
0.667,-3.689,-28.052,-7.122
0.7,-4.304,-29.179,-7.121
0.733,-4.974,-30.31,-7.065
0.767,-5.918,-31.336,-6.996
0.8,-6.854,-32.361,-6.878
0.833,-7.953,-33.405,-6.64
0.867,-8.963,-34.298,-6.411
0.9,-9.682,-34.921,-6.512
0.933,-10.308,-35.465,-6.549
0.967,-10.772,-35.98,-6.452
1,-11.21,-36.35,-6.17
1.033,-11.613,-36.647,-5.88
1.067,-12.027,-36.917,-5.783
1.1,-12.638,-37.228,-5.86
1.133,-13.032,-37.382,-5.822
1.167,-13.32,-37.461,-5.74
1.2,-13.572,-37.52,-5.722
1.233,-13.692,-37.539,-5.718
1.267,-13.761,-37.498,-5.752
1.3,-13.803,-37.356,-5.724
1.333,-13.836,-37.081,-5.619
1.367,-13.771,-36.611,-5.393
1.4,-13.636,-35.961,-5.31
1.433,-13.232,-35.069,-5.451
1.467,-12.581,-33.898,-5.458
1.5,-11.971,-32.886,-5.47
1.533,-11.22,-31.666,-5.466
1.567,-10.389,-30.211,-5.397
1.6,-9.736,-28.742,-5.334
1.633,-9.004,-27.239,-5.316
1.667,-8.135,-25.616,-5.293
1.7,-7.376,-23.826,-5.306
1.733,-6.866,-22.017,-5.312
1.767,-6.539,-20.311,-5.241
1.8,-6.234,-18.599,-5.051
1.833,-6.025,-16.864,-4.883
1.867,-5.954,-15.11,-4.857
1.9,-5.941,-13.4,-4.942
1.933,-6.06,-11.744,-5.159
1.967,-6.437,-10.084,-5.445
2,-7.007,-8.506,-5.805
2.033,-7.549,-7.158,-6.171
2.067,-7.961,-5.956,-6.483
2.1,-8.286,-4.879,-6.595
2.133,-8.43,-3.939,-6.778
2.167,-8.562,-3.056,-6.927
2.2,-8.634,-2.258,-6.937
2.233,-8.696,-1.544,-6.899
2.267,-8.814,-0.883,-6.854
2.3,-8.955,-0.263,-6.835
2.333,-9.024,0.263,-6.801
2.367,-9.112,0.68,-6.737
2.4,-9.241,0.991,-6.702
2.433,-9.455,1.267,-6.799
2.467,-9.633,1.544,-6.943
2.5,-9.732,1.804,-7.136
2.533,-9.862,1.985,-7.311
2.567,-9.975,2.093,-7.408
2.6,-9.983,2.135,-7.485
2.633,-9.954,2.1,-7.525
2.667,-9.955,2.007,-7.548
2.7,-9.976,1.889,-7.573
2.733,-9.978,1.74,-7.614
2.767,-9.976,1.535,-7.66
2.8,-9.95,1.287,-7.677
2.833,-9.953,0.999,-7.695
2.867,-9.849,0.653,-7.818
2.9,-9.707,0.23,-7.92
2.933,-9.542,-0.257,-7.948
2.967,-9.473,-0.781,-8.012
3,-9.399,-1.341,-8.121
3.033,-9.243,-1.96,-8.269
3.067,-9.038,-2.642,-8.451
3.1,-8.99,-3.38,-8.785
3.133,-9.191,-4.26,-9.146
3.167,-9.486,-5.26,-9.483
3.2,-9.595,-6.373,-9.822
3.233,-9.509,-7.553,-10.128
3.267,-9.312,-8.801,-10.31
3.3,-9.001,-10.046,-10.387
3.333,-8.7,-11.181,-10.222
3.367,-8.612,-12.159,-10.076
3.4,-8.53,-13.026,-10.068
3.433,-8.242,-13.89,-10.089
3.467,-7.914,-14.806,-10.066
3.5,-7.498,-15.787,-10.102
3.533,-7.185,-16.895,-10.181
3.567,-7.079,-18.145,-10.417
3.6,-6.92,-19.498,-10.993
3.633,-6.997,-20.968,-11.608
3.667,-7.175,-22.659,-11.948
3.7,-7.655,-24.367,-12.32
3.733,-8.19,-25.905,-12.821
3.767,-8.411,-27.387,-13.332
3.8,-8.508,-28.885,-13.831
3.833,-8.728,-30.307,-14.337
3.867,-8.923,-31.574,-14.798
3.9,-9.006,-32.703,-15.053
3.933,-9.11,-33.726,-15.161
3.967,-9.288,-34.575,-15.209
4,-9.472,-35.257,-15.125
4.033,-9.649,-35.817,-15.002
4.067,-9.676,-36.272,-14.868
4.1,-9.552,-36.637,-14.778
4.133,-9.344,-37.022,-14.672
4.167,-9.085,-37.401,-14.653
4.2,-8.924,-37.672,-14.62
4.233,-8.879,-37.868,-14.552
4.267,-8.818,-37.988,-14.499
4.3,-8.678,-38.052,-14.425
4.333,-8.493,-38.071,-14.338
4.367,-8.39,-38.076,-14.221
4.4,-8.278,-38.084,-14.022
4.433,-8.24,-38.049,-13.825
4.467,-8.237,-37.992,-13.631
4.5,-8.209,-37.855,-13.51
4.533,-8.207,-37.649,-13.371
4.567,-8.257,-37.363,-13.202
4.6,-8.256,-36.955,-12.986
4.633,-8.256,-36.41,-12.877
4.667,-8.296,-35.749,-12.853
4.7,-8.211,-34.988,-12.839
4.733,-7.946,-34.162,-12.776
4.767,-7.526,-33.231,-12.661
4.8,-7.036,-32.105,-12.575
4.833,-6.279,-30.843,-12.51
4.867,-5.509,-29.525,-12.442
4.9,-5.083,-28.109,-12.418
4.933,-5.073,-26.574,-12.401
4.967,-5.347,-24.943,-12.36
5,-5.72,-23.234,-12.197
5.033,-6.149,-21.427,-11.909
5.067,-6.611,-19.519,-11.4
5.1,-7.071,-17.584,-10.954
5.133,-7.742,-15.667,-10.541
5.167,-8.267,-13.844,-10.192
5.2,-8.736,-12.057,-9.951
5.233,-9.247,-10.349,-9.77
5.267,-9.6,-8.851,-9.657
5.3,-9.728,-7.497,-9.681
5.333,-9.753,-6.211,-9.764
5.367,-9.641,-5.037,-9.843
5.4,-9.502,-4.036,-9.751
5.433,-9.353,-3.194,-9.573
5.467,-9.223,-2.521,-9.477
5.5,-9.141,-1.973,-9.4
5.533,-9.055,-1.552,-9.317
5.567,-8.984,-1.245,-9.239
5.6,-9.017,-0.978,-9.164
5.633,-9.131,-0.711,-8.966
5.667,-9.339,-0.432,-8.638
5.7,-9.572,-0.073,-8.25
