Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-0.64,-1.367,-0.291
0.033,-0.511,-1.4,-0.093
0.067,-0.365,-1.444,0.157
0.1,-0.297,-1.512,0.384
0.133,-0.306,-1.609,0.477
0.167,-0.26,-1.718,0.465
0.2,-0.217,-1.851,0.435
0.233,-0.24,-1.998,0.416
0.267,-0.289,-2.138,0.46
0.3,-0.358,-2.255,0.506
0.333,-0.44,-2.374,0.536
0.367,-0.545,-2.538,0.61
0.4,-0.659,-2.735,0.646
0.433,-0.771,-2.965,0.615
0.467,-0.739,-3.239,0.573
0.5,-0.35,-3.542,0.487
0.533,-0.248,-3.926,0.407
0.567,-0.358,-4.409,0.366
0.6,-0.216,-4.917,0.4
0.633,0.033,-5.301,0.404
0.667,0.192,-5.577,0.456
0.7,0.362,-5.872,0.498
0.733,0.572,-6.251,0.41
0.767,0.812,-6.688,0.225
0.8,0.98,-6.986,0.059
0.833,1.23,-7.144,-0.37
0.867,1.19,-7.284,-1.088
0.9,0.975,-7.425,-1.634
0.933,0.868,-7.55,-1.904
0.967,0.787,-7.674,-2.067
1,0.757,-7.798,-2.203
1.033,0.783,-7.901,-2.315
1.067,0.776,-7.966,-2.505
1.1,0.726,-8.008,-2.695
1.133,0.64,-8.041,-2.802
1.167,0.578,-8.085,-2.836
1.2,0.55,-8.113,-2.899
1.233,0.548,-8.096,-2.999
1.267,0.615,-8.019,-3.025
1.3,0.75,-7.928,-3.035
1.333,0.889,-7.84,-2.998
1.367,1.019,-7.751,-2.882
1.4,1.153,-7.666,-2.692
1.433,1.216,-7.561,-2.563
1.467,1.1,-7.377,-2.458
1.5,0.989,-7.156,-2.484
1.533,0.858,-6.957,-2.703
1.567,0.699,-6.781,-2.877
1.6,0.699,-6.562,-3.073
1.633,0.812,-6.287,-3.25
1.667,0.873,-6.029,-3.353
1.7,0.924,-5.821,-3.353
1.733,1.128,-5.559,-3.126
1.767,1.349,-5.201,-2.837
1.8,1.377,-4.845,-2.566
1.833,1.212,-4.532,-2.21
1.867,0.997,-4.234,-1.856
1.9,0.729,-3.905,-1.56
1.933,0.447,-3.525,-1.285
1.967,0.196,-3.154,-1.036
2,-0.011,-2.832,-0.754
2.033,-0.099,-2.488,-0.493
2.067,-0.152,-2.119,-0.282
2.1,-0.322,-1.776,-0.14
2.133,-0.562,-1.467,-0.012
2.167,-0.714,-1.157,0.193
2.2,-0.71,-0.904,0.42
2.233,-0.662,-0.699,0.589
2.267,-0.631,-0.507,0.732
2.3,-0.521,-0.341,0.841
2.333,-0.329,-0.203,0.913
2.367,-0.043,-0.088,0.985
2.4,0.123,0.029,1.056
2.433,0.185,0.124,1.208
2.467,0.183,0.194,1.37
2.5,0.208,0.25,1.48
2.533,0.264,0.296,1.55
2.567,0.384,0.304,1.592
2.6,0.481,0.289,1.61
2.633,0.518,0.281,1.592
2.667,0.575,0.272,1.542
2.7,0.686,0.254,1.457
2.733,0.79,0.244,1.366
2.767,0.863,0.234,1.307
2.8,0.922,0.214,1.242
2.833,1.002,0.194,1.188
2.867,1.099,0.175,1.168
2.9,1.165,0.151,1.162
2.933,1.208,0.112,1.155
2.967,1.273,0.056,1.126
3,1.329,-0.015,1.121
3.033,1.346,-0.111,1.136
3.067,1.366,-0.239,1.136
3.1,1.41,-0.37,1.207
3.133,1.504,-0.458,1.27
3.167,1.661,-0.484,1.333
3.2,1.869,-0.491,1.479
3.233,2.007,-0.523,1.631
3.267,1.98,-0.527,1.785
3.3,1.831,-0.517,1.926
3.333,1.72,-0.557,1.973
3.367,1.716,-0.633,1.984
3.4,1.741,-0.716,1.954
3.433,1.688,-0.835,1.912
3.467,1.52,-0.968,1.845
3.5,1.291,-1.064,1.819
3.533,1.1,-1.147,1.801
3.567,0.861,-1.247,1.728
3.6,0.565,-1.324,1.491
3.633,0.494,-1.458,1.38
3.667,0.647,-1.661,1.338
3.7,0.896,-1.831,1.21
3.733,1.169,-1.926,1.05
3.767,1.245,-2.075,0.833
3.8,1.265,-2.281,0.561
3.833,1.397,-2.512,0.269
3.867,1.501,-2.77,-0.087
3.9,1.443,-3.065,-0.459
3.933,1.454,-3.343,-0.811
3.967,1.456,-3.627,-1.171
4,1.455,-3.895,-1.42
4.033,1.426,-4.172,-1.591
4.067,1.339,-4.413,-1.775
4.1,1.191,-4.633,-1.904
4.133,1,-4.821,-1.936
4.167,0.843,-4.951,-1.947
