Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.011,0.229,-0.002,
0.033,0.012,0.229,-0.002,
0.067,0.013,0.229,-0.002,
0.1,0.015,0.229,-0.002,
0.133,0.016,0.229,-0.002,
0.167,0.018,0.228,-0.002,
0.2,0.02,0.228,-0.002,
0.233,0.022,0.228,-0.002,
0.267,0.024,0.228,-0.002,
0.3,0.025,0.228,-0.003,
0.333,0.027,0.227,-0.003,
0.367,0.029,0.227,-0.003,
0.4,0.031,0.227,-0.003,
0.433,0.033,0.227,-0.003,
0.467,0.035,0.226,-0.003,
0.5,0.037,0.226,-0.002,
0.533,0.039,0.226,-0.003,
0.567,0.042,0.225,-0.003,
0.6,0.044,0.225,-0.003,
0.633,0.046,0.224,-0.003,
0.667,0.048,0.224,-0.003,
0.7,0.05,0.223,-0.003,
0.733,0.053,0.223,-0.003,
0.767,0.055,0.222,-0.003,
0.8,0.057,0.222,-0.004,
0.833,0.059,0.221,-0.004,
0.867,0.06,0.221,-0.005,
0.9,0.061,0.22,-0.006,
0.933,0.062,0.22,-0.007,
0.967,0.063,0.22,-0.008,
1,0.064,0.219,-0.008,
1.033,0.064,0.219,-0.009,
1.067,0.065,0.219,-0.009,
1.1,0.065,0.219,-0.01,
1.133,0.066,0.219,-0.01,
1.167,0.066,0.219,-0.011,
1.2,0.066,0.219,-0.011,
1.233,0.066,0.219,-0.011,
1.267,0.066,0.219,-0.011,
1.3,0.065,0.219,-0.011,
1.333,0.065,0.219,-0.011,
1.367,0.064,0.219,-0.01,
1.4,0.063,0.22,-0.01,
1.433,0.062,0.22,-0.009,
1.467,0.06,0.221,-0.009,
1.5,0.058,0.221,-0.009,
1.533,0.056,0.222,-0.008,
1.567,0.054,0.222,-0.008,
1.6,0.052,0.223,-0.007,
1.633,0.049,0.223,-0.006,
1.667,0.047,0.224,-0.005,
1.7,0.044,0.225,-0.004,
1.733,0.041,0.225,-0.003,
1.767,0.038,0.226,-0.002,
1.8,0.035,0.226,-0.002,
1.833,0.032,0.227,-0.003,
1.867,0.03,0.227,-0.003,
