Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-5.21,-19.499,-3.33,
0.033,-5.355,-20.776,-3.444,
0.067,-5.646,-22.382,-3.506,
0.1,-6.082,-23.884,-3.603,
0.133,-6.507,-25.197,-3.789,
0.167,-6.786,-26.455,-3.907,
0.2,-7.004,-27.618,-3.914,
0.233,-7.133,-28.638,-3.936,
0.267,-7.219,-29.556,-3.961,
0.3,-7.347,-30.412,-4.021,
0.333,-7.569,-31.2,-4.061,
0.367,-7.821,-31.945,-4.06,
0.4,-8.254,-32.522,-4.051,
0.433,-8.581,-33.086,-4.076,
0.467,-8.786,-33.615,-3.983,
0.5,-8.988,-33.999,-3.873,
0.533,-9.22,-34.212,-3.765,
0.567,-9.42,-34.335,-3.708,
0.6,-9.595,-34.371,-3.64,
0.633,-9.736,-34.308,-3.67,
0.667,-9.884,-34.146,-3.686,
0.7,-10.09,-33.837,-3.758,
0.733,-10.443,-33.452,-3.71,
0.767,-10.64,-32.87,-3.72,
0.8,-10.648,-32.141,-3.618,
0.833,-10.583,-31.383,-3.341,
0.867,-10.447,-30.531,-3.108,
0.9,-10.193,-29.59,-2.864,
0.933,-9.921,-28.568,-2.639,
0.967,-9.655,-27.402,-2.52,
1,-9.461,-26.083,-2.455,
1.033,-9.39,-24.609,-2.368,
1.067,-9.413,-23.133,-2.165,
1.1,-9.481,-21.672,-2.048,
1.133,-9.446,-20.033,-2.118,
1.167,-9.367,-18.311,-2.194,
1.2,-9.238,-16.547,-2.27,
1.233,-9.132,-14.788,-2.193,
1.267,-9.065,-13.016,-2.165,
1.3,-8.949,-11.278,-2.221,
1.333,-8.705,-9.624,-2.242,
1.367,-8.443,-8.105,-2.131,
1.4,-8.081,-6.632,-2.082,
1.433,-7.729,-5.214,-2.098,
1.467,-7.388,-3.888,-2.093,
1.5,-7.063,-2.648,-2.039,
1.533,-6.827,-1.553,-1.949,
1.567,-6.656,-0.519,-2.068,
1.6,-6.464,0.411,-2.232,
1.633,-6.303,1.163,-2.543,
1.667,-6.037,1.668,-2.808,
1.7,-5.726,1.933,-2.98,
1.733,-5.6,1.844,-3.023,
1.767,-5.566,1.642,-3.061,
1.8,-5.605,1.419,-3.079,
1.833,-5.635,1.147,-3.087,
1.867,-5.648,0.859,-3.223,
1.9,-5.643,0.512,-3.335,
1.933,-5.563,0.087,-3.464,
1.967,-5.528,-0.398,-3.68,
2,-5.631,-0.983,-3.907,
2.033,-5.77,-1.698,-4.124,
2.067,-5.801,-2.536,-4.343,
2.1,-5.884,-3.481,-4.533,
2.133,-6.123,-4.511,-4.736,
2.167,-6.418,-5.564,-4.974,
2.2,-6.635,-6.646,-5.184,
2.233,-6.639,-7.759,-5.408,
2.267,-6.531,-8.928,-5.661,
2.3,-6.505,-10.066,-5.84,
2.333,-6.25,-11.199,-5.839,
2.367,-5.971,-12.397,-5.592,
2.4,-5.824,-13.607,-5.27,
2.433,-5.856,-14.835,-4.871,
2.467,-5.906,-16.103,-4.543,
2.5,-5.915,-17.401,-4.248,
2.533,-5.925,-18.699,-4.054,
2.567,-5.97,-20.002,-3.975,
2.6,-5.956,-21.415,-3.804,
2.633,-6.012,-22.851,-3.647,
2.667,-6.1,-24.187,-3.666,
2.7,-6.307,-25.509,-3.608,
2.733,-6.687,-26.738,-3.346,
2.767,-7.087,-27.913,-2.703,
2.8,-7.497,-29.153,-1.921,
2.833,-7.734,-30.224,-1.458,
2.867,-7.795,-31.074,-1.202,
2.9,-7.887,-31.895,-0.845,
