Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,0.453,1.206,-0.055,
0.033,0.746,1.494,0.415,
0.067,1.129,1.746,0.911,
0.1,1.498,1.7,1.113,
0.133,1.689,1.554,1.305,
0.167,1.77,1.421,1.58,
0.2,1.866,1.223,1.834,
0.233,1.95,1.035,1.826,
0.267,1.986,0.848,1.714,
0.3,1.992,0.606,1.495,
0.333,1.864,0.424,1.247,
0.367,1.717,0.249,1.001,
0.4,1.461,0.018,0.686,
0.433,1.036,-0.148,0.338,
0.467,0.598,-0.229,0.055,
0.5,0.095,-0.245,-0.375,
0.533,-0.319,-0.24,-0.786,
0.567,-0.676,-0.182,-1.103,
0.6,-1.023,-0.081,-1.413,
0.633,-1.229,-0.053,-1.773,
0.667,-1.251,-0.137,-2.176,
0.7,-1.156,-0.213,-2.432,
0.733,-0.737,-0.323,-2.545,
0.767,-0.29,-0.436,-2.696,
0.8,-0.017,-0.508,-2.889,
0.833,0.077,-0.546,-3.086,
0.867,0.125,-0.616,-3.239,
0.9,0.181,-0.754,-3.422,
0.933,0.209,-0.916,-3.556,
0.967,0.21,-1.056,-3.634,
1,0.145,-1.165,-3.671,
1.033,0.061,-1.263,-3.675,
1.067,-0.016,-1.348,-3.772,
1.1,-0.097,-1.389,-3.873,
1.133,-0.094,-1.402,-3.903,
1.167,-0.074,-1.403,-3.946,
1.2,-0.187,-1.376,-4.074,
1.233,-0.327,-1.357,-4.17,
1.267,-0.419,-1.331,-4.232,
1.3,-0.417,-1.3,-4.331,
1.333,-0.444,-1.322,-4.37,
1.367,-0.525,-1.401,-4.389,
1.4,-0.672,-1.478,-4.408,
1.433,-0.833,-1.524,-4.466,
1.467,-0.977,-1.561,-4.52,
1.5,-1.094,-1.592,-4.542,
1.533,-1.193,-1.609,-4.535,
1.567,-1.26,-1.601,-4.469,
1.6,-1.284,-1.572,-4.325,
1.633,-1.26,-1.532,-4.193,
1.667,-1.206,-1.474,-4.122,
1.7,-1.17,-1.412,-4.042,
1.733,-1.114,-1.352,-3.935,
1.767,-0.958,-1.29,-3.781,
1.8,-0.624,-1.186,-3.537,
1.833,-0.316,-1.061,-3.237,
1.867,-0.187,-0.939,-2.966,
1.9,-0.158,-0.836,-2.671,
1.933,-0.172,-0.716,-2.361,
1.967,-0.243,-0.549,-2.108,
2,-0.352,-0.377,-1.863,
2.033,-0.474,-0.282,-1.596,
2.067,-0.795,-0.222,-1.381,
2.1,-1.227,-0.084,-1.183,
2.133,-1.468,0.08,-0.928,
2.167,-1.585,0.11,-0.756,
2.2,-1.693,0.045,-0.626,
2.233,-1.746,0.055,-0.454,
2.267,-1.59,0.065,-0.158,
2.3,-1.11,-0.038,0.17,
2.333,-0.9,-0.167,0.245,
2.367,-0.952,-0.292,0.359,
2.4,-1.108,-0.418,0.733,
2.433,-1.237,-0.559,1.06,
2.467,-1.33,-0.671,1.314,
2.5,-1.32,-0.748,1.612,
2.533,-1.317,-0.827,1.827,
2.567,-1.342,-0.918,1.849,
2.6,-1.248,-1.047,1.553,
2.633,-1.111,-1.259,0.979,
2.667,-1.277,-1.385,0.763,
2.7,-1.396,-1.435,0.676,
2.733,-1.436,-1.508,0.489,
2.767,-1.525,-1.58,0.27,
2.8,-1.635,-1.61,0.185,
2.833,-1.755,-1.602,0.126,
2.867,-1.916,-1.55,-0.021,
2.9,-2.092,-1.467,-0.226,
2.933,-2.236,-1.381,-0.39,
2.967,-2.271,-1.317,-0.451,
3,-2.198,-1.242,-0.513,
3.033,-2.092,-1.143,-0.613,
3.067,-1.961,-1.025,-0.771,
3.1,-1.866,-0.892,-1.011,
3.133,-1.762,-0.764,-1.291,
3.167,-1.628,-0.645,-1.586,
3.2,-1.537,-0.55,-1.873,
3.233,-1.538,-0.499,-2.174,
3.267,-1.573,-0.507,-2.458,
3.3,-1.605,-0.577,-2.688,
3.333,-1.567,-0.722,-2.924,
3.367,-1.487,-0.894,-3.158,
3.4,-1.368,-1.112,-3.197,
3.433,-1.231,-1.343,-3.267,
3.467,-1.194,-1.527,-3.387,
3.5,-1.179,-1.687,-3.509,
3.533,-1.174,-1.828,-3.644,
3.567,-1.217,-1.91,-3.725,
3.6,-1.298,-1.955,-3.699,
3.633,-1.369,-1.958,-3.61,
3.667,-1.45,-1.884,-3.465,
3.7,-1.536,-1.756,-3.29,
3.733,-1.585,-1.603,-3.096,
3.767,-1.598,-1.448,-2.937,
3.8,-1.635,-1.283,-2.816,
3.833,-1.699,-1.132,-2.69,
3.867,-1.776,-1.012,-2.573,
3.9,-1.853,-0.935,-2.498,
3.933,-1.96,-0.878,-2.469,
3.967,-2.069,-0.838,-2.456,
4,-2.16,-0.817,-2.468,
4.033,-2.225,-0.825,-2.486,
4.067,-2.26,-0.867,-2.503,
4.1,-2.285,-0.905,-2.519,
4.133,-2.328,-0.935,-2.52,
4.167,-2.376,-0.965,-2.532,
4.2,-2.426,-0.989,-2.551,
4.233,-2.456,-1.013,-2.57,
4.267,-2.48,-1.025,-2.585,
4.3,-2.453,-1.053,-2.562,
4.333,-2.306,-1.122,-2.518,
4.367,-1.963,-1.217,-2.525,
4.4,-1.461,-1.325,-2.676,
4.433,-0.93,-1.435,-2.91,
4.467,-0.523,-1.563,-3.185,
4.5,-0.261,-1.695,-3.479,
4.533,-0.097,-1.821,-3.778,
4.567,-0.012,-1.927,-4.046,
4.6,0.064,-2.011,-4.298,
4.633,0.149,-2.081,-4.584,
4.667,0.266,-2.17,-4.87,
4.7,0.41,-2.27,-5.21,
4.733,0.519,-2.354,-5.6,
4.767,0.777,-2.464,-6.072,
4.8,1.105,-2.655,-6.6,
4.833,1.276,-2.911,-7.206,
4.867,1.204,-3.139,-7.862,
4.9,1.083,-3.316,-8.522,
4.933,1.094,-3.54,-9.058,
4.967,1.118,-3.788,-9.488,
5,1.207,-3.997,-9.91,
5.033,1.395,-4.227,-10.267,
5.067,1.518,-4.394,-10.495,
5.1,1.425,-4.497,-10.514,
5.133,1.41,-4.694,-10.39,
5.167,1.372,-4.773,-10.354,
5.2,1.136,-4.624,-10.243,
5.233,0.911,-4.5,-10.07,
5.267,0.749,-4.537,-9.859,
5.3,0.648,-4.558,-9.602,
5.333,0.544,-4.466,-9.169,
5.367,0.338,-4.301,-8.424,
5.4,0.195,-4.029,-7.374,
5.433,0.281,-3.647,-6.561,
5.467,0.124,-3.307,-5.785,
5.5,-0.214,-2.954,-4.793,
5.533,-0.509,-2.571,-3.874,
5.567,-0.575,-2.288,-3.518,
5.6,-0.716,-2.115,-3.17,
5.633,-0.835,-1.897,-2.667,
5.667,-0.877,-1.616,-2.14,
5.7,-0.908,-1.374,-1.716,
5.733,-1.086,-1.155,-1.474,
5.767,-1.282,-0.967,-1.354,
5.8,-1.278,-0.813,-1.307,
5.833,-1.093,-0.659,-1.191,
5.867,-0.885,-0.546,-0.975,
5.9,-0.608,-0.517,-0.839,
5.933,-0.465,-0.54,-0.837,
5.967,-0.43,-0.596,-0.897,
6,-0.447,-0.644,-0.945,
6.033,-0.536,-0.699,-0.995,
6.067,-0.584,-0.775,-1.092,
6.1,-0.621,-0.856,-1.201,
6.133,-0.655,-0.955,-1.271,
6.167,-0.674,-1.052,-1.388,
6.2,-0.688,-1.112,-1.503,
6.233,-0.699,-1.166,-1.575,
6.267,-0.668,-1.22,-1.69,
6.3,-0.699,-1.252,-1.796,
6.333,-0.792,-1.256,-1.852,
6.367,-0.864,-1.252,-1.868,
6.4,-0.861,-1.251,-1.86,
6.433,-0.81,-1.239,-1.9,
6.467,-0.784,-1.22,-1.931,
6.5,-0.775,-1.207,-1.949,
6.533,-0.735,-1.216,-1.983,
6.567,-0.685,-1.245,-2.046,
6.6,-0.657,-1.277,-2.141,
6.633,-0.724,-1.33,-2.264,
6.667,-0.83,-1.426,-2.32,
6.7,-0.972,-1.515,-2.453,
6.733,-1.104,-1.628,-2.634,
6.767,-1.24,-1.763,-2.755,
6.8,-1.386,-1.844,-2.836,
6.833,-1.508,-1.851,-2.912,
6.867,-1.565,-1.865,-2.982,
6.9,-1.559,-1.93,-3.117,
6.933,-1.492,-2.003,-3.286,
6.967,-1.399,-2.086,-3.501,
7,-1.385,-2.168,-3.738,
7.033,-1.331,-2.215,-3.976,
7.067,-1.171,-2.24,-4.271,
7.1,-0.903,-2.204,-4.568,
7.133,-0.607,-2.157,-4.792,
7.167,-0.287,-2.103,-5.012,
7.2,0.06,-2.041,-5.198,
7.233,0.382,-1.947,-5.336,
7.267,0.589,-1.812,-5.503,
7.3,0.76,-1.671,-5.616,
7.333,0.918,-1.545,-5.684,
7.367,1.035,-1.411,-5.752,
7.4,1.124,-1.277,-5.792,
7.433,1.214,-1.172,-5.812,
7.467,1.266,-1.094,-5.832,
7.5,1.331,-1.021,-5.822,
7.533,1.452,-0.958,-5.702,
7.567,1.616,-0.921,-5.529,
7.6,1.748,-0.886,-5.408,
7.633,1.905,-0.822,-5.333,
7.667,2.182,-0.748,-5.395,
7.7,2.349,-0.718,-5.35,
7.733,2.436,-0.725,-5.356,
7.767,2.345,-0.775,-5.373,
7.8,1.975,-0.874,-5.233,
7.833,1.453,-0.959,-5.071,
7.867,0.875,-1.048,-4.796,
7.9,0.703,-1.124,-4.626,
7.933,0.514,-1.215,-4.445,
7.967,0.181,-1.331,-4.235,
8,0.016,-1.413,-4.053,
8.033,-0.025,-1.48,-3.892,
8.067,0.028,-1.533,-3.797,
8.1,-0.058,-1.56,-3.627,
8.133,-0.153,-1.587,-3.366,
8.167,-0.116,-1.627,-3.369,
8.2,-0.137,-1.664,-3.386,
8.233,-0.235,-1.68,-3.34,
8.267,-0.231,-1.744,-3.293,
8.3,-0.26,-1.838,-3.257,
8.333,-0.384,-1.935,-3.201,
8.367,-0.488,-2.046,-3.144,
8.4,-0.513,-2.147,-3.146,
8.433,-0.501,-2.222,-3.176,
8.467,-0.49,-2.282,-3.22,
8.5,-0.492,-2.326,-3.32,
8.533,-0.498,-2.36,-3.402,
8.567,-0.499,-2.384,-3.449,
8.6,-0.482,-2.387,-3.493,
8.633,-0.448,-2.378,-3.518,
8.667,-0.459,-2.38,-3.533,
8.7,-0.5,-2.372,-3.559,
8.733,-0.505,-2.338,-3.571,
8.767,-0.523,-2.29,-3.562,
8.8,-0.563,-2.239,-3.572,
8.833,-0.604,-2.191,-3.581,
8.867,-0.644,-2.153,-3.582,
8.9,-0.7,-2.145,-3.576,
8.933,-0.793,-2.181,-3.58,
8.967,-0.926,-2.265,-3.588,
9,-1.08,-2.373,-3.601,
9.033,-1.271,-2.468,-3.679,
9.067,-1.471,-2.555,-3.823,
9.1,-1.612,-2.652,-3.989,
9.133,-1.678,-2.712,-4.205,
9.167,-1.669,-2.717,-4.407,
9.2,-1.612,-2.699,-4.537,
9.233,-1.539,-2.707,-4.651,
9.267,-1.48,-2.727,-4.924,
9.3,-1.405,-2.77,-5.323,
9.333,-1.437,-2.882,-5.849,
9.367,-1.505,-3.004,-6.294,
9.4,-1.563,-3.095,-6.697,
9.433,-1.611,-3.215,-7.065,
9.467,-1.672,-3.371,-7.321,
9.5,-1.644,-3.479,-7.424,
9.533,-1.61,-3.53,-7.444,
9.567,-1.705,-3.542,-7.367,
9.6,-1.806,-3.453,-7.214,
9.633,-1.797,-3.3,-6.913,
9.667,-1.829,-3.11,-6.569,
9.7,-1.957,-2.851,-6.32,
9.733,-2.081,-2.59,-6.036,
9.767,-2.144,-2.362,-5.775,
9.8,-2.217,-2.146,-5.628,
9.833,-2.311,-1.969,-5.492,
9.867,-2.395,-1.825,-5.434,
9.9,-2.488,-1.707,-5.342,
9.933,-2.583,-1.619,-5.174,
