Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.036,0.39,-0.002,
0.033,0.039,0.389,-0.002,
0.067,0.044,0.388,-0.001,
0.1,0.05,0.387,0,
0.133,0.057,0.386,0,
0.167,0.063,0.385,0,
0.2,0.067,0.384,0,
0.233,0.072,0.383,0.001,
0.267,0.075,0.382,0.001,
0.3,0.078,0.382,0.001,
0.333,0.08,0.381,0,
0.367,0.082,0.381,-0.001,
0.4,0.083,0.381,-0.002,
0.433,0.084,0.38,-0.005,
0.467,0.084,0.38,-0.007,
0.5,0.083,0.381,-0.009,
0.533,0.082,0.381,-0.01,
0.567,0.08,0.381,-0.011,
0.6,0.077,0.382,-0.012,
0.633,0.074,0.383,-0.013,
0.667,0.072,0.383,-0.013,
0.7,0.069,0.384,-0.013,
0.733,0.067,0.385,-0.013,
0.767,0.064,0.385,-0.012,
0.8,0.061,0.386,-0.013,
0.833,0.057,0.386,-0.013,
0.867,0.054,0.387,-0.014,
0.9,0.051,0.387,-0.015,
0.933,0.048,0.388,-0.016,
0.967,0.046,0.388,-0.017,
1,0.043,0.389,-0.018,
1.033,0.04,0.389,-0.019,
1.067,0.036,0.389,-0.02,
1.1,0.033,0.39,-0.021,
1.133,0.031,0.39,-0.021,
1.167,0.028,0.39,-0.023,
1.2,0.026,0.39,-0.024,
1.233,0.024,0.39,-0.025,
1.267,0.022,0.39,-0.026,
1.3,0.02,0.39,-0.026,
1.333,0.018,0.39,-0.026,
1.367,0.016,0.39,-0.027,
1.4,0.015,0.39,-0.028,
1.433,0.013,0.39,-0.028,
1.467,0.011,0.391,-0.028,
1.5,0.009,0.391,-0.028,
1.533,0.007,0.391,-0.029,
1.567,0.005,0.391,-0.029,
1.6,0.004,0.391,-0.029,
1.633,0.003,0.391,-0.028,
1.667,0.003,0.391,-0.028,
1.7,0.004,0.391,-0.028,
1.733,0.004,0.391,-0.027,
1.767,0.005,0.391,-0.027,
1.8,0.005,0.391,-0.026,
1.833,0.007,0.391,-0.025,
1.867,0.008,0.391,-0.025,
1.9,0.011,0.391,-0.024,
1.933,0.013,0.391,-0.023,
1.967,0.016,0.391,-0.022,
2,0.019,0.391,-0.022,
2.033,0.022,0.39,-0.022,
2.067,0.026,0.39,-0.022,
2.1,0.029,0.39,-0.022,
2.133,0.032,0.39,-0.02,
2.167,0.036,0.389,-0.019,
2.2,0.04,0.389,-0.019,
2.233,0.044,0.388,-0.019,
2.267,0.048,0.388,-0.018,
2.3,0.053,0.387,-0.017,
2.333,0.058,0.386,-0.017,
2.367,0.062,0.385,-0.019,
2.4,0.066,0.384,-0.02,
2.433,0.069,0.384,-0.022,
2.467,0.072,0.383,-0.024,
2.5,0.075,0.382,-0.025,
2.533,0.078,0.381,-0.027,
2.567,0.08,0.381,-0.028,
2.6,0.082,0.38,-0.029,
2.633,0.084,0.379,-0.03,
2.667,0.085,0.379,-0.033,
2.7,0.085,0.379,-0.036,
2.733,0.085,0.379,-0.038,
2.767,0.085,0.378,-0.039,
2.8,0.084,0.379,-0.04,
2.833,0.083,0.379,-0.041,
2.867,0.081,0.379,-0.041,
2.9,0.08,0.38,-0.041,
2.933,0.078,0.38,-0.04,
2.967,0.076,0.381,-0.037,
3,0.073,0.382,-0.033,
3.033,0.07,0.383,-0.03,
3.067,0.067,0.384,-0.027,
3.1,0.064,0.385,-0.026,
3.133,0.06,0.385,-0.024,
3.167,0.056,0.386,-0.024,
3.2,0.053,0.387,-0.024,
3.233,0.049,0.387,-0.024,
3.267,0.046,0.388,-0.025,
3.3,0.042,0.388,-0.025,
3.333,0.038,0.389,-0.026,
3.367,0.034,0.389,-0.026,
3.4,0.031,0.39,-0.026,
3.433,0.027,0.39,-0.026,
3.467,0.024,0.39,-0.026,
3.5,0.02,0.39,-0.026,
3.533,0.017,0.39,-0.026,
3.567,0.013,0.391,-0.027,
3.6,0.01,0.391,-0.028,
3.633,0.008,0.391,-0.028,
3.667,0.006,0.391,-0.028,
3.7,0.004,0.391,-0.029,
3.733,0.002,0.391,-0.029,
3.767,0.001,0.391,-0.029,
3.8,-0,0.391,-0.029,
3.833,-0.001,0.391,-0.029,
3.867,-0.002,0.391,-0.029,
3.9,-0.003,0.391,-0.029,
3.933,-0.003,0.391,-0.029,
3.967,-0.004,0.391,-0.029,
4,-0.004,0.391,-0.029,
4.033,-0.004,0.391,-0.029,
4.067,-0.004,0.391,-0.029,
4.1,-0.004,0.391,-0.029,
4.133,-0.004,0.391,-0.029,
4.167,-0.004,0.391,-0.028,
4.2,-0.004,0.391,-0.029,
4.233,-0.003,0.391,-0.029,
4.267,-0.003,0.391,-0.028,
4.3,-0.003,0.391,-0.028,
4.333,-0.002,0.391,-0.028,
4.367,-0.001,0.391,-0.027,
4.4,-0.001,0.391,-0.026,
4.433,-0.001,0.391,-0.025,
4.467,-0.001,0.391,-0.024,
4.5,-0.002,0.391,-0.025,
4.533,-0.002,0.391,-0.025,
4.567,-0.003,0.391,-0.025,
4.6,-0.005,0.391,-0.026,
4.633,-0.006,0.391,-0.026,
4.667,-0.008,0.391,-0.025,
4.7,-0.01,0.39,-0.025,
4.733,-0.012,0.39,-0.025,
4.767,-0.014,0.39,-0.024,
4.8,-0.016,0.39,-0.023,
4.833,-0.017,0.39,-0.024,
4.867,-0.02,0.39,-0.025,
4.9,-0.022,0.389,-0.026,
4.933,-0.025,0.389,-0.027,
4.967,-0.027,0.389,-0.027,
5,-0.029,0.388,-0.026,
5.033,-0.031,0.388,-0.026,
5.067,-0.033,0.388,-0.026,
5.1,-0.034,0.388,-0.026,
5.133,-0.035,0.387,-0.027,
5.167,-0.036,0.387,-0.029,
5.2,-0.037,0.387,-0.031,
5.233,-0.038,0.387,-0.032,
5.267,-0.038,0.387,-0.033,
5.3,-0.037,0.387,-0.034,
5.333,-0.036,0.387,-0.035,
5.367,-0.034,0.387,-0.035,
5.4,-0.032,0.387,-0.035,
5.433,-0.03,0.388,-0.034,
5.467,-0.027,0.388,-0.033,
5.5,-0.024,0.389,-0.033,
5.533,-0.022,0.389,-0.034,
5.567,-0.019,0.389,-0.033,
5.6,-0.017,0.39,-0.033,
5.633,-0.014,0.39,-0.033,
5.667,-0.012,0.39,-0.034,
5.7,-0.01,0.39,-0.034,
5.733,-0.008,0.39,-0.032,
5.767,-0.005,0.39,-0.031,
5.8,-0.002,0.391,-0.029,
5.833,0.001,0.391,-0.026,
5.867,0.004,0.391,-0.024,
5.9,0.008,0.391,-0.022,
5.933,0.01,0.391,-0.022,
5.967,0.013,0.391,-0.021,
6,0.015,0.391,-0.021,
6.033,0.017,0.391,-0.02,
6.067,0.019,0.391,-0.019,
6.1,0.02,0.391,-0.019,
6.133,0.021,0.391,-0.019,
6.167,0.022,0.391,-0.018,
6.2,0.022,0.391,-0.018,
6.233,0.023,0.391,-0.017,
6.267,0.024,0.391,-0.017,
6.3,0.024,0.391,-0.017,
6.333,0.024,0.391,-0.017,
6.367,0.024,0.391,-0.018,
6.4,0.024,0.391,-0.018,
6.433,0.024,0.391,-0.017,
6.467,0.024,0.391,-0.018,
6.5,0.024,0.391,-0.018,
6.533,0.024,0.391,-0.018,
6.567,0.023,0.391,-0.019,
6.6,0.022,0.391,-0.019,
6.633,0.021,0.391,-0.02,
6.667,0.02,0.391,-0.02,
6.7,0.018,0.391,-0.021,
6.733,0.016,0.391,-0.022,
6.767,0.013,0.391,-0.022,
6.8,0.01,0.391,-0.022,
6.833,0.007,0.391,-0.022,
6.867,0.004,0.391,-0.022,
6.9,-0,0.391,-0.022,
6.933,-0.004,0.391,-0.021,
6.967,-0.009,0.391,-0.021,
7,-0.013,0.391,-0.021,
7.033,-0.018,0.39,-0.021,
7.067,-0.023,0.39,-0.021,
7.1,-0.027,0.39,-0.02,
7.133,-0.031,0.389,-0.02,
7.167,-0.035,0.389,-0.019,
7.2,-0.038,0.389,-0.018,
7.233,-0.041,0.388,-0.017,
7.267,-0.044,0.388,-0.016,
7.3,-0.048,0.387,-0.014,
7.333,-0.05,0.387,-0.013,
7.367,-0.053,0.387,-0.012,
7.4,-0.055,0.386,-0.011,
7.433,-0.057,0.386,-0.01,
7.467,-0.059,0.386,-0.009,
7.5,-0.06,0.386,-0.009,
7.533,-0.06,0.386,-0.009,
7.567,-0.06,0.386,-0.008,
7.6,-0.059,0.386,-0.008,
7.633,-0.058,0.386,-0.007,
7.667,-0.056,0.387,-0.006,
7.7,-0.053,0.387,-0.006,
7.733,-0.05,0.388,-0.008,
7.767,-0.046,0.388,-0.01,
7.8,-0.042,0.388,-0.012,
7.833,-0.038,0.389,-0.015,
7.867,-0.034,0.389,-0.018,
7.9,-0.03,0.39,-0.019,
7.933,-0.026,0.39,-0.021,
7.967,-0.022,0.39,-0.022,
8,-0.018,0.39,-0.023,
8.033,-0.014,0.391,-0.023,
8.067,-0.01,0.391,-0.022,
8.1,-0.006,0.391,-0.022,
8.133,-0.003,0.391,-0.021,
8.167,0.001,0.391,-0.019,
8.2,0.004,0.391,-0.017,
8.233,0.008,0.391,-0.016,
8.267,0.01,0.391,-0.015,
8.3,0.013,0.391,-0.014,
8.333,0.015,0.391,-0.014,
8.367,0.017,0.391,-0.015,
8.4,0.018,0.391,-0.015,
8.433,0.019,0.391,-0.015,
8.467,0.02,0.391,-0.015,
8.5,0.021,0.391,-0.015,
8.533,0.022,0.391,-0.015,
8.567,0.022,0.391,-0.015,
8.6,0.022,0.391,-0.015,
8.633,0.022,0.391,-0.015,
8.667,0.022,0.391,-0.015,
8.7,0.021,0.391,-0.016,
8.733,0.021,0.391,-0.016,
8.767,0.02,0.391,-0.016,
8.8,0.019,0.391,-0.016,
8.833,0.018,0.391,-0.016,
8.867,0.017,0.391,-0.016,
8.9,0.016,0.391,-0.016,
8.933,0.014,0.391,-0.017,
8.967,0.013,0.391,-0.017,
9,0.011,0.391,-0.017,
