Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,0.057,0.485,-0.004,
0.033,0.063,0.484,-0.004,
0.067,0.071,0.482,-0.003,
0.1,0.08,0.481,-0.002,
0.133,0.09,0.478,-0.002,
0.167,0.099,0.476,-0.003,
0.2,0.105,0.474,-0.002,
0.233,0.112,0.473,-0.002,
0.267,0.117,0.471,-0.002,
0.3,0.121,0.47,-0.002,
0.333,0.123,0.469,-0.003,
0.367,0.126,0.468,-0.004,
0.4,0.127,0.468,-0.006,
0.433,0.128,0.468,-0.008,
0.467,0.128,0.468,-0.011,
0.5,0.126,0.468,-0.013,
0.533,0.124,0.469,-0.015,
0.567,0.122,0.47,-0.016,
0.6,0.118,0.471,-0.017,
0.633,0.114,0.472,-0.018,
0.667,0.11,0.474,-0.018,
0.7,0.106,0.475,-0.018,
0.733,0.101,0.476,-0.018,
0.767,0.097,0.477,-0.018,
0.8,0.092,0.478,-0.019,
0.833,0.087,0.479,-0.02,
0.867,0.082,0.481,-0.021,
0.9,0.077,0.482,-0.023,
0.933,0.073,0.482,-0.024,
0.967,0.068,0.483,-0.026,
1,0.063,0.484,-0.028,
1.033,0.058,0.485,-0.029,
1.067,0.053,0.485,-0.03,
1.1,0.049,0.486,-0.032,
1.133,0.044,0.486,-0.033,
1.167,0.04,0.486,-0.035,
1.2,0.037,0.487,-0.036,
1.233,0.034,0.487,-0.038,
1.267,0.031,0.487,-0.039,
1.3,0.028,0.487,-0.039,
1.333,0.025,0.487,-0.04,
1.367,0.022,0.487,-0.04,
1.4,0.019,0.487,-0.041,
1.433,0.016,0.487,-0.042,
1.467,0.013,0.488,-0.042,
1.5,0.01,0.488,-0.042,
1.533,0.007,0.488,-0.042,
1.567,0.005,0.488,-0.042,
1.6,0.003,0.488,-0.042,
1.633,0.002,0.488,-0.041,
1.667,0.002,0.488,-0.041,
1.7,0.002,0.488,-0.04,
1.733,0.003,0.488,-0.04,
1.767,0.004,0.488,-0.039,
1.8,0.006,0.488,-0.039,
1.833,0.008,0.488,-0.038,
1.867,0.011,0.488,-0.038,
1.9,0.015,0.488,-0.037,
1.933,0.019,0.488,-0.035,
1.967,0.023,0.488,-0.034,
2,0.029,0.487,-0.033,
2.033,0.034,0.487,-0.032,
2.067,0.039,0.487,-0.032,
2.1,0.044,0.486,-0.031,
2.133,0.049,0.486,-0.028,
2.167,0.055,0.485,-0.026,
2.2,0.061,0.484,-0.025,
2.233,0.067,0.483,-0.025,
2.267,0.074,0.482,-0.023,
2.3,0.081,0.481,-0.022,
2.333,0.088,0.479,-0.023,
2.367,0.095,0.477,-0.026,
2.4,0.1,0.476,-0.028,
2.433,0.105,0.475,-0.03,
2.467,0.109,0.473,-0.032,
2.5,0.113,0.472,-0.035,
