Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.01,0.391,-0.014,
0.033,-0.01,0.391,-0.014,
0.067,-0.01,0.391,-0.014,
0.1,-0.01,0.391,-0.014,
0.133,-0.01,0.391,-0.013,
0.167,-0.01,0.391,-0.014,
0.2,-0.01,0.391,-0.014,
0.233,-0.01,0.391,-0.014,
0.267,-0.01,0.391,-0.014,
0.3,-0.01,0.391,-0.014,
0.333,-0.01,0.391,-0.014,
0.367,-0.01,0.391,-0.014,
0.4,-0.01,0.391,-0.014,
0.433,-0.01,0.391,-0.014,
0.467,-0.01,0.391,-0.014,
0.5,-0.009,0.391,-0.014,
0.533,-0.009,0.391,-0.015,
0.567,-0.008,0.391,-0.015,
0.6,-0.008,0.391,-0.015,
0.633,-0.008,0.391,-0.015,
0.667,-0.008,0.391,-0.015,
0.7,-0.007,0.391,-0.014,
0.733,-0.007,0.392,-0.014,
0.767,-0.006,0.392,-0.015,
0.8,-0.006,0.392,-0.015,
0.833,-0.005,0.392,-0.015,
0.867,-0.004,0.392,-0.015,
0.9,-0.003,0.392,-0.015,
0.933,-0.002,0.392,-0.015,
0.967,-0.002,0.392,-0.015,
1,-0.001,0.392,-0.015,
1.033,-0.001,0.391,-0.016,
1.067,-0,0.391,-0.016,
1.1,0.001,0.391,-0.017,
1.133,0.001,0.391,-0.017,
1.167,0.002,0.391,-0.017,
1.2,0.003,0.391,-0.018,
1.233,0.004,0.391,-0.018,
1.267,0.005,0.391,-0.018,
1.3,0.006,0.391,-0.018,
1.333,0.007,0.391,-0.018,
1.367,0.008,0.391,-0.018,
1.4,0.009,0.391,-0.018,
1.433,0.009,0.391,-0.018,
1.467,0.011,0.391,-0.017,
1.5,0.012,0.391,-0.017,
1.533,0.013,0.391,-0.017,
1.567,0.014,0.391,-0.017,
1.6,0.015,0.391,-0.017,
1.633,0.015,0.391,-0.017,
1.667,0.016,0.391,-0.018,
1.7,0.016,0.391,-0.018,
1.733,0.016,0.391,-0.019,
1.767,0.016,0.391,-0.019,
1.8,0.016,0.391,-0.02,
1.833,0.016,0.391,-0.02,
1.867,0.016,0.391,-0.02,
1.9,0.015,0.391,-0.021,
1.933,0.015,0.391,-0.021,
1.967,0.014,0.391,-0.021,
2,0.014,0.391,-0.022,
2.033,0.013,0.391,-0.022,
2.067,0.013,0.391,-0.023,
2.1,0.011,0.391,-0.023,
2.133,0.01,0.391,-0.024,
2.167,0.009,0.391,-0.024,
2.2,0.008,0.391,-0.025,
2.233,0.008,0.391,-0.025,
2.267,0.007,0.391,-0.026,
2.3,0.006,0.391,-0.026,
2.333,0.004,0.391,-0.026,
2.367,0.003,0.391,-0.027,
2.4,0.002,0.391,-0.027,
2.433,0.001,0.391,-0.028,
2.467,-0.001,0.391,-0.028,
2.5,-0.002,0.391,-0.029,
2.533,-0.003,0.391,-0.029,
2.567,-0.004,0.391,-0.029,
2.6,-0.005,0.391,-0.029,
2.633,-0.006,0.391,-0.029,
2.667,-0.006,0.391,-0.03,
2.7,-0.006,0.391,-0.03,
2.733,-0.006,0.391,-0.03,
2.767,-0.007,0.391,-0.03,
2.8,-0.008,0.391,-0.03,
2.833,-0.009,0.391,-0.029,
2.867,-0.01,0.391,-0.03,
2.9,-0.01,0.391,-0.03,
2.933,-0.01,0.391,-0.029,
2.967,-0.011,0.391,-0.029,
3,-0.011,0.391,-0.029,
3.033,-0.01,0.391,-0.029,
3.067,-0.01,0.391,-0.028,
3.1,-0.01,0.391,-0.028,
3.133,-0.011,0.391,-0.028,
3.167,-0.011,0.391,-0.028,
3.2,-0.011,0.391,-0.028,
3.233,-0.012,0.391,-0.028,
3.267,-0.012,0.391,-0.028,
3.3,-0.012,0.391,-0.028,
3.333,-0.012,0.391,-0.028,
3.367,-0.012,0.391,-0.027,
3.4,-0.013,0.391,-0.027,
3.433,-0.013,0.391,-0.027,
3.467,-0.013,0.391,-0.027,
3.5,-0.013,0.391,-0.027,
3.533,-0.013,0.391,-0.027,
3.567,-0.013,0.391,-0.026,
3.6,-0.012,0.391,-0.027,
3.633,-0.012,0.391,-0.027,
3.667,-0.012,0.391,-0.026,
3.7,-0.011,0.391,-0.026,
3.733,-0.01,0.391,-0.026,
3.767,-0.009,0.391,-0.026,
3.8,-0.008,0.391,-0.025,
3.833,-0.007,0.391,-0.025,
3.867,-0.006,0.391,-0.025,
3.9,-0.005,0.391,-0.024,
3.933,-0.004,0.391,-0.024,
3.967,-0.003,0.391,-0.023,
4,-0.002,0.391,-0.022,
4.033,-0.001,0.391,-0.021,
4.067,0.001,0.391,-0.02,
4.1,0.001,0.391,-0.019,
4.133,0.002,0.391,-0.018,
4.167,0.003,0.391,-0.017,
4.2,0.003,0.391,-0.015,
4.233,0.004,0.392,-0.014,
4.267,0.004,0.392,-0.012,
4.3,0.004,0.392,-0.011,
4.333,0.005,0.392,-0.01,
4.367,0.005,0.392,-0.009,
4.4,0.006,0.392,-0.009,
4.433,0.007,0.392,-0.008,
4.467,0.008,0.391,-0.007,
4.5,0.008,0.391,-0.007,
4.533,0.009,0.391,-0.006,
4.567,0.01,0.391,-0.006,
4.6,0.01,0.391,-0.007,
4.633,0.01,0.391,-0.007,
4.667,0.011,0.391,-0.007,
4.7,0.011,0.391,-0.007,
4.733,0.011,0.391,-0.007,
4.767,0.011,0.391,-0.008,
4.8,0.011,0.391,-0.008,
4.833,0.011,0.391,-0.009,
4.867,0.011,0.391,-0.009,
4.9,0.011,0.391,-0.009,
4.933,0.012,0.391,-0.009,
4.967,0.012,0.391,-0.01,
5,0.012,0.391,-0.01,
5.033,0.012,0.391,-0.011,
5.067,0.012,0.391,-0.012,
5.1,0.012,0.391,-0.013,
5.133,0.012,0.391,-0.013,
5.167,0.012,0.391,-0.014,
5.2,0.012,0.391,-0.015,
5.233,0.012,0.391,-0.016,
5.267,0.012,0.391,-0.017,
5.3,0.012,0.391,-0.018,
5.333,0.012,0.391,-0.019,
5.367,0.012,0.391,-0.02,
5.4,0.012,0.391,-0.021,
5.433,0.012,0.391,-0.022,
5.467,0.011,0.391,-0.024,
5.5,0.01,0.391,-0.027,
5.533,0.009,0.39,-0.029,
5.567,0.007,0.39,-0.031,
5.6,0.005,0.39,-0.032,
5.633,0.003,0.39,-0.034,
5.667,0.002,0.39,-0.035,
5.7,-0,0.39,-0.036,
5.733,-0.002,0.39,-0.036,
5.767,-0.004,0.39,-0.035,
5.8,-0.005,0.39,-0.034,
5.833,-0.006,0.39,-0.033,
5.867,-0.007,0.39,-0.032,
5.9,-0.008,0.391,-0.031,
5.933,-0.009,0.391,-0.03,
5.967,-0.009,0.391,-0.029,
6,-0.009,0.391,-0.028,
6.033,-0.008,0.391,-0.028,
6.067,-0.008,0.391,-0.027,
6.1,-0.008,0.391,-0.026,
6.133,-0.008,0.391,-0.026,
6.167,-0.007,0.391,-0.025,
6.2,-0.007,0.391,-0.025,
6.233,-0.006,0.391,-0.025,
6.267,-0.006,0.391,-0.025,
6.3,-0.006,0.391,-0.024,
6.333,-0.006,0.391,-0.024,
6.367,-0.006,0.391,-0.023,
6.4,-0.006,0.391,-0.023,
6.433,-0.005,0.391,-0.022,
6.467,-0.005,0.391,-0.022,
6.5,-0.005,0.391,-0.021,
6.533,-0.005,0.391,-0.021,
6.567,-0.005,0.391,-0.02,
6.6,-0.006,0.391,-0.02,
6.633,-0.006,0.391,-0.019,
6.667,-0.006,0.391,-0.019,
6.7,-0.006,0.391,-0.018,
6.733,-0.006,0.391,-0.018,
6.767,-0.006,0.391,-0.018,
6.8,-0.006,0.391,-0.017,
6.833,-0.006,0.391,-0.017,
6.867,-0.006,0.391,-0.017,
6.9,-0.005,0.391,-0.016,
6.933,-0.005,0.391,-0.016,
6.967,-0.005,0.391,-0.016,
7,-0.004,0.391,-0.016,
7.033,-0.004,0.391,-0.015,
7.067,-0.003,0.391,-0.015,
7.1,-0.003,0.391,-0.015,
7.133,-0.002,0.391,-0.015,
7.167,-0.001,0.391,-0.015,
7.2,-0.001,0.391,-0.015,
7.233,-0.001,0.391,-0.015,
7.267,-0,0.392,-0.015,
7.3,0,0.392,-0.014,
7.333,0,0.392,-0.014,
7.367,0.001,0.392,-0.013,
7.4,0.002,0.392,-0.012,
7.433,0.002,0.392,-0.011,
7.467,0.003,0.392,-0.011,
7.5,0.004,0.392,-0.01,
7.533,0.004,0.392,-0.01,
