Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.005,0.229,-0.012,
0.033,-0.005,0.229,-0.011,
0.067,-0.005,0.229,-0.011,
0.1,-0.005,0.229,-0.011,
0.133,-0.005,0.229,-0.011,
0.167,-0.005,0.229,-0.011,
0.2,-0.005,0.229,-0.011,
0.233,-0.005,0.229,-0.011,
0.267,-0.005,0.229,-0.011,
0.3,-0.005,0.229,-0.011,
0.333,-0.005,0.229,-0.011,
0.367,-0.005,0.229,-0.011,
0.4,-0.005,0.229,-0.01,
0.433,-0.005,0.229,-0.01,
0.467,-0.005,0.229,-0.01,
0.5,-0.005,0.229,-0.01,
0.533,-0.005,0.229,-0.01,
0.567,-0.005,0.229,-0.01,
0.6,-0.005,0.229,-0.01,
0.633,-0.005,0.229,-0.01,
0.667,-0.005,0.229,-0.009,
0.7,-0.005,0.229,-0.009,
0.733,-0.004,0.229,-0.009,
0.767,-0.004,0.229,-0.009,
0.8,-0.004,0.229,-0.009,
0.833,-0.004,0.229,-0.01,
0.867,-0.003,0.229,-0.009,
0.9,-0.003,0.229,-0.01,
0.933,-0.003,0.229,-0.01,
0.967,-0.002,0.229,-0.01,
1,-0.002,0.229,-0.01,
1.033,-0.002,0.229,-0.01,
1.067,-0.002,0.229,-0.01,
1.1,-0.002,0.229,-0.011,
1.133,-0.001,0.229,-0.011,
1.167,-0.001,0.229,-0.011,
1.2,-0.001,0.229,-0.011,
1.233,-0,0.229,-0.011,
1.267,0,0.229,-0.01,
1.3,0.001,0.229,-0.01,
1.333,0.002,0.229,-0.01,
1.367,0.002,0.229,-0.01,
1.4,0.003,0.229,-0.01,
1.433,0.003,0.229,-0.009,
1.467,0.005,0.229,-0.008,
1.5,0.006,0.229,-0.008,
1.533,0.006,0.229,-0.008,
1.567,0.006,0.229,-0.008,
1.6,0.007,0.229,-0.008,
1.633,0.007,0.229,-0.008,
1.667,0.007,0.229,-0.008,
1.7,0.007,0.229,-0.008,
1.733,0.007,0.229,-0.009,
1.767,0.007,0.229,-0.009,
1.8,0.007,0.229,-0.009,
1.833,0.007,0.229,-0.009,
1.867,0.007,0.229,-0.01,
1.9,0.007,0.229,-0.01,
1.933,0.006,0.229,-0.01,
1.967,0.006,0.229,-0.011,
2,0.006,0.229,-0.011,
2.033,0.006,0.229,-0.011,
2.067,0.005,0.229,-0.012,
2.1,0.005,0.229,-0.012,
2.133,0.005,0.229,-0.012,
2.167,0.004,0.229,-0.013,
2.2,0.004,0.229,-0.013,
2.233,0.004,0.229,-0.013,
2.267,0.003,0.229,-0.013,
2.3,0.003,0.229,-0.013,
2.333,0.003,0.229,-0.014,
2.367,0.002,0.229,-0.014,
2.4,0.001,0.229,-0.014,
2.433,0.001,0.229,-0.015,
2.467,0,0.229,-0.015,
2.5,-0,0.229,-0.015,
2.533,-0.001,0.229,-0.016,
2.567,-0.001,0.229,-0.016,
2.6,-0.002,0.229,-0.016,
2.633,-0.002,0.229,-0.016,
2.667,-0.003,0.229,-0.016,
2.7,-0.003,0.229,-0.016,
2.733,-0.003,0.229,-0.016,
2.767,-0.003,0.229,-0.016,
2.8,-0.004,0.229,-0.016,
2.833,-0.004,0.229,-0.016,
2.867,-0.004,0.229,-0.016,
2.9,-0.004,0.229,-0.016,
2.933,-0.004,0.229,-0.016,
2.967,-0.004,0.229,-0.016,
3,-0.004,0.229,-0.015,
3.033,-0.004,0.229,-0.015,
3.067,-0.004,0.229,-0.015,
3.1,-0.004,0.229,-0.015,
3.133,-0.005,0.229,-0.015,
3.167,-0.005,0.229,-0.015,
3.2,-0.005,0.229,-0.015,
3.233,-0.005,0.229,-0.015,
3.267,-0.005,0.229,-0.015,
3.3,-0.005,0.229,-0.015,
3.333,-0.005,0.229,-0.015,
3.367,-0.005,0.229,-0.015,
3.4,-0.005,0.229,-0.015,
3.433,-0.006,0.229,-0.015,
3.467,-0.006,0.229,-0.014,
3.5,-0.006,0.229,-0.014,
3.533,-0.006,0.229,-0.014,
3.567,-0.006,0.229,-0.014,
3.6,-0.005,0.229,-0.014,
3.633,-0.005,0.229,-0.014,
3.667,-0.005,0.229,-0.014,
3.7,-0.005,0.229,-0.014,
3.733,-0.004,0.229,-0.014,
3.767,-0.004,0.229,-0.014,
3.8,-0.003,0.229,-0.014,
3.833,-0.003,0.229,-0.014,
3.867,-0.002,0.229,-0.013,
3.9,-0.002,0.229,-0.013,
3.933,-0.001,0.229,-0.012,
3.967,-0.001,0.229,-0.011,
4,-0,0.229,-0.011,
4.033,0,0.229,-0.01,
4.067,0.001,0.229,-0.009,
4.1,0.001,0.229,-0.009,
4.133,0.002,0.229,-0.008,
4.167,0.002,0.229,-0.007,
4.2,0.002,0.229,-0.006,
4.233,0.002,0.229,-0.005,
4.267,0.003,0.229,-0.004,
4.3,0.003,0.229,-0.003,
4.333,0.003,0.229,-0.002,
4.367,0.003,0.229,-0.001,
4.4,0.003,0.229,0,
4.433,0.004,0.229,0.001,
4.467,0.004,0.229,0.001,
4.5,0.004,0.229,0.002,
4.533,0.004,0.229,0.002,
4.567,0.005,0.229,0.002,
4.6,0.005,0.229,0.002,
4.633,0.005,0.229,0.002,
4.667,0.005,0.229,0.003,
4.7,0.005,0.229,0.003,
4.733,0.005,0.229,0.003,
4.767,0.005,0.229,0.003,
4.8,0.005,0.229,0.003,
4.833,0.005,0.229,0.002,
4.867,0.005,0.229,0.002,
4.9,0.005,0.229,0.002,
4.933,0.005,0.229,0.002,
4.967,0.005,0.229,0.002,
5,0.005,0.229,0.002,
5.033,0.005,0.229,0.001,
5.067,0.005,0.229,0.001,
5.1,0.005,0.229,0.001,
5.133,0.005,0.229,0,
5.167,0.005,0.229,-0,
5.2,0.005,0.229,-0.001,
5.233,0.005,0.229,-0.001,
5.267,0.005,0.229,-0.002,
5.3,0.005,0.229,-0.003,
5.333,0.005,0.229,-0.004,
5.367,0.005,0.229,-0.005,
5.4,0.005,0.229,-0.006,
5.433,0.005,0.229,-0.007,
5.467,0.005,0.229,-0.008,
5.5,0.004,0.229,-0.009,
5.533,0.004,0.229,-0.011,
5.567,0.003,0.229,-0.012,
5.6,0.002,0.229,-0.014,
5.633,0.001,0.229,-0.015,
5.667,0.001,0.229,-0.016,
5.7,-0,0.229,-0.017,
5.733,-0.001,0.229,-0.017,
5.767,-0.002,0.229,-0.017,
5.8,-0.003,0.229,-0.017,
5.833,-0.003,0.229,-0.017,
5.867,-0.004,0.229,-0.017,
5.9,-0.004,0.229,-0.016,
5.933,-0.004,0.229,-0.016,
5.967,-0.004,0.229,-0.016,
6,-0.004,0.229,-0.016,
6.033,-0.004,0.229,-0.016,
6.067,-0.004,0.229,-0.016,
6.1,-0.004,0.229,-0.016,
6.133,-0.004,0.229,-0.017,
6.167,-0.004,0.229,-0.017,
6.2,-0.004,0.229,-0.017,
6.233,-0.003,0.229,-0.017,
6.267,-0.003,0.229,-0.016,
6.3,-0.003,0.229,-0.016,
6.333,-0.003,0.229,-0.016,
6.367,-0.003,0.229,-0.016,
6.4,-0.003,0.229,-0.016,
6.433,-0.003,0.229,-0.016,
6.467,-0.003,0.229,-0.016,
6.5,-0.002,0.229,-0.015,
6.533,-0.002,0.229,-0.015,
6.567,-0.002,0.229,-0.015,
6.6,-0.003,0.229,-0.015,
6.633,-0.003,0.229,-0.015,
6.667,-0.003,0.229,-0.014,
6.7,-0.003,0.229,-0.014,
6.733,-0.003,0.229,-0.014,
6.767,-0.003,0.229,-0.014,
6.8,-0.003,0.229,-0.013,
6.833,-0.003,0.229,-0.013,
6.867,-0.003,0.229,-0.013,
6.9,-0.003,0.229,-0.013,
6.933,-0.003,0.229,-0.013,
6.967,-0.003,0.229,-0.013,
7,-0.003,0.229,-0.012,
7.033,-0.003,0.229,-0.012,
7.067,-0.003,0.229,-0.012,
7.1,-0.003,0.229,-0.012,
7.133,-0.003,0.229,-0.011,
7.167,-0.003,0.229,-0.011,
7.2,-0.003,0.229,-0.01,
7.233,-0.003,0.229,-0.01,
7.267,-0.003,0.229,-0.01,
7.3,-0.003,0.229,-0.009,
7.333,-0.002,0.229,-0.009,
7.367,-0.002,0.229,-0.008,
7.4,-0.002,0.229,-0.008,
7.433,-0.002,0.229,-0.007,
7.467,-0.001,0.229,-0.007,
7.5,-0,0.229,-0.007,
7.533,0,0.229,-0.006,
7.567,0,0.229,-0.006,
7.6,0,0.229,-0.006,
7.633,0.001,0.229,-0.006,
7.667,0.001,0.229,-0.006,
7.7,0.001,0.229,-0.007,
7.733,0.002,0.229,-0.007,
7.767,0.002,0.229,-0.007,
7.8,0.002,0.229,-0.007,
7.833,0.002,0.229,-0.008,
7.867,0.002,0.229,-0.008,
7.9,0.002,0.229,-0.008,
7.933,0.002,0.229,-0.008,
7.967,0.002,0.229,-0.008,
8,0.002,0.229,-0.008,
8.033,0.002,0.229,-0.008,
8.067,0.002,0.229,-0.008,
8.1,0.001,0.229,-0.009,
8.133,0.001,0.229,-0.009,
8.167,0.001,0.229,-0.009,
8.2,0.001,0.229,-0.009,
8.233,0,0.229,-0.009,
8.267,0,0.229,-0.009,
8.3,-0,0.229,-0.01,
8.333,-0.001,0.229,-0.01,
8.367,-0.001,0.229,-0.011,
8.4,-0.001,0.229,-0.012,
8.433,-0.001,0.229,-0.012,
8.467,-0.001,0.229,-0.013,
8.5,-0.001,0.229,-0.012,
8.533,-0.001,0.229,-0.012,
8.567,-0,0.229,-0.013,
8.6,-0,0.229,-0.013,
8.633,-0.001,0.229,-0.014,
8.667,-0.001,0.229,-0.013,
8.7,-0.001,0.229,-0.013,
8.733,-0.001,0.229,-0.013,
8.767,-0.001,0.229,-0.013,
8.8,-0.001,0.229,-0.013,
8.833,-0.002,0.229,-0.012,
8.867,-0.002,0.229,-0.012,
8.9,-0.002,0.229,-0.012,
8.933,-0.003,0.229,-0.012,
8.967,-0.003,0.229,-0.012,
9,-0.003,0.229,-0.012,
9.033,-0.004,0.229,-0.012,
9.067,-0.004,0.229,-0.012,
9.1,-0.004,0.229,-0.012,
9.133,-0.005,0.229,-0.012,
9.167,-0.005,0.229,-0.012,
9.2,-0.005,0.229,-0.012,
9.233,-0.005,0.229,-0.012,
9.267,-0.005,0.229,-0.012,
9.3,-0.005,0.229,-0.012,
9.333,-0.005,0.229,-0.011,
9.367,-0.005,0.229,-0.011,
9.4,-0.005,0.229,-0.011,
9.433,-0.005,0.229,-0.011,
9.467,-0.005,0.229,-0.01,
9.5,-0.004,0.229,-0.01,
9.533,-0.004,0.229,-0.01,
9.567,-0.004,0.229,-0.01,
9.6,-0.004,0.229,-0.01,
9.633,-0.003,0.229,-0.009,
9.667,-0.003,0.229,-0.008,
9.7,-0.002,0.229,-0.008,
9.733,-0.001,0.229,-0.007,
9.767,-0.001,0.229,-0.006,
9.8,0,0.229,-0.005,
9.833,0.001,0.229,-0.004,
9.867,0.001,0.229,-0.002,
9.9,0.002,0.229,-0.001,
9.933,0.002,0.229,0.001,
