Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-6.657,0.707,-1.016,
0.033,-6.555,0.705,-1.02,
0.067,-6.435,0.713,-1.025,
0.1,-6.415,0.753,-0.982,
0.133,-6.436,0.78,-0.934,
0.167,-6.436,0.791,-0.92,
0.2,-6.41,0.833,-0.88,
0.233,-6.439,0.913,-0.799,
0.267,-6.505,1.003,-0.75,
0.3,-6.55,1.048,-0.785,
0.333,-6.521,1.051,-0.804,
0.367,-6.464,1.036,-0.788,
0.4,-6.374,1.03,-0.785,
0.433,-6.219,1.026,-0.81,
0.467,-6.081,1.02,-0.858,
0.5,-5.981,1.029,-0.935,
0.533,-5.903,1.05,-0.956,
0.567,-5.889,1.07,-0.9,
0.6,-5.867,1.091,-0.802,
0.633,-5.747,1.098,-0.607,
0.667,-5.486,1.101,-0.33,
0.7,-5.329,1.132,-0.078,
0.733,-5.183,1.121,0.167,
0.767,-4.987,1.084,0.385,
0.8,-4.721,1.047,0.671,
0.833,-4.481,1.019,0.975,
0.867,-4.293,1.026,1.293,
0.9,-4.149,1.009,1.664,
0.933,-3.944,0.84,1.947,
0.967,-3.556,0.46,2.204,
1,-3.328,0.303,2.564,
1.033,-3.096,0.056,2.839,
1.067,-2.957,-0.038,3.201,
1.1,-2.806,-0.138,3.576,
1.133,-2.592,-0.334,3.826,
1.167,-2.332,-0.462,4.021,
1.2,-2.171,-0.538,4.196,
1.233,-2.107,-0.608,4.368,
1.267,-2.047,-0.7,4.453,
1.3,-1.959,-0.835,4.422,
1.333,-2.016,-0.884,4.429,
1.367,-2.162,-0.898,4.418,
1.4,-2.364,-0.925,4.396,
1.433,-2.524,-0.96,4.341,
1.467,-2.563,-0.985,4.242,
1.5,-2.597,-0.986,4.178,
1.533,-2.712,-0.981,4.143,
1.567,-2.848,-0.988,4.076,
1.6,-2.998,-1.021,4.016,
1.633,-3.21,-1.049,3.978,
1.667,-3.478,-1.073,3.899,
1.7,-3.731,-1.086,3.783,
1.733,-3.913,-1.099,3.664,
1.767,-4.081,-1.131,3.534,
1.8,-4.21,-1.125,3.35,
1.833,-4.218,-1.091,3.21,
1.867,-4.154,-1.046,3.086,
1.9,-4.182,-0.99,2.864,
1.933,-4.334,-0.906,2.663,
1.967,-4.42,-0.802,2.538,
2,-4.446,-0.674,2.266,
2.033,-4.813,-0.491,1.937,
2.067,-5.366,-0.305,1.909,
2.1,-5.515,-0.252,2.009,
2.133,-5.5,-0.249,2.012,
2.167,-5.514,-0.178,1.947,
2.2,-5.536,-0.128,1.868,
2.233,-5.601,-0.114,1.718,
2.267,-5.72,-0.081,1.637,
2.3,-5.758,-0.122,1.639,
2.333,-5.727,-0.208,1.518,
2.367,-5.697,-0.279,1.402,
2.4,-5.684,-0.357,1.275,
2.433,-5.759,-0.384,1.121,
2.467,-5.91,-0.327,1.004,
2.5,-6.109,-0.22,0.825,
2.533,-6.332,-0.116,0.643,
2.567,-6.525,-0.028,0.426,
2.6,-6.611,0,0.107,
2.633,-6.643,-0.029,-0.266,
2.667,-6.625,-0.03,-0.508,
2.7,-6.557,-0.02,-0.629,
2.733,-6.44,0.003,-0.754,
2.767,-6.308,0.047,-0.828,
2.8,-6.077,0.013,-0.877,
2.833,-5.774,-0.091,-0.915,
2.867,-5.438,-0.233,-0.948,
2.9,-5.039,-0.351,-0.982,
2.933,-4.542,-0.467,-1.099,
2.967,-4.027,-0.631,-1.289,
3,-3.529,-0.822,-1.499,
3.033,-2.98,-0.982,-1.713,
3.067,-2.368,-1.117,-1.888,
3.1,-1.79,-1.217,-2.058,
3.133,-1.176,-1.311,-2.175,
3.167,-0.611,-1.395,-2.211,
3.2,-0.178,-1.477,-2.329,
3.233,0.187,-1.587,-2.52,
3.267,0.501,-1.725,-2.67,
3.3,0.83,-1.827,-2.662,
3.333,1.126,-1.884,-2.589,
3.367,1.423,-1.913,-2.58,
3.4,1.728,-1.932,-2.567,
3.433,2.089,-1.934,-2.528,
3.467,2.492,-1.86,-2.459,
3.5,2.855,-1.802,-2.351,
3.533,3.159,-1.77,-2.241,
3.567,3.376,-1.749,-2.153,
3.6,3.527,-1.714,-2.082,
3.633,3.551,-1.663,-2.018,
3.667,3.488,-1.615,-2.019,
3.7,3.393,-1.586,-2.009,
3.733,3.323,-1.588,-2.001,
3.767,3.232,-1.594,-2.012,
3.8,3.14,-1.602,-2.015,
3.833,3.039,-1.608,-1.989,
3.867,2.895,-1.608,-1.944,
3.9,2.752,-1.606,-1.904,
3.933,2.588,-1.607,-1.848,
3.967,2.414,-1.619,-1.83,
4,2.267,-1.618,-1.803,
4.033,2.117,-1.611,-1.748,
4.067,1.863,-1.618,-1.727,
4.1,1.587,-1.601,-1.761,
4.133,1.306,-1.563,-1.786,
4.167,1.041,-1.54,-1.804,
4.2,0.705,-1.554,-1.84,
4.233,0.254,-1.592,-1.899,
4.267,-0.307,-1.615,-1.95,
4.3,-0.871,-1.615,-1.97,
4.333,-1.443,-1.627,-2.033,
4.367,-2.06,-1.6,-2.026,
4.4,-2.793,-1.499,-2.081,
4.433,-3.482,-1.376,-2.123,
4.467,-4.003,-1.265,-2.042,
4.5,-4.356,-1.189,-1.906,
4.533,-4.741,-1.142,-1.736,
4.567,-5.231,-1.107,-1.603,
4.6,-5.656,-1.112,-1.582,
4.633,-5.943,-1.146,-1.564,
4.667,-6.205,-1.208,-1.45,
4.7,-6.378,-1.318,-1.384,
4.733,-6.448,-1.404,-1.352,
4.767,-6.531,-1.456,-1.251,
4.8,-6.613,-1.47,-1.212,
4.833,-6.69,-1.457,-1.172,
4.867,-6.694,-1.429,-1.066,
4.9,-6.59,-1.372,-0.955,
4.933,-6.393,-1.286,-0.791,
4.967,-6.156,-1.21,-0.485,
5,-5.895,-1.131,-0.161,
5.033,-5.742,-1.009,0.125,
5.067,-5.51,-0.853,0.328,
5.1,-5.245,-0.69,0.59,
5.133,-4.906,-0.524,0.943,
5.167,-4.58,-0.364,1.299,
5.2,-4.277,-0.281,1.617,
5.233,-3.997,-0.24,1.799,
5.267,-3.768,-0.133,1.993,
5.3,-3.572,-0.021,2.282,
5.333,-3.316,0.016,2.574,
5.367,-2.975,-0.028,2.883,
5.4,-2.603,-0.072,3.231,
5.433,-2.267,-0.113,3.59,
5.467,-1.996,-0.193,3.868,
5.5,-1.808,-0.325,4.048,
5.533,-1.539,-0.44,4.16,
5.567,-1.305,-0.508,4.343,
5.6,-1.013,-0.587,4.559,
5.633,-0.726,-0.694,4.741,
5.667,-0.495,-0.815,4.961,
5.7,-0.314,-0.929,5.175,
5.733,-0.176,-1.045,5.291,
5.767,-0.239,-1.13,5.347,
5.8,-0.438,-1.201,5.385,
5.833,-0.649,-1.261,5.354,
5.867,-0.638,-1.295,5.209,
5.9,-0.698,-1.295,5.106,
5.933,-0.832,-1.278,4.992,
5.967,-0.887,-1.274,4.853,
6,-0.919,-1.274,4.723,
6.033,-0.945,-1.27,4.576,
6.067,-0.957,-1.271,4.461,
6.1,-0.992,-1.281,4.365,
6.133,-1.015,-1.281,4.294,
6.167,-1.083,-1.27,4.23,
