Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-2.913,-0.507,-0.358,
0.033,-2.988,-0.518,-0.318,
0.067,-3.051,-0.537,-0.259,
0.1,-3.076,-0.591,-0.168,
0.133,-3.13,-0.705,-0.02,
0.167,-3.215,-0.854,0.255,
0.2,-3.331,-1.066,0.683,
0.233,-3.381,-1.332,1.264,
0.267,-3.506,-1.551,1.941,
0.3,-3.85,-1.829,3.04,
0.333,-4.113,-2.233,4.664,
0.367,-4.236,-2.448,6.366,
0.4,-4.343,-2.414,8.115,
0.433,-4.538,-2.251,9.929,
0.467,-4.809,-2.059,11.84,
0.5,-5.026,-1.858,13.812,
0.533,-5.04,-1.698,15.801,
0.567,-5.047,-1.57,17.834,
0.6,-4.893,-1.438,19.797,
0.633,-4.56,-1.375,21.682,
0.667,-4.13,-1.413,23.54,
0.7,-3.667,-1.446,25.334,
0.733,-3.372,-1.49,27.103,
0.767,-3.117,-1.663,28.878,
0.8,-3.025,-1.842,30.575,
0.833,-2.989,-2.061,32.11,
0.867,-2.931,-2.271,33.433,
0.9,-2.933,-2.485,34.619,
0.933,-2.939,-2.808,35.748,
0.967,-2.985,-3.114,36.823,
1,-2.924,-3.351,37.739,
1.033,-2.702,-3.489,38.434,
1.067,-2.333,-3.616,38.868,
1.1,-1.891,-3.648,39.134,
1.133,-1.596,-3.575,39.42,
1.167,-1.303,-3.462,39.662,
1.2,-0.974,-3.363,39.803,
1.233,-0.634,-3.26,39.746,
1.267,-0.345,-3.164,39.506,
1.3,-0.186,-3.082,39.163,
1.333,-0.101,-3.016,38.789,
1.367,-0.099,-2.957,38.37,
1.4,-0.166,-2.837,37.717,
1.433,-0.231,-2.723,37.233,
1.467,-0.228,-2.596,36.708,
1.5,-0.237,-2.416,36.066,
1.533,-0.288,-2.232,35.334,
1.567,-0.383,-2.031,34.597,
1.6,-0.503,-1.771,33.764,
1.633,-0.546,-1.502,32.768,
1.667,-0.698,-1.205,31.588,
1.7,-0.972,-0.808,30.15,
1.733,-1.014,-0.368,28.421,
1.767,-0.878,-0.068,26.434,
1.8,-0.843,0.082,24.371,
1.833,-0.891,0.201,22.243,
1.867,-0.881,0.257,19.986,
1.9,-0.83,0.263,17.632,
1.933,-0.879,0.331,15.215,
1.967,-1.014,0.467,12.738,
2,-1.089,0.565,10.189,
2.033,-0.961,0.585,7.649,
2.067,-0.83,0.667,5.199,
2.1,-0.794,0.843,2.916,
2.133,-0.732,1.012,0.831,
2.167,-0.677,1.187,-1.064,
2.2,-0.67,1.42,-2.759,
2.233,-0.795,1.663,-4.238,
2.267,-0.962,1.939,-5.636,
2.3,-1.1,2.152,-6.86,
2.333,-1.159,2.274,-8.127,
2.367,-1.16,2.305,-9.334,
2.4,-1.235,2.247,-10.278,
2.433,-1.387,2.204,-11.107,
2.467,-1.419,2.195,-11.7,
2.5,-1.489,2.208,-12.069,
2.533,-1.7,2.216,-12.291,
2.567,-1.966,2.213,-12.403,
2.6,-2.156,2.23,-12.418,
2.633,-2.383,2.242,-12.395,
2.667,-2.671,2.228,-12.487,
2.7,-2.99,2.207,-12.616,
2.733,-3.359,2.217,-12.805,
2.767,-3.665,2.267,-13.153,
2.8,-3.905,2.383,-13.677,
2.833,-4.065,2.531,-14.271,
2.867,-4.105,2.688,-14.898,
2.9,-4.095,2.836,-15.517,
2.933,-4.049,2.98,-16.197,
2.967,-3.979,3.154,-16.886,
3,-3.937,3.328,-17.583,
3.033,-3.868,3.501,-18.281,
3.067,-3.806,3.616,-18.977,
3.1,-3.814,3.652,-19.646,
3.133,-3.803,3.584,-20.23,
3.167,-3.804,3.498,-20.799,
3.2,-3.8,3.446,-21.38,
3.233,-3.707,3.341,-22.037,
3.267,-3.709,3.185,-22.715,
3.3,-3.645,3.029,-23.274,
3.333,-3.574,2.835,-23.895,
3.367,-3.616,2.587,-24.512,
3.4,-3.653,2.31,-25.052,
3.433,-3.646,2.015,-25.57,
3.467,-3.551,1.74,-26.12,
3.5,-3.449,1.494,-26.76,
3.533,-3.31,1.298,-27.484,
3.567,-3.166,1.138,-28.215,
3.6,-2.999,1.002,-28.986,
3.633,-2.838,0.904,-29.777,
3.667,-2.674,0.87,-30.467,
3.7,-2.529,0.826,-31.015,
3.733,-2.421,0.747,-31.436,
3.767,-2.34,0.66,-31.726,
3.8,-2.339,0.568,-31.893,
3.833,-2.375,0.504,-31.941,
3.867,-2.443,0.465,-31.858,
3.9,-2.55,0.432,-31.656,
3.933,-2.697,0.356,-31.272,
3.967,-2.82,0.306,-30.683,
4,-2.915,0.302,-29.939,
4.033,-2.91,0.265,-29.135,
4.067,-2.867,0.124,-28.332,
