Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0,0.49,-0.007,
0.033,-0,0.49,-0.007,
0.067,0,0.49,-0.007,
0.1,0,0.49,-0.007,
0.133,0.001,0.49,-0.007,
0.167,0.002,0.49,-0.007,
0.2,0.002,0.49,-0.008,
0.233,0.004,0.489,-0.008,
0.267,0.005,0.489,-0.008,
0.3,0.006,0.489,-0.008,
0.333,0.008,0.489,-0.009,
0.367,0.009,0.489,-0.009,
0.4,0.009,0.489,-0.01,
0.433,0.008,0.489,-0.011,
0.467,0.007,0.489,-0.013,
0.5,0.005,0.489,-0.014,
0.533,0.004,0.489,-0.015,
0.567,0.003,0.489,-0.015,
0.6,0.002,0.489,-0.015,
0.633,0.002,0.489,-0.013,
0.667,0.002,0.489,-0.011,
0.7,0.003,0.489,-0.009,
0.733,0.004,0.489,-0.008,
0.767,0.005,0.489,-0.006,
0.8,0.006,0.489,-0.005,
0.833,0.008,0.489,-0.004,
0.867,0.009,0.489,-0.003,
0.9,0.011,0.489,-0.002,
0.933,0.013,0.489,-0.001,
0.967,0.015,0.489,-0.001,
1,0.017,0.489,-0.002,
1.033,0.018,0.489,-0.002,
1.067,0.02,0.489,-0.001,
1.1,0.02,0.489,-0,
1.133,0.021,0.489,0,
1.167,0.02,0.489,0.001,
1.2,0.02,0.489,0.001,
1.233,0.02,0.489,0.001,
1.267,0.019,0.489,0.002,
1.3,0.019,0.489,0.002,
1.333,0.019,0.489,0.002,
1.367,0.018,0.489,0.002,
1.4,0.017,0.489,0.001,
1.433,0.017,0.489,0,
1.467,0.016,0.49,-0,
1.5,0.014,0.49,-0.001,
1.533,0.013,0.49,-0.002,
1.567,0.012,0.49,-0.002,
1.6,0.01,0.49,-0.003,
1.633,0.009,0.49,-0.004,
1.667,0.007,0.49,-0.005,
1.7,0.005,0.49,-0.006,
1.733,0.002,0.49,-0.007,
1.767,0.001,0.49,-0.008,
1.8,-0.001,0.49,-0.009,
1.833,-0.001,0.49,-0.009,
1.867,-0.002,0.49,-0.009,
1.9,-0.002,0.49,-0.009,
1.933,-0.003,0.49,-0.01,
1.967,-0.004,0.49,-0.011,
2,-0.005,0.49,-0.011,
2.033,-0.005,0.49,-0.011,
2.067,-0.006,0.49,-0.012,
2.1,-0.007,0.49,-0.012,
2.133,-0.008,0.49,-0.012,
2.167,-0.009,0.49,-0.012,
2.2,-0.01,0.49,-0.012,
2.233,-0.011,0.49,-0.012,
2.267,-0.012,0.489,-0.012,
2.3,-0.012,0.489,-0.012,
2.333,-0.013,0.489,-0.011,
2.367,-0.013,0.489,-0.01,
2.4,-0.013,0.49,-0.01,
2.433,-0.012,0.49,-0.009,
2.467,-0.012,0.49,-0.009,
2.5,-0.013,0.49,-0.008,
2.533,-0.013,0.49,-0.009,
2.567,-0.013,0.49,-0.009,
2.6,-0.013,0.489,-0.009,
2.633,-0.013,0.489,-0.009,
2.667,-0.013,0.489,-0.01,
2.7,-0.012,0.489,-0.011,
2.733,-0.012,0.489,-0.012,
2.767,-0.012,0.489,-0.013,
2.8,-0.012,0.489,-0.013,
2.833,-0.013,0.489,-0.014,
2.867,-0.013,0.489,-0.014,
2.9,-0.013,0.489,-0.014,
2.933,-0.013,0.489,-0.014,
2.967,-0.014,0.489,-0.014,
3,-0.014,0.489,-0.014,
3.033,-0.014,0.489,-0.014,
3.067,-0.014,0.489,-0.014,
3.1,-0.014,0.489,-0.014,
