Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-9.987,2.753,-0.853,
0.033,-11.102,2.924,-0.88,
0.067,-12.536,3.044,-0.903,
0.1,-13.746,3.072,-0.889,
0.133,-14.325,3.087,-0.944,
0.167,-14.457,3.11,-1.024,
0.2,-14.566,3.126,-1.038,
0.233,-14.672,3.136,-1.009,
0.267,-14.804,3.139,-0.931,
0.3,-14.969,3.155,-0.844,
0.333,-15.079,3.202,-0.747,
0.367,-15.219,3.259,-0.566,
0.4,-15.467,3.313,-0.345,
0.433,-15.661,3.361,-0.109,
0.467,-15.72,3.462,0.118,
0.5,-15.686,3.713,0.325,
0.533,-15.695,3.849,0.528,
0.567,-15.638,3.889,0.625,
0.6,-15.516,3.885,0.634,
0.633,-15.443,3.916,0.646,
0.667,-15.384,3.961,0.69,
0.7,-15.358,3.981,0.758,
0.733,-15.346,3.975,0.757,
0.767,-15.392,3.959,0.726,
0.8,-15.441,3.934,0.746,
0.833,-15.403,3.898,0.774,
0.867,-15.313,3.87,0.78,
0.9,-15.27,3.863,0.783,
0.933,-15.287,3.867,0.764,
0.967,-15.267,3.879,0.763,
1,-15.236,3.901,0.81,
1.033,-15.254,3.916,0.871,
1.067,-15.268,3.942,0.93,
1.1,-15.175,3.992,0.996,
1.133,-15.132,4.008,1.02,
1.167,-15.161,4.026,1.039,
1.2,-15.202,4.044,1.044,
1.233,-15.196,4.056,1.027,
1.267,-15.144,4.071,1.011,
1.3,-15.114,4.086,1.013,
1.333,-15.103,4.088,1.012,
1.367,-15.071,4.087,0.995,
1.4,-15.013,4.084,0.99,
1.433,-15.008,4.096,1.014,
1.467,-15.06,4.118,1.028,
1.5,-15.089,4.125,1.011,
1.533,-15.091,4.123,1.003,
1.567,-15.086,4.123,1.007,
1.6,-15.1,4.112,0.975,
1.633,-15.007,4.075,0.905,
1.667,-14.809,4.023,0.8,
1.7,-14.781,3.997,0.714,
1.733,-14.781,3.975,0.672,
1.767,-14.483,3.932,0.647,
1.8,-14.086,3.895,0.631,
1.833,-13.737,3.861,0.612,
1.867,-13.284,3.824,0.582,
1.9,-12.631,3.739,0.524,
1.933,-11.858,3.612,0.403,
1.967,-11.039,3.463,0.253,
2,-10.043,3.293,0.046,
2.033,-8.697,3.14,-0.302,
2.067,-6.55,2.831,-1.051,
2.1,-4.718,2.555,-1.372,
2.133,-3.237,2.288,-1.496,
2.167,-1.639,2.011,-1.62,
2.2,0.159,1.742,-2.058,
2.233,1.599,1.493,-2.232,
2.267,2.734,1.321,-2.253,
2.3,3.649,1.201,-2.229,
2.333,4.541,1.025,-2.284,
2.367,5.493,0.838,-2.491,
2.4,6.247,0.695,-2.564,
2.433,6.952,0.576,-2.433,
2.467,7.599,0.414,-2.377,
2.5,8.257,0.186,-2.568,
2.533,9.034,-0.085,-2.795,
2.567,9.975,-0.288,-3.135,
2.6,11.087,-0.334,-3.715,
2.633,12.138,-0.494,-3.768,
2.667,12.883,-0.676,-3.781,
2.7,13.601,-0.84,-3.846,
2.733,14.388,-0.941,-3.943,
2.767,15.046,-1.025,-4.2,
2.8,15.563,-1.081,-4.523,
2.833,15.802,-1.026,-4.441,
2.867,15.809,-0.944,-4.271,
2.9,15.872,-0.877,-4.063,
2.933,16.2,-0.747,-4.013,
2.967,16.685,-0.539,-4.035,
3,17.333,-0.35,-3.89,
3.033,17.76,-0.221,-3.874,
3.067,17.97,-0.214,-3.974,
3.1,17.986,-0.187,-3.922,
3.133,18.23,-0.134,-3.745,
3.167,18.595,-0.09,-3.534,
3.2,18.813,-0.114,-3.363,
3.233,18.934,-0.156,-3.209,
3.267,18.958,-0.155,-3.067,
3.3,18.861,-0.155,-2.97,
3.333,18.586,-0.187,-3.002,
3.367,18.245,-0.229,-3.104,
3.4,18.106,-0.267,-3.202,
3.433,17.951,-0.289,-3.2,
3.467,17.78,-0.316,-3.237,
3.5,17.648,-0.323,-3.253,
3.533,17.531,-0.359,-3.224,
3.567,17.479,-0.412,-3.217,
3.6,17.474,-0.437,-3.197,
3.633,17.486,-0.387,-3.093,
3.667,17.403,-0.327,-3.021,
3.7,17.263,-0.295,-2.993,
3.733,17.092,-0.282,-2.974,
3.767,16.966,-0.283,-2.946,
3.8,16.862,-0.276,-2.937,
3.833,16.789,-0.26,-2.939,
3.867,16.741,-0.261,-2.984,
3.9,16.639,-0.248,-3.024,
3.933,16.598,-0.232,-3.066,
3.967,16.581,-0.203,-3.093,
4,16.563,-0.175,-3.147,
4.033,16.562,-0.161,-3.189,
4.067,16.62,-0.153,-3.229,
4.1,16.77,-0.14,-3.227,
4.133,16.943,-0.133,-3.247,
4.167,17.031,-0.118,-3.251,
4.2,17.039,-0.123,-3.228,
4.233,16.99,-0.109,-3.194,
4.267,16.867,-0.074,-3.178,
4.3,16.582,-0.02,-3.209,
4.333,16.133,0.046,-3.185,
4.367,15.457,0.124,-2.984,
4.4,14.636,0.2,-2.746,
4.433,13.753,0.233,-2.584,
4.467,12.633,0.277,-2.578,
4.5,11.013,0.353,-2.857,
4.533,9.04,0.493,-2.963,
4.567,6.979,0.657,-2.832,
4.6,5.127,0.818,-2.554,
4.633,3.976,0.931,-2.455,
4.667,3.218,1.014,-2.39,
4.7,2.123,1.202,-2.246,
4.733,0.97,1.431,-2.116,
4.767,0.384,1.526,-2.075,
4.8,0.178,1.529,-1.946,
4.833,-0.178,1.574,-1.804,
4.867,-0.711,1.611,-1.807,
4.9,-0.997,1.588,-1.879,
4.933,-0.862,1.535,-1.887,
4.967,-0.732,1.496,-1.948,
5,-0.798,1.471,-2.128,
5.033,-0.811,1.421,-2.322,
5.067,-0.577,1.335,-2.435,
5.1,-0.325,1.235,-2.481,
5.133,-0.242,1.182,-2.46,
5.167,-0.171,1.174,-2.334,
5.2,-0.018,1.177,-2.151,
5.233,0.2,1.177,-1.984,
5.267,0.338,1.191,-1.842,
5.3,0.457,1.224,-1.737,
5.333,0.623,1.246,-1.686,
5.367,0.838,1.245,-1.677,
5.4,1.029,1.247,-1.664,
5.433,1.127,1.261,-1.634,
5.467,1.171,1.266,-1.654,
5.5,1.24,1.258,-1.711,
5.533,1.333,1.25,-1.744,
5.567,1.424,1.247,-1.749,
5.6,1.482,1.258,-1.77,
5.633,1.531,1.275,-1.791,
5.667,1.563,1.285,-1.818,
5.7,1.561,1.292,-1.863,
5.733,1.557,1.292,-1.887,
5.767,1.547,1.295,-1.884,
5.8,1.546,1.292,-1.875,
5.833,1.536,1.283,-1.862,
5.867,1.508,1.275,-1.827,
5.9,1.498,1.266,-1.8,
5.933,1.495,1.253,-1.761,
5.967,1.473,1.239,-1.701,
6,1.46,1.223,-1.665,
6.033,1.427,1.21,-1.652,
6.067,1.385,1.206,-1.649,
6.1,1.348,1.204,-1.65,
6.133,1.282,1.209,-1.653,
6.167,1.111,1.232,-1.669,
6.2,0.786,1.294,-1.696,
6.233,0.293,1.381,-1.673,
6.267,-0.441,1.505,-1.642,
6.3,-1.304,1.67,-1.619,
6.333,-2.295,1.855,-1.572,
6.367,-3.471,2.075,-1.466,
6.4,-4.649,2.303,-1.385,
6.433,-5.753,2.535,-1.36,
6.467,-7.023,2.772,-1.331,
6.5,-8.719,3.032,-1.289,
6.533,-10.89,3.278,-1.211,
6.567,-13.033,3.446,-1.188,
6.6,-14.266,3.452,-1.185,
6.633,-14.814,3.415,-1.166,
6.667,-14.813,3.401,-1.147,
6.7,-14.563,3.401,-1.155,
6.733,-14.381,3.404,-1.182,
6.767,-14.317,3.374,-1.247,
6.8,-14.337,3.306,-1.356,
6.833,-14.418,3.249,-1.46,
6.867,-14.458,3.196,-1.539,
6.9,-14.459,3.171,-1.591,
6.933,-14.494,3.186,-1.57,
6.967,-14.586,3.213,-1.516,
7,-14.73,3.228,-1.497,
7.033,-14.946,3.261,-1.447,
7.067,-15.168,3.31,-1.379,
7.1,-15.312,3.338,-1.384,
7.133,-15.414,3.352,-1.424,
7.167,-15.444,3.363,-1.429,
7.2,-15.376,3.364,-1.439,
7.233,-15.206,3.363,-1.448,
7.267,-14.947,3.362,-1.447,
7.3,-14.566,3.342,-1.406,
7.333,-14.12,3.321,-1.406,
7.367,-13.574,3.284,-1.513,
7.4,-12.667,3.185,-1.677,
7.433,-11.526,3.063,-1.905,
7.467,-10.247,2.941,-2.124,
7.5,-8.773,2.747,-2.292,
7.533,-7.399,2.548,-2.463,
7.567,-6.066,2.408,-2.588,
7.6,-4.552,2.284,-2.644,
7.633,-3.092,2.112,-2.588,
7.667,-1.682,1.902,-2.514,
7.7,-0.176,1.632,-2.407,
7.733,1.053,1.446,-2.179,
7.767,2.167,1.254,-2.053,
