Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.005,0.389,0.014,
0.033,-0.006,0.389,0.016,
0.067,-0.006,0.388,0.018,
0.1,-0.007,0.387,0.019,
0.133,-0.008,0.387,0.021,
0.167,-0.009,0.386,0.024,
0.2,-0.009,0.386,0.027,
0.233,-0.009,0.385,0.029,
0.267,-0.01,0.385,0.03,
0.3,-0.01,0.385,0.03,
0.333,-0.01,0.385,0.031,
0.367,-0.01,0.385,0.031,
0.4,-0.011,0.385,0.03,
0.433,-0.011,0.385,0.029,
0.467,-0.011,0.385,0.028,
0.5,-0.012,0.385,0.028,
0.533,-0.012,0.385,0.028,
0.567,-0.011,0.385,0.028,
0.6,-0.011,0.385,0.028,
0.633,-0.011,0.385,0.028,
0.667,-0.011,0.385,0.028,
0.7,-0.01,0.385,0.028,
0.733,-0.01,0.385,0.028,
0.767,-0.01,0.385,0.028,
0.8,-0.01,0.385,0.027,
0.833,-0.01,0.385,0.027,
0.867,-0.01,0.385,0.027,
0.9,-0.01,0.385,0.026,
0.933,-0.01,0.385,0.026,
0.967,-0.01,0.386,0.026,
1,-0.01,0.386,0.026,
1.033,-0.011,0.386,0.026,
1.067,-0.011,0.386,0.026,
1.1,-0.011,0.386,0.026,
1.133,-0.011,0.386,0.026,
1.167,-0.011,0.386,0.026,
1.2,-0.012,0.386,0.026,
1.233,-0.012,0.386,0.026,
1.267,-0.012,0.386,0.026,
1.3,-0.012,0.386,0.026,
1.333,-0.012,0.386,0.027,
1.367,-0.012,0.385,0.027,
1.4,-0.012,0.385,0.027,
1.433,-0.013,0.385,0.028,
1.467,-0.013,0.385,0.028,
1.5,-0.013,0.385,0.029,
1.533,-0.013,0.385,0.029,
1.567,-0.013,0.385,0.03,
1.6,-0.012,0.385,0.031,
1.633,-0.012,0.385,0.033,
1.667,-0.011,0.384,0.034,
1.7,-0.011,0.384,0.036,
1.733,-0.011,0.384,0.038,
1.767,-0.011,0.384,0.04,
1.8,-0.01,0.384,0.041,
1.833,-0.009,0.383,0.043,
1.867,-0.008,0.383,0.045,
1.9,-0.007,0.383,0.048,
1.933,-0.006,0.383,0.05,
1.967,-0.004,0.383,0.052,
2,-0.003,0.383,0.053,
2.033,-0.002,0.384,0.054,
2.067,-0,0.385,0.055,
2.1,0.001,0.386,0.055,
2.133,0.002,0.387,0.052,
2.167,0.003,0.387,0.051,
2.2,0.004,0.388,0.05,
2.233,0.005,0.388,0.049,
2.267,0.005,0.389,0.047,
2.3,0.005,0.389,0.046,
2.333,0.006,0.389,0.045,
2.367,0.006,0.389,0.045,
2.4,0.005,0.389,0.044,
2.433,0.005,0.389,0.042,
2.467,0.005,0.39,0.041,
2.5,0.006,0.39,0.039,
2.533,0.006,0.39,0.039,
2.567,0.006,0.39,0.039,
2.6,0.006,0.389,0.038,
2.633,0.005,0.389,0.038,
2.667,0.005,0.389,0.038,
2.7,0.005,0.389,0.038,
2.733,0.005,0.389,0.037,
2.767,0.004,0.389,0.036,
2.8,0.003,0.389,0.035,
2.833,0.002,0.389,0.032,
2.867,0.001,0.389,0.03,
2.9,-0,0.389,0.027,
2.933,-0.002,0.389,0.025,
2.967,-0.003,0.389,0.022,
3,-0.004,0.388,0.02,
3.033,-0.005,0.388,0.017,
3.067,-0.005,0.388,0.013,
3.1,-0.005,0.388,0.009,
3.133,-0.004,0.388,0.006,
3.167,-0.003,0.387,0.005,
3.2,-0.001,0.387,0.004,
3.233,0.001,0.387,0.004,
3.267,0.002,0.387,0.003,
3.3,0.003,0.387,0.003,
3.333,0.004,0.387,0.003,
3.367,0.004,0.387,0.003,
3.4,0.004,0.387,0.003,
3.433,0.004,0.387,0.003,
3.467,0.004,0.387,0.002,
3.5,0.004,0.387,0.001,
3.533,0.004,0.387,0,
3.567,0.004,0.387,-0,
3.6,0.004,0.387,-0,
3.633,0.004,0.387,-0,
3.667,0.004,0.387,-0.001,
3.7,0.004,0.387,-0.001,
3.733,0.004,0.388,-0.002,
3.767,0.004,0.388,-0.002,
3.8,0.004,0.388,-0.002,
3.833,0.003,0.388,-0.002,
3.867,0.003,0.388,-0.002,
3.9,0.003,0.388,-0.002,
3.933,0.003,0.388,-0.003,
3.967,0.003,0.388,-0.003,
4,0.003,0.388,-0.003,
4.033,0.003,0.388,-0.002,
4.067,0.003,0.388,-0.002,
4.1,0.003,0.388,-0.001,
4.133,0.003,0.388,0,
4.167,0.003,0.388,0.001,
4.2,0.003,0.388,0.001,
4.233,0.003,0.388,0.002,
4.267,0.003,0.388,0.002,
4.3,0.002,0.388,0.003,
4.333,0.002,0.388,0.003,
4.367,0.002,0.389,0.004,
4.4,0.002,0.389,0.006,
4.433,0.001,0.389,0.008,
4.467,0.001,0.39,0.01,
4.5,-0,0.39,0.011,
4.533,-0.002,0.391,0.013,
4.567,-0.003,0.391,0.014,
4.6,-0.005,0.391,0.015,
4.633,-0.006,0.391,0.018,
4.667,-0.007,0.391,0.019,
4.7,-0.009,0.391,0.018,
4.733,-0.01,0.391,0.019,
4.767,-0.01,0.391,0.019,
4.8,-0.01,0.391,0.019,
4.833,-0.01,0.391,0.017,
4.867,-0.01,0.391,0.016,
4.9,-0.009,0.391,0.014,
4.933,-0.009,0.391,0.015,
4.967,-0.008,0.391,0.015,
5,-0.008,0.391,0.014,
5.033,-0.008,0.391,0.014,
5.067,-0.008,0.391,0.015,
5.1,-0.008,0.391,0.015,
5.133,-0.009,0.391,0.015,
5.167,-0.009,0.391,0.014,
5.2,-0.008,0.391,0.014,
5.233,-0.008,0.391,0.014,
5.267,-0.008,0.391,0.015,
5.3,-0.009,0.391,0.015,
5.333,-0.009,0.391,0.016,
5.367,-0.009,0.391,0.016,
5.4,-0.009,0.391,0.016,
5.433,-0.009,0.391,0.017,
5.467,-0.01,0.391,0.017,
5.5,-0.01,0.391,0.017,
5.533,-0.01,0.391,0.017,
5.567,-0.01,0.391,0.017,
5.6,-0.01,0.391,0.017,
5.633,-0.01,0.391,0.017,
5.667,-0.009,0.391,0.017,
5.7,-0.009,0.391,0.017,
5.733,-0.009,0.391,0.017,
5.767,-0.009,0.391,0.017,
5.8,-0.009,0.391,0.017,
5.833,-0.009,0.391,0.018,
5.867,-0.009,0.391,0.018,
5.9,-0.009,0.391,0.018,
5.933,-0.009,0.391,0.018,
5.967,-0.008,0.391,0.019,
6,-0.008,0.391,0.019,
6.033,-0.008,0.391,0.019,
6.067,-0.008,0.391,0.02,
6.1,-0.008,0.391,0.021,
6.133,-0.008,0.391,0.022,
6.167,-0.008,0.391,0.022,
6.2,-0.009,0.391,0.023,
6.233,-0.009,0.391,0.024,
6.267,-0.009,0.391,0.024,
6.3,-0.01,0.391,0.025,
6.333,-0.01,0.39,0.026,
6.367,-0.009,0.39,0.028,
6.4,-0.009,0.389,0.03,
6.433,-0.008,0.389,0.033,
6.467,-0.008,0.388,0.034,
6.5,-0.009,0.387,0.035,
6.533,-0.009,0.387,0.034,
6.567,-0.01,0.386,0.033,
6.6,-0.01,0.385,0.033,
6.633,-0.01,0.384,0.034,
6.667,-0.01,0.384,0.037,
6.7,-0.009,0.384,0.04,
6.733,-0.009,0.384,0.04,
6.767,-0.009,0.384,0.04,
6.8,-0.008,0.384,0.038,
6.833,-0.008,0.384,0.037,
6.867,-0.008,0.384,0.036,
6.9,-0.008,0.384,0.036,
6.933,-0.008,0.384,0.035,
6.967,-0.008,0.385,0.035,
7,-0.008,0.384,0.035,
7.033,-0.008,0.384,0.035,
7.067,-0.008,0.384,0.034,
7.1,-0.008,0.384,0.034,
7.133,-0.008,0.384,0.033,
7.167,-0.008,0.384,0.032,
7.2,-0.008,0.385,0.032,
7.233,-0.008,0.385,0.031,
7.267,-0.008,0.385,0.031,
7.3,-0.008,0.385,0.031,
7.333,-0.007,0.385,0.031,
7.367,-0.006,0.386,0.032,
7.4,-0.006,0.386,0.033,
7.433,-0.005,0.387,0.033,
7.467,-0.004,0.387,0.032,
7.5,-0.003,0.388,0.032,
7.533,-0.002,0.388,0.033,
7.567,-0,0.389,0.034,
7.6,0.001,0.389,0.035,
7.633,0.002,0.389,0.034,
7.667,0.002,0.39,0.032,
7.7,0.003,0.39,0.03,
7.733,0.003,0.391,0.026,
7.767,0.003,0.391,0.021,
7.8,0.003,0.391,0.016,
7.833,0.003,0.392,0.011,
7.867,0.003,0.391,0.008,
7.9,0.003,0.391,0.005,
7.933,0.003,0.391,0.003,
7.967,0.003,0.39,-0.001,
8,0.003,0.39,-0.004,
8.033,0.003,0.389,-0.006,
8.067,0.004,0.389,-0.008,
8.1,0.004,0.389,-0.011,
8.133,0.003,0.388,-0.013,
8.167,0.002,0.388,-0.016,
8.2,0.001,0.388,-0.019,
8.233,-0,0.388,-0.021,
8.267,-0.001,0.388,-0.022,
8.3,-0.001,0.388,-0.023,
8.333,-0.001,0.387,-0.023,
8.367,-0.001,0.387,-0.023,
8.4,-0.001,0.387,-0.023,
8.433,-0,0.387,-0.023,
8.467,0,0.387,-0.024,
8.5,0,0.387,-0.024,
8.533,0.001,0.387,-0.024,
8.567,0.001,0.388,-0.024,
8.6,0.001,0.388,-0.024,
8.633,0.001,0.388,-0.023,
8.667,0.002,0.388,-0.023,
8.7,0.002,0.388,-0.022,
8.733,0.002,0.388,-0.022,
8.767,0.003,0.388,-0.021,
8.8,0.003,0.389,-0.021,
8.833,0.003,0.389,-0.02,
8.867,0.002,0.389,-0.018,
8.9,0.001,0.39,-0.015,
8.933,0,0.39,-0.013,
8.967,-0.001,0.391,-0.012,
9,-0.003,0.391,-0.01,
9.033,-0.004,0.392,-0.009,
9.067,-0.006,0.392,-0.008,
9.1,-0.007,0.392,-0.005,
9.133,-0.008,0.391,-0.002,
9.167,-0.008,0.391,0.001,
9.2,-0.008,0.39,0.004,
9.233,-0.009,0.39,0.007,
9.267,-0.009,0.39,0.009,
9.3,-0.009,0.39,0.011,
9.333,-0.01,0.39,0.012,
9.367,-0.01,0.39,0.012,
9.4,-0.01,0.39,0.013,
9.433,-0.01,0.39,0.013,
9.467,-0.01,0.39,0.014,
9.5,-0.009,0.39,0.014,
9.533,-0.008,0.39,0.014,
9.567,-0.008,0.39,0.015,
9.6,-0.008,0.39,0.015,
9.633,-0.008,0.39,0.016,
9.667,-0.008,0.39,0.017,
9.7,-0.008,0.39,0.017,
9.733,-0.008,0.39,0.018,
9.767,-0.008,0.39,0.018,
9.8,-0.008,0.39,0.019,
9.833,-0.008,0.39,0.019,
9.867,-0.007,0.39,0.019,
9.9,-0.007,0.39,0.019,
9.933,-0.007,0.39,0.019,
