Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.006,0.229,-0.01,
0.033,-0.007,0.228,-0.011,
0.067,-0.007,0.228,-0.012,
0.1,-0.007,0.228,-0.013,
0.133,-0.008,0.228,-0.013,
0.167,-0.008,0.228,-0.012,
0.2,-0.008,0.228,-0.011,
0.233,-0.008,0.228,-0.011,
0.267,-0.008,0.228,-0.011,
0.3,-0.009,0.228,-0.011,
0.333,-0.009,0.228,-0.011,
0.367,-0.009,0.228,-0.011,
0.4,-0.009,0.228,-0.012,
0.433,-0.009,0.228,-0.012,
0.467,-0.009,0.228,-0.012,
0.5,-0.01,0.228,-0.013,
0.533,-0.01,0.228,-0.013,
0.567,-0.01,0.228,-0.013,
0.6,-0.01,0.228,-0.012,
0.633,-0.01,0.228,-0.012,
0.667,-0.01,0.228,-0.012,
0.7,-0.01,0.228,-0.012,
0.733,-0.01,0.228,-0.012,
0.767,-0.01,0.228,-0.012,
0.8,-0.01,0.228,-0.012,
0.833,-0.01,0.228,-0.012,
0.867,-0.01,0.228,-0.012,
0.9,-0.01,0.228,-0.013,
0.933,-0.01,0.228,-0.013,
0.967,-0.01,0.228,-0.013,
1,-0.01,0.228,-0.013,
1.033,-0.01,0.228,-0.013,
1.067,-0.01,0.228,-0.013,
1.1,-0.01,0.228,-0.013,
1.133,-0.01,0.228,-0.013,
1.167,-0.011,0.228,-0.013,
1.2,-0.011,0.228,-0.013,
1.233,-0.011,0.228,-0.013,
1.267,-0.011,0.228,-0.012,
1.3,-0.011,0.228,-0.012,
1.333,-0.011,0.228,-0.012,
1.367,-0.011,0.228,-0.012,
1.4,-0.011,0.228,-0.012,
1.433,-0.011,0.228,-0.012,
1.467,-0.011,0.228,-0.012,
1.5,-0.011,0.228,-0.011,
1.533,-0.011,0.228,-0.011,
1.567,-0.011,0.228,-0.011,
1.6,-0.011,0.228,-0.01,
1.633,-0.011,0.228,-0.01,
1.667,-0.011,0.228,-0.009,
1.7,-0.01,0.228,-0.008,
1.733,-0.01,0.228,-0.008,
1.767,-0.01,0.228,-0.006,
1.8,-0.01,0.228,-0.005,
1.833,-0.009,0.228,-0.004,
1.867,-0.009,0.228,-0.002,
1.9,-0.008,0.228,-0.001,
1.933,-0.008,0.228,0.001,
1.967,-0.007,0.228,0.003,
2,-0.006,0.228,0.005,
2.033,-0.005,0.228,0.007,
2.067,-0.004,0.228,0.011,
2.1,-0.004,0.228,0.013,
2.133,-0.003,0.228,0.015,
2.167,-0.002,0.228,0.016,
2.2,-0.001,0.228,0.019,
2.233,-0.001,0.228,0.02,
2.267,-0,0.228,0.021,
2.3,0,0.228,0.022,
2.333,0,0.228,0.023,
2.367,0.001,0.228,0.025,
2.4,0.001,0.228,0.025,
2.433,0.001,0.228,0.026,
2.467,0.001,0.228,0.026,
2.5,0.002,0.228,0.027,
2.533,0.002,0.228,0.028,
2.567,0.002,0.227,0.029,
2.6,0.002,0.227,0.031,
2.633,0.002,0.227,0.032,
2.667,0.002,0.227,0.033,
2.7,0.003,0.227,0.034,
2.733,0.002,0.226,0.035,
2.767,0.002,0.226,0.035,
2.8,0.002,0.226,0.036,
2.833,0.002,0.226,0.035,
2.867,0.001,0.226,0.034,
2.9,0,0.226,0.033,
2.933,-0,0.226,0.033,
2.967,-0.001,0.226,0.033,
3,-0.002,0.226,0.033,
3.033,-0.002,0.226,0.032,
3.067,-0.002,0.226,0.031,
3.1,-0.002,0.226,0.03,
3.133,-0.002,0.227,0.029,
3.167,-0.002,0.226,0.029,
3.2,-0.001,0.226,0.029,
3.233,-0,0.226,0.029,
3.267,0,0.226,0.029,
3.3,0.001,0.226,0.029,
3.333,0.001,0.227,0.028,
3.367,0.001,0.227,0.028,
3.4,0.001,0.227,0.028,
3.433,0.001,0.227,0.027,
3.467,0.001,0.227,0.027,
3.5,0.001,0.227,0.026,
3.533,0.001,0.227,0.026,
3.567,0.002,0.227,0.026,
3.6,0.002,0.227,0.026,
3.633,0.001,0.227,0.026,
3.667,0.001,0.227,0.025,
3.7,0.001,0.227,0.025,
3.733,0.001,0.227,0.025,
3.767,0.001,0.227,0.024,
3.8,0.001,0.227,0.024,
3.833,0.001,0.227,0.024,
3.867,0.001,0.227,0.024,
3.9,0.001,0.227,0.024,
3.933,0.001,0.227,0.023,
