Time[s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0,-3.23,0.79,0.842,
0.033,-3.207,0.765,0.789,
0.067,-3.202,0.749,0.754,
0.1,-3.211,0.762,0.766,
0.133,-3.241,0.779,0.718,
0.167,-3.292,0.785,0.668,
0.2,-3.313,0.775,0.765,
0.233,-3.398,0.759,0.814,
0.267,-3.42,0.737,0.851,
0.3,-3.328,0.687,0.911,
0.333,-3.233,0.632,0.937,
0.367,-3.08,0.601,0.935,
0.4,-2.917,0.572,0.934,
0.433,-2.725,0.496,1.01,
0.467,-2.388,0.412,1.067,
0.5,-1.706,0.355,1.027,
0.533,-0.856,0.215,0.981,
0.567,0.163,0.03,1.031,
0.6,1.425,-0.147,1.205,
0.633,3.029,-0.324,1.456,
0.667,4.704,-0.434,1.65,
0.7,6.427,-0.518,1.651,
0.733,8.275,-0.647,1.536,
0.767,10.12,-0.747,1.397,
0.8,11.944,-0.825,1.216,
0.833,13.813,-0.841,1.023,
0.867,15.555,-0.848,0.854,
0.9,17.076,-0.834,0.69,
0.933,18.523,-0.703,0.455,
0.967,20.379,-0.648,0.028,
1,22.345,-0.725,-0.311,
1.033,24.56,-0.805,-0.467,
1.067,26.756,-0.904,-0.589,
1.1,28.43,-0.902,-0.66,
1.133,29.412,-0.92,-0.579,
1.167,29.967,-0.973,-0.433,
1.2,30.171,-0.908,-0.223,
1.233,30.185,-0.76,-0.071,
1.267,30.091,-0.713,-0.219,
1.3,30.005,-0.748,-0.589,
1.333,30.054,-0.813,-0.896,
1.367,30.14,-0.893,-1.177,
1.4,30.314,-0.909,-1.395,
1.433,30.461,-0.909,-1.48,
1.467,30.53,-0.925,-1.504,
1.5,30.592,-0.935,-1.464,
1.533,30.653,-0.948,-1.37,
1.567,30.711,-0.986,-1.232,
1.6,30.716,-1.047,-1.074,
1.633,30.633,-1.127,-0.95,
1.667,30.574,-1.179,-0.981,
1.7,30.587,-1.226,-1.084,
1.733,30.52,-1.273,-1.13,
1.767,30.448,-1.369,-1.297,
1.8,30.375,-1.438,-1.444,
1.833,30.424,-1.494,-1.537,
1.867,30.42,-1.523,-1.612,
1.9,30.379,-1.542,-1.62,
1.933,30.267,-1.56,-1.613,
1.967,29.905,-1.563,-1.591,
2,29.614,-1.575,-1.602,
2.033,29.196,-1.623,-1.663,
2.067,28.407,-1.75,-1.691,
2.1,27.592,-1.963,-1.497,
2.133,26.877,-2.236,-1.323,
2.167,25.95,-2.603,-1.183,
2.2,24.901,-3.079,-1.043,
2.233,23.621,-3.634,-1.06,
2.267,22.108,-4.151,-1.318,
2.3,20.756,-4.549,-1.592,
2.333,19.636,-4.92,-1.763,
2.367,18.431,-5.113,-1.95,
2.4,17.206,-5.094,-2.073,
2.433,15.939,-4.888,-2.168,
2.467,14.295,-4.609,-2.185,
2.5,12.597,-4.336,-2.11,
2.533,10.616,-3.965,-1.812,
2.567,8.702,-3.645,-1.53,
2.6,6.816,-3.369,-1.225,
2.633,4.949,-3.13,-0.979,
2.667,3.309,-2.902,-0.824,
2.7,1.498,-2.7,-0.92,
2.733,-0.096,-2.505,-1.037,
2.767,-1.549,-2.369,-1.102,
2.8,-3.636,-2.324,-1.302,
2.833,-5.15,-2.122,-1.482,
2.867,-5.751,-1.817,-1.367,
2.9,-6.454,-1.58,-1.217,
2.933,-7.407,-1.438,-1.238,
2.967,-8.239,-1.372,-1.531,
3,-9.143,-1.376,-1.841,
3.033,-9.793,-1.214,-2.241,
3.067,-10.492,-1.02,-2.234,
3.1,-10.97,-0.986,-1.985,
3.133,-11.06,-0.869,-1.815,
3.167,-11.172,-0.692,-1.777,
3.2,-11.358,-0.417,-1.783,
3.233,-11.758,-0.143,-1.75,
3.267,-12.323,0.118,-1.516,
3.3,-12.855,0.313,-1.313,
3.333,-13.29,0.424,-1.138,
3.367,-13.708,0.488,-0.872,
3.4,-14.294,0.534,-0.822,
3.433,-14.923,0.61,-0.81,
3.467,-15.464,0.64,-0.758,
3.5,-15.801,0.693,-0.815,
3.533,-15.941,0.722,-0.9,
3.567,-16.003,0.746,-1.038,
3.6,-15.97,0.737,-1.163,
3.633,-15.826,0.724,-1.314,
3.667,-15.595,0.729,-1.441,
3.7,-15.338,0.763,-1.496,
3.733,-15.131,0.828,-1.543,
3.767,-15.03,0.906,-1.581,
3.8,-15.003,0.939,-1.489,
3.833,-15.014,0.928,-1.296,
3.867,-15.042,0.97,-1.128,
3.9,-15.032,1.03,-0.959,
3.933,-15.048,1.073,-0.844,
3.967,-15.085,1.104,-0.786,
4,-15.117,1.126,-0.758,
4.033,-15.135,1.151,-0.732,
4.067,-15.133,1.17,-0.719,
4.1,-15.12,1.19,-0.745,
4.133,-15.011,1.187,-0.821,
4.167,-14.784,1.152,-0.952,
4.2,-14.525,1.059,-0.964,
4.233,-14.339,1.028,-1.121,
4.267,-14.16,0.989,-1.178,
4.3,-14.067,0.919,-1.179,
4.333,-13.93,0.857,-1.2,
4.367,-13.729,0.834,-1.188,
4.4,-13.452,0.841,-1.183,
4.433,-13.078,0.873,-1.226,
