Time[s],Pos_x(left)[m],Pos_y(up)[m],Pos_z(forward)[m]
0,-0.016,0.489,0.008,
0.033,-0.016,0.489,0.008,
0.067,-0.016,0.489,0.008,
0.1,-0.016,0.489,0.008,
0.133,-0.016,0.489,0.008,
0.167,-0.017,0.489,0.007,
0.2,-0.017,0.489,0.007,
0.233,-0.017,0.489,0.007,
0.267,-0.017,0.489,0.007,
0.3,-0.016,0.489,0.007,
0.333,-0.016,0.489,0.008,
0.367,-0.016,0.489,0.009,
0.4,-0.016,0.489,0.009,
0.433,-0.016,0.489,0.009,
0.467,-0.016,0.489,0.01,
0.5,-0.016,0.489,0.011,
0.533,-0.017,0.489,0.011,
0.567,-0.016,0.489,0.012,
0.6,-0.016,0.489,0.013,
0.633,-0.016,0.489,0.013,
0.667,-0.016,0.489,0.012,
0.7,-0.017,0.489,0.01,
0.733,-0.017,0.489,0.011,
0.767,-0.016,0.488,0.013,
0.8,-0.014,0.488,0.016,
0.833,-0.012,0.487,0.021,
0.867,-0.009,0.486,0.029,
0.9,-0.007,0.485,0.037,
0.933,-0.006,0.484,0.044,
0.967,-0.004,0.482,0.051,
1,-0.003,0.48,0.059,
1.033,-0.002,0.478,0.066,
1.067,-0.002,0.475,0.073,
1.1,-0.002,0.473,0.079,
1.133,-0.003,0.47,0.084,
1.167,-0.003,0.468,0.088,
1.2,-0.004,0.466,0.092,
1.233,-0.005,0.465,0.097,
1.267,-0.006,0.463,0.101,
1.3,-0.006,0.461,0.105,
1.333,-0.006,0.461,0.108,
1.367,-0.006,0.46,0.11,
1.4,-0.006,0.46,0.112,
1.433,-0.006,0.46,0.113,
1.467,-0.006,0.46,0.113,
1.5,-0.005,0.46,0.114,
1.533,-0.005,0.46,0.114,
1.567,-0.004,0.46,0.114,
1.6,-0.004,0.46,0.114,
1.633,-0.004,0.46,0.114,
1.667,-0.004,0.46,0.113,
1.7,-0.004,0.461,0.112,
1.733,-0.004,0.462,0.11,
1.767,-0.005,0.462,0.11,
1.8,-0.005,0.462,0.109,
1.833,-0.005,0.462,0.109,
1.867,-0.005,0.462,0.109,
1.9,-0.006,0.462,0.109,
1.933,-0.006,0.462,0.109,
1.967,-0.006,0.462,0.11,
2,-0.006,0.462,0.11,
2.033,-0.006,0.462,0.11,
2.067,-0.006,0.462,0.11,
2.1,-0.006,0.462,0.11,
2.133,-0.006,0.462,0.11,
2.167,-0.006,0.462,0.11,
2.2,-0.006,0.462,0.11,
2.233,-0.006,0.462,0.11,
2.267,-0.006,0.462,0.109,
2.3,-0.006,0.463,0.109,
2.333,-0.006,0.463,0.109,
2.367,-0.007,0.463,0.108,
2.4,-0.006,0.464,0.107,
2.433,-0.006,0.466,0.104,
2.467,-0.006,0.467,0.101,
2.5,-0.006,0.469,0.097,
2.533,-0.005,0.471,0.092,
2.567,-0.004,0.473,0.088,
2.6,-0.003,0.475,0.085,
2.633,-0.003,0.476,0.082,
2.667,-0.002,0.477,0.079,
2.7,-0.001,0.479,0.076,
2.733,0,0.48,0.071,
2.767,0.002,0.481,0.067,
2.8,0.003,0.483,0.063,
2.833,0.005,0.484,0.058,
2.867,0.006,0.485,0.052,
2.9,0.006,0.486,0.047,
2.933,0.007,0.487,0.043,
2.967,0.008,0.487,0.038,
3,0.008,0.488,0.034,
3.033,0.009,0.488,0.03,
3.067,0.009,0.489,0.027,
3.1,0.009,0.489,0.023,
3.133,0.009,0.489,0.019,
3.167,0.009,0.489,0.016,
3.2,0.008,0.489,0.013,
3.233,0.007,0.49,0.011,
3.267,0.007,0.49,0.01,
3.3,0.007,0.49,0.007,
3.333,0.006,0.49,0.002,
3.367,0.005,0.49,-0.001,
3.4,0.003,0.49,-0.004,
3.433,0.001,0.489,-0.008,
3.467,-0.001,0.489,-0.011,
3.5,-0.003,0.489,-0.014,
3.533,-0.005,0.489,-0.017,
3.567,-0.006,0.488,-0.022,
3.6,-0.008,0.488,-0.026,
3.633,-0.009,0.487,-0.03,
3.667,-0.01,0.487,-0.033,
3.7,-0.01,0.487,-0.036,
3.733,-0.01,0.486,-0.038,
3.767,-0.01,0.486,-0.041,
3.8,-0.01,0.486,-0.043,
3.833,-0.01,0.486,-0.044,
3.867,-0.011,0.485,-0.046,
3.9,-0.01,0.485,-0.047,
3.933,-0.01,0.485,-0.048,
3.967,-0.01,0.485,-0.048,
4,-0.01,0.485,-0.049,
4.033,-0.01,0.485,-0.05,
4.067,-0.01,0.485,-0.05,
4.1,-0.01,0.485,-0.051,
4.133,-0.01,0.485,-0.051,
4.167,-0.01,0.485,-0.052,
4.2,-0.01,0.485,-0.052,
4.233,-0.01,0.485,-0.052,
4.267,-0.01,0.485,-0.052,
4.3,-0.011,0.485,-0.052,
4.333,-0.011,0.485,-0.053,
4.367,-0.011,0.485,-0.053,
4.4,-0.011,0.485,-0.053,
4.433,-0.011,0.485,-0.052,
4.467,-0.011,0.485,-0.052,
4.5,-0.012,0.485,-0.052,
4.533,-0.012,0.486,-0.051,
4.567,-0.012,0.486,-0.051,
4.6,-0.012,0.486,-0.05,
4.633,-0.012,0.486,-0.05,
4.667,-0.012,0.486,-0.05,
4.7,-0.012,0.486,-0.05,
4.733,-0.011,0.486,-0.05,
4.767,-0.011,0.486,-0.049,
4.8,-0.011,0.486,-0.049,
4.833,-0.01,0.486,-0.049,
4.867,-0.01,0.486,-0.049,
4.9,-0.01,0.486,-0.048,
4.933,-0.01,0.486,-0.049,
4.967,-0.01,0.485,-0.049,
5,-0.01,0.485,-0.049,
5.033,-0.01,0.485,-0.05,
5.067,-0.01,0.485,-0.05,
5.1,-0.01,0.485,-0.05,
5.133,-0.01,0.485,-0.049,
5.167,-0.009,0.485,-0.049,
5.2,-0.009,0.485,-0.047,
5.233,-0.009,0.485,-0.045,
5.267,-0.009,0.486,-0.042,
5.3,-0.009,0.486,-0.039,
5.333,-0.01,0.487,-0.035,
5.367,-0.01,0.487,-0.03,
5.4,-0.01,0.488,-0.024,
5.433,-0.01,0.489,-0.017,
5.467,-0.011,0.489,-0.009,
5.5,-0.011,0.49,-0.001,
